Start Shift;End Shift;Precipitaiton
30/04/1997 10:30;30/04/1997 11:30;0.000
30/04/1997 11:30;30/04/1997 12:30;0.000
30/04/1997 12:30;30/04/1997 13:30;0.000
30/04/1997 13:30;30/04/1997 14:30;0.000
30/04/1997 14:30;30/04/1997 15:30;0.000
30/04/1997 15:30;30/04/1997 16:30;0.000
30/04/1997 16:30;30/04/1997 17:30;0.000
30/04/1997 17:30;30/04/1997 18:30;0.000
30/04/1997 18:30;30/04/1997 19:30;0.000
30/04/1997 19:30;30/04/1997 20:30;0.000
30/04/1997 20:30;30/04/1997 21:30;0.000
30/04/1997 21:30;30/04/1997 22:30;0.000
30/04/1997 22:30;30/04/1997 23:30;0.000
30/04/1997 23:30;01/05/1997 00:30;0.000
01/05/1997 00:30;01/05/1997 01:30;0.000
01/05/1997 01:30;01/05/1997 02:30;0.000
01/05/1997 02:30;01/05/1997 03:30;0.000
01/05/1997 03:30;01/05/1997 04:30;0.000
01/05/1997 04:30;01/05/1997 05:30;0.000
01/05/1997 05:30;01/05/1997 06:30;0.000
01/05/1997 06:30;01/05/1997 07:30;0.000
01/05/1997 07:30;01/05/1997 08:30;0.000
01/05/1997 08:30;01/05/1997 09:30;0.000
01/05/1997 09:30;01/05/1997 10:30;0.000
01/05/1997 10:30;01/05/1997 11:30;0.000
01/05/1997 11:30;01/05/1997 12:30;0.000
01/05/1997 12:30;01/05/1997 13:30;0.000
01/05/1997 13:30;01/05/1997 14:30;0.000
01/05/1997 14:30;01/05/1997 15:30;0.000
01/05/1997 15:30;01/05/1997 16:30;0.000
01/05/1997 16:30;01/05/1997 17:30;0.000
01/05/1997 17:30;01/05/1997 18:30;1.016
01/05/1997 18:30;01/05/1997 19:30;0.000
01/05/1997 19:30;01/05/1997 20:30;0.000
01/05/1997 20:30;01/05/1997 21:30;0.000
01/05/1997 21:30;01/05/1997 22:30;0.000
01/05/1997 22:30;01/05/1997 23:30;0.000
01/05/1997 23:30;02/05/1997 00:30;0.000
02/05/1997 00:30;02/05/1997 01:30;0.000
02/05/1997 01:30;02/05/1997 02:30;0.000
02/05/1997 02:30;02/05/1997 03:30;0.000
02/05/1997 03:30;02/05/1997 04:30;0.000
02/05/1997 04:30;02/05/1997 05:30;0.000
02/05/1997 05:30;02/05/1997 06:30;0.000
02/05/1997 06:30;02/05/1997 07:30;0.000
02/05/1997 07:30;02/05/1997 08:30;0.000
02/05/1997 08:30;02/05/1997 09:30;0.000
02/05/1997 09:30;02/05/1997 10:30;0.000
02/05/1997 10:30;02/05/1997 11:30;0.000
02/05/1997 11:30;02/05/1997 12:30;0.000
02/05/1997 12:30;02/05/1997 13:30;0.000
02/05/1997 13:30;02/05/1997 14:30;0.000
02/05/1997 14:30;02/05/1997 15:30;0.000
02/05/1997 15:30;02/05/1997 16:30;0.000
02/05/1997 16:30;02/05/1997 17:30;0.000
02/05/1997 17:30;02/05/1997 18:30;0.000
02/05/1997 18:30;02/05/1997 19:30;0.000
02/05/1997 19:30;02/05/1997 20:30;0.000
02/05/1997 20:30;02/05/1997 21:30;0.000
02/05/1997 21:30;02/05/1997 22:30;0.000
02/05/1997 22:30;02/05/1997 23:30;0.000
02/05/1997 23:30;03/05/1997 00:30;0.000
03/05/1997 00:30;03/05/1997 01:30;0.000
03/05/1997 01:30;03/05/1997 02:30;0.000
03/05/1997 02:30;03/05/1997 03:30;0.000
03/05/1997 03:30;03/05/1997 04:30;0.000
03/05/1997 04:30;03/05/1997 05:30;0.000
03/05/1997 05:30;03/05/1997 06:30;0.000
03/05/1997 06:30;03/05/1997 07:30;0.508
03/05/1997 07:30;03/05/1997 08:30;0.508
03/05/1997 08:30;03/05/1997 09:30;0.762
03/05/1997 09:30;03/05/1997 10:30;0.000
03/05/1997 10:30;03/05/1997 11:30;0.000
03/05/1997 11:30;03/05/1997 12:30;0.000
03/05/1997 12:30;03/05/1997 13:30;0.000
03/05/1997 13:30;03/05/1997 14:30;0.000
03/05/1997 14:30;03/05/1997 15:30;0.000
03/05/1997 15:30;03/05/1997 16:30;0.000
03/05/1997 16:30;03/05/1997 17:30;0.000
03/05/1997 17:30;03/05/1997 18:30;0.000
03/05/1997 18:30;03/05/1997 19:30;0.000
03/05/1997 19:30;03/05/1997 20:30;2.286
03/05/1997 20:30;03/05/1997 21:30;0.762
03/05/1997 21:30;03/05/1997 22:30;0.508
03/05/1997 22:30;03/05/1997 23:30;0.000
03/05/1997 23:30;04/05/1997 00:30;0.000
04/05/1997 00:30;04/05/1997 01:30;0.000
04/05/1997 01:30;04/05/1997 02:30;0.000
04/05/1997 02:30;04/05/1997 03:30;0.000
04/05/1997 03:30;04/05/1997 04:30;0.000
04/05/1997 04:30;04/05/1997 05:30;0.000
04/05/1997 05:30;04/05/1997 06:30;0.000
04/05/1997 06:30;04/05/1997 07:30;0.000
04/05/1997 07:30;04/05/1997 08:30;0.000
04/05/1997 08:30;04/05/1997 09:30;0.000
04/05/1997 09:30;04/05/1997 10:30;0.000
04/05/1997 10:30;04/05/1997 11:30;0.000
04/05/1997 11:30;04/05/1997 12:30;0.000
04/05/1997 12:30;04/05/1997 13:30;0.000
04/05/1997 13:30;04/05/1997 14:30;0.000
04/05/1997 14:30;04/05/1997 15:30;0.000
