"experiment","shift","t.start","t.end","year","doy.start","precip"
"may 2004",1,2004-05-11 10:30:00,2004-05-11 11:00:00,2004,132,0
"may 2004",2,2004-05-11 11:00:00,2004-05-11 11:30:00,2004,132,0
"may 2004",3,2004-05-11 11:30:00,2004-05-11 12:30:00,2004,132,0
"may 2004",4,2004-05-11 12:30:00,2004-05-11 13:30:00,2004,132,0
"may 2004",5,2004-05-11 13:30:00,2004-05-11 14:30:00,2004,132,0
"may 2004",6,2004-05-11 14:30:00,2004-05-11 16:30:00,2004,132,0
"may 2004",7,2004-05-11 16:30:00,2004-05-11 21:00:00,2004,132,0
"may 2004",8,2004-05-11 21:00:00,2004-05-12 06:06:00,2004,132,0
"may 2004",9,2004-05-12 06:06:00,2004-05-12 11:57:00,2004,133,0
"may 2004",10,2004-05-12 11:57:00,2004-05-12 18:03:00,2004,133,0
"may 2004",11,2004-05-12 18:03:00,2004-05-13 06:03:00,2004,133,0
"may 2004",12,2004-05-13 06:03:00,2004-05-13 11:57:00,2004,134,0.1
"may 2004",13,2004-05-13 11:57:00,2004-05-13 17:57:00,2004,134,0
"may 2004",14,2004-05-13 17:57:00,2004-05-14 06:09:00,2004,134,0
"may 2004",15,2004-05-14 06:09:00,2004-05-14 12:09:00,2004,135,11.5
"may 2004",16,2004-05-14 12:09:00,2004-05-14 17:57:00,2004,135,0
"may 2004",17,2004-05-14 17:57:00,2004-05-15 12:54:00,2004,135,0
"may 2004",18,2004-05-15 12:54:00,2004-05-16 17:40:00,2004,136,3.5
"may 2004",19,2004-05-16 17:40:00,2004-05-17 16:28:00,2004,137,0.2
"may 2004",20,2004-05-17 16:28:00,2004-05-18 14:10:00,2004,138,0
"may 2004",21,2004-05-18 14:10:00,2004-05-18 19:16:00,2004,139,0
"may 2004",22,2004-05-18 19:16:00,2004-05-20 07:38:00,2004,139,0
"may 2005",1,2005-05-09 10:00:00,2005-05-09 10:30:00,2005,129,0
"may 2005",2,2005-05-09 10:30:00,2005-05-09 11:00:00,2005,129,0
"may 2005",3,2005-05-09 11:00:00,2005-05-09 12:00:00,2005,129,0
"may 2005",4,2005-05-09 12:00:00,2005-05-09 13:00:00,2005,129,0
"may 2005",5,2005-05-09 13:00:00,2005-05-09 14:00:00,2005,129,0
"may 2005",6,2005-05-09 14:00:00,2005-05-09 16:00:00,2005,129,0
"may 2005",7,2005-05-09 16:00:00,2005-05-09 18:00:00,2005,129,0
"may 2005",8,2005-05-09 18:00:00,2005-05-09 21:13:00,2005,129,0
