"site","month","year","t.start","t.end","doy.start","precip"
"sandyloam","june",2001,2001-06-20 09:39:00,2001-06-20 15:05:00,171,0
"sandyloam","june",2001,2001-06-20 15:05:00,2001-06-21 00:11:00,171,0
"sandyloam","june",2001,2001-06-21 00:11:00,2001-06-21 10:03:00,172,0
"sandyloam","june",2001,2001-06-21 10:03:00,2001-06-21 15:32:00,172,0
"sandyloam","june",2001,2001-06-21 15:32:00,2001-06-22 01:37:00,172,0
"sandyloam","june",2001,2001-06-22 01:37:00,2001-06-25 11:26:00,173,0
"sandyloam","june",2001,2001-06-25 11:26:00,2001-06-27 08:04:00,176,0
"loam","may",2002,2002-05-13 09:10:00,2002-05-13 09:40:00,133,0
"loam","may",2002,2002-05-13 09:40:00,2002-05-13 10:12:00,133,0
"loam","may",2002,2002-05-13 10:12:00,2002-05-13 10:42:00,133,0
"loam","may",2002,2002-05-13 10:42:00,2002-05-13 11:27:00,133,0
"loam","may",2002,2002-05-13 11:27:00,2002-05-13 12:28:00,133,0
"loam","may",2002,2002-05-13 12:28:00,2002-05-13 13:59:00,133,0
"loam","may",2002,2002-05-13 13:59:00,2002-05-13 15:59:00,133,0
"loam","may",2002,2002-05-13 15:59:00,2002-05-13 18:42:00,133,0
"loam","may",2002,2002-05-13 18:42:00,2002-05-14 02:39:00,133,0
"loam","may",2002,2002-05-14 02:39:00,2002-05-15 13:01:00,134,0
"loam","may",2002,2002-05-15 13:01:00,2002-05-16 00:41:00,135,0
"loam","may",2002,2002-05-16 00:41:00,2002-05-16 20:42:00,136,0.4
"loam","may",2002,2002-05-16 20:42:00,2002-05-20 10:37:00,136,0
"loam","june",2002,2002-06-19 09:32:00,2002-06-19 10:02:00,170,0
"loam","june",2002,2002-06-19 10:02:00,2002-06-19 10:32:00,170,0
"loam","june",2002,2002-06-19 10:32:00,2002-06-19 11:02:00,170,0
"loam","june",2002,2002-06-19 11:02:00,2002-06-19 11:32:00,170,0
"loam","june",2002,2002-06-19 11:32:00,2002-06-19 12:23:00,170,0
"loam","june",2002,2002-06-19 12:23:00,2002-06-19 13:30:00,170,0
"loam","june",2002,2002-06-19 13:30:00,2002-06-19 14:30:00,170,0
"loam","june",2002,2002-06-19 14:30:00,2002-06-19 16:00:00,170,0
"loam","june",2002,2002-06-19 16:00:00,2002-06-19 18:59:00,170,0
"loam","june",2002,2002-06-19 18:59:00,2002-06-20 01:17:00,170,0
"loam","june",2002,2002-06-20 01:17:00,2002-06-20 08:48:00,171,0
"loam","june",2002,2002-06-20 08:48:00,2002-06-20 14:35:00,171,0
"loam","june",2002,2002-06-20 14:35:00,2002-06-21 00:59:00,171,0
"loam","june",2002,2002-06-21 00:59:00,2002-06-21 10:55:00,172,0
"loam","june",2002,2002-06-21 10:55:00,2002-06-21 23:59:00,172,0
"loam","june",2002,2002-06-21 23:59:00,2002-06-22 12:36:00,172,0
"loam","june",2002,2002-06-22 12:36:00,2002-06-23 00:28:00,173,0
"loam","june",2002,2002-06-23 00:28:00,2002-06-23 12:23:00,174,0
"loam","june",2002,2002-06-23 12:23:00,2002-06-24 00:42:00,174,0
"loam","june",2002,2002-06-24 00:42:00,2002-06-24 12:14:00,175,0
"loam","june",2002,2002-06-24 12:14:00,2002-06-25 01:38:00,175,0
"loam","june",2002,2002-06-25 01:38:00,2002-06-26 01:26:00,176,0
"loam","june",2002,2002-06-26 01:26:00,2002-06-27 01:27:00,177,0
"sandyloam","may",2002,2002-05-08 09:02:00,2002-05-08 09:32:00,128,0
"sandyloam","may",2002,2002-05-08 09:32:00,2002-05-08 10:01:00,128,0
"sandyloam","may",2002,2002-05-08 10:01:00,2002-05-08 10:38:00,128,0
"sandyloam","may",2002,2002-05-08 10:38:00,2002-05-08 11:28:00,128,0
"sandyloam","may",2002,2002-05-08 11:28:00,2002-05-08 12:22:00,128,0
"sandyloam","may",2002,2002-05-08 12:22:00,2002-05-08 13:52:00,128,0
"sandyloam","may",2002,2002-05-08 13:52:00,2002-05-08 15:54:00,128,0
"sandyloam","may",2002,2002-05-08 15:54:00,2002-05-08 19:02:00,128,0
"sandyloam","may",2002,2002-05-08 19:02:00,2002-05-09 01:32:00,128,0
"sandyloam","may",2002,2002-05-09 01:32:00,2002-05-09 08:55:00,129,0
"sandyloam","may",2002,2002-05-09 08:55:00,2002-05-09 13:54:00,129,0
"sandyloam","may",2002,2002-05-09 13:54:00,2002-05-10 13:17:00,129,0
"sandyloam","may",2002,2002-05-10 13:17:00,2002-05-11 00:01:00,130,0.9
"sandyloam","may",2002,2002-05-11 00:01:00,2002-05-11 12:01:00,131,0
"sandyloam","may",2002,2002-05-11 12:01:00,2002-05-12 00:05:00,131,0
"sandyloam","may",2002,2002-05-12 00:05:00,2002-05-12 12:23:00,132,0
"sandyloam","may",2002,2002-05-12 12:23:00,2002-05-13 01:14:00,132,0
"sandyloam","may",2002,2002-05-13 01:14:00,2002-05-13 21:11:00,133,0
"sandyloam","may",2002,2002-05-13 21:11:00,2002-05-16 10:25:00,133,0
"sandyloam","june",2002,2002-06-25 08:59:00,2002-06-25 09:29:00,176,0
"sandyloam","june",2002,2002-06-25 09:29:00,2002-06-25 09:59:00,176,0
"sandyloam","june",2002,2002-06-25 09:59:00,2002-06-25 10:28:00,176,0
"sandyloam","june",2002,2002-06-25 10:28:00,2002-06-25 10:58:00,176,0
"sandyloam","june",2002,2002-06-25 10:58:00,2002-06-25 11:35:00,176,0
"sandyloam","june",2002,2002-06-25 11:35:00,2002-06-25 12:35:00,176,0
"sandyloam","june",2002,2002-06-25 12:35:00,2002-06-25 13:46:00,176,0
"sandyloam","june",2002,2002-06-25 13:46:00,2002-06-25 16:04:00,176,0
"sandyloam","june",2002,2002-06-25 16:04:00,2002-06-25 19:15:00,176,0
"sandyloam","june",2002,2002-06-25 19:15:00,2002-06-26 01:10:00,176,0
"sandyloam","june",2002,2002-06-26 01:10:00,2002-06-26 08:59:00,177,0
"sandyloam","june",2002,2002-06-26 08:59:00,2002-06-26 14:47:00,177,0
"sandyloam","june",2002,2002-06-26 14:46:00,2002-06-27 01:02:00,177,0
"sandyloam","june",2002,2002-06-27 01:02:00,2002-06-27 21:20:00,178,0
"sandyloam","june",2002,2002-06-27 21:20:00,2002-06-28 19:40:00,178,0
"sandyloam","june",2002,2002-06-28 19:40:00,2002-06-30 08:07:00,179,0
"sandyloam","june",2002,2002-06-30 08:07:00,2002-07-02 00:12:00,181,4.8
"sandyloam","june",2002,2002-07-02 00:12:00,2002-07-03 19:54:00,183,0
"loam","may",2003,2003-05-20 08:47:00,2003-05-20 09:17:00,140,0
"loam","may",2003,2003-05-20 09:17:00,2003-05-20 09:47:00,140,0
"loam","may",2003,2003-05-20 09:47:00,2003-05-20 10:47:00,140,0
"loam","may",2003,2003-05-20 10:47:00,2003-05-20 11:47:00,140,0
"loam","may",2003,2003-05-20 11:47:00,2003-05-20 14:18:00,140,0
"loam","may",2003,2003-05-20 14:18:00,2003-05-20 16:36:00,140,0
"loam","may",2003,2003-05-20 16:36:00,2003-05-20 20:22:00,140,0
"loam","may",2003,2003-05-20 20:22:00,2003-05-21 06:28:00,140,0
"loam","may",2003,2003-05-21 06:28:00,2003-05-21 11:16:00,141,0
"loam","may",2003,2003-05-21 11:16:00,2003-05-21 19:22:00,141,0
"loam","may",2003,2003-05-21 19:22:00,2003-05-22 06:24:00,141,0
"loam","may",2003,2003-05-22 06:24:00,2003-05-22 11:52:00,142,3.5
"loam","may",2003,2003-05-22 11:52:00,2003-05-22 16:06:00,142,0
"loam","may",2003,2003-05-22 16:06:00,2003-05-23 08:32:00,142,0
"loam","may",2003,2003-05-23 08:32:00,2003-05-23 18:51:00,143,0
"loam","may",2003,2003-05-23 18:51:00,2003-05-24 07:25:00,143,0
"loam","may",2003,2003-05-24 07:25:00,2003-05-24 19:48:00,144,0
"loam","may",2003,2003-05-24 19:48:00,2003-05-25 06:37:00,144,0
