DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
470,19900101,    0,    0,
470,19900102,    0,    0,
470,19900103,    0,    0,
470,19900104,    0,    0,
470,19900105,    0,    0,
470,19900106,    0,    0,
470,19900107,   28,    0,
470,19900108,   18,    0,
470,19900109,    3,    0,
470,19900110,    3,    0,
470,19900111,    0,    0,
470,19900112,    0,    0,
470,19900113,    0,    0,
470,19900114,   11,    0,
470,19900115,   11,    0,
470,19900116,   27,    0,
470,19900117,    1,    0,
470,19900118,    0,    0,
470,19900119,    0,    0,
470,19900120,   29,    0,
470,19900121,    3,    0,
470,19900122,    0,    0,
470,19900123,   14,    0,
470,19900124,  235,    0,
470,19900125,   56,    0,
470,19900126,   50,    0,
470,19900127,   29,    0,
470,19900128,   15,    0,
470,19900129,   27,    0,
470,19900130,    5,    0,
470,19900131,    3,    0,
470,19900201,    5,    0,
470,19900202,   58,    0,
470,19900203,    4,    0,
470,19900204,  143,    0,
470,19900205,    0,    0,
470,19900206,    0,    0,
470,19900207,    1,    0,
470,19900208,  110,    0,
470,19900209,    4,    0,
470,19900210,    0,    0,
470,19900211,   55,    0,
470,19900212,   55,    0,
470,19900213,   10,    0,
470,19900214,   82,    0,
470,19900215,   62,    0,
470,19900216,   40,    0,
470,19900217,    0,    0,
470,19900218,   98,    0,
470,19900219,   14,    0,
470,19900220,    0,    0,
470,19900221,    0,    0,
470,19900222,   14,    0,
470,19900223,    0,    0,
470,19900224,    0,    0,
470,19900225,    0,    0,
470,19900226,   42,    0,
470,19900227,   67,    0,
470,19900228,    4,    0,
470,19900301,  248,    0,
470,19900302,   52,    0,
470,19900303,   36,    0,
470,19900304,    0,    0,
470,19900305,    0,    0,
470,19900306,    8,    0,
470,19900307,    4,    0,
470,19900308,    0,    0,
470,19900309,    0,    0,
470,19900310,   26,    0,
470,19900311,    0,    0,
470,19900312,    0,    0,
470,19900313,    0,    0,
470,19900314,    5,    0,
470,19900315,    0,    0,
470,19900316,    0,    0,
470,19900317,    0,    0,
470,19900318,    0,    0,
470,19900319,    0,    0,
470,19900320,   38,    0,
470,19900321,    0,    0,
470,19900322,    0,    0,
470,19900323,    0,    0,
470,19900324,    0,    0,
470,19900325,   58,    0,
470,19900326,   33,    0,
470,19900327,    0,    0,
470,19900328,    0,    0,
470,19900329,    0,    0,
470,19900330,    0,    0,
470,19900331,    0,    0,
470,19900401,    0,    0,
470,19900402,    0,    0,
470,19900403,   56,    0,
470,19900404,   40,    0,
470,19900405,    0,    0,
470,19900406,    0,    0,
470,19900407,    0,    0,
470,19900408,    0,    0,
470,19900409,    0,    0,
470,19900410,    0,    0,
470,19900411,   59,    0,
470,19900412,    0,    0,
470,19900413,    3,    0,
470,19900414,   18,    0,
470,19900415,  182,    0,
470,19900416,   30,    0,
470,19900417,   35,    0,
470,19900418,    6,    0,
470,19900419,    0,    0,
470,19900420,    1,    0,
470,19900421,   14,    0,
470,19900422,    6,    0,
470,19900423,    0,    0,
470,19900424,    0,    0,
470,19900425,    0,    0,
470,19900426,    0,    0,
470,19900427,   32,    0,
470,19900428,    0,    0,
470,19900429,    0,    0,
470,19900430,    0,    0,
470,19900501,    0,    0,
470,19900502,    0,    0,
470,19900503,    0,    0,
470,19900504,    0,    0,
470,19900505,    0,    0,
470,19900506,    0,    0,
470,19900507,    0,    0,
470,19900508,    0,    0,
470,19900509,    0,    0,
470,19900510,    4,    0,
470,19900511,   39,    0,
470,19900512,  116,    0,
470,19900513,   46,    0,
470,19900514,    0,    0,
470,19900515,    0,    0,
470,19900516,   39,    0,
470,19900517,    0,    0,
470,19900518,    0,    0,
470,19900519,    0,    0,
470,19900520,    0,    0,
470,19900521,    0,    0,
470,19900522,    0,    0,
470,19900523,    0,    0,
470,19900524,    0,    0,
470,19900525,    0,    0,
470,19900526,    0,    0,
470,19900527,    0,    0,
470,19900528,    0,    0,
470,19900529,    0,    0,
470,19900530,    0,    0,
470,19900531,    0,    0,
470,19900601,    0,    0,
470,19900602,   54,    0,
470,19900603,   14,    0,
470,19900604,   64,    0,
470,19900605,    4,    0,
470,19900606,    2,    0,
470,19900607,   44,    0,
470,19900608,    2,    0,
470,19900609,   78,    0,
470,19900610,    8,    0,
470,19900611,    3,    0,
470,19900612,    0,    0,
470,19900613,   17,    0,
470,19900614,    0,    0,
470,19900615,    0,    0,
470,19900616,    0,    0,
470,19900617,    0,    0,
470,19900618,    0,    0,
470,19900619,    0,    0,
470,19900620,   11,    0,
470,19900621,   98,    0,
470,19900622,   22,    0,
470,19900623,   48,    0,
470,19900624,    2,    0,
470,19900625,    0,    0,
470,19900626,    0,    0,
470,19900627,    0,    0,
470,19900628,    0,    0,
470,19900629,    0,    0,
470,19900630,    0,    0,
470,19900701,  132,    0,
470,19900702,   96,    0,
470,19900703,    0,    0,
470,19900704,    6,    0,
470,19900705,    4,    0,
470,19900706,   76,    0,
470,19900707,   18,    0,
470,19900708,   12,    0,
470,19900709,    0,    0,
470,19900710,   42,    0,
470,19900711,    0,    0,
470,19900712,    0,    0,
470,19900713,    0,    0,
470,19900714,    0,    0,
470,19900715,    0,    0,
470,19900716,    0,    0,
470,19900717,    0,    0,
470,19900718,    0,    0,
470,19900719,    0,    0,
470,19900720,    0,    0,
470,19900721,    0,    0,
470,19900722,    0,    0,
470,19900723,    0,    0,
