plot,t.start,t.end,j.NH3
U_3_I,21-08-2021 13:19,21-08-2021 16:16,0.135593220338983
U_3_I,21-08-2021 16:16,21-08-2021 18:22,0.0952380952380953
U_3_I,21-08-2021 18:22,22-08-2021 07:23,0.0614596670934699
U_3_I,22-08-2021 07:23,22-08-2021 10:45,0.0594059405940597
U_3_I,22-08-2021 10:45,22-08-2021 13:31,0.108433734939759
U_3_I,22-08-2021 13:31,22-08-2021 16:00,0.0805369127516783
U_3_I,22-08-2021 16:00,22-08-2021 18:30,0.0799999999999997
U_3_I,22-08-2021 18:30,23-08-2021 07:33,0.0383141762452107
U_3_I,23-08-2021 07:33,23-08-2021 10:29,0.034090909090909
U_3_I,23-08-2021 10:29,23-08-2021 13:10,0.0372670807453415
U_3_I,23-08-2021 13:10,23-08-2021 16:15,0.0648648648648652
U_3_I,23-08-2021 16:15,23-08-2021 19:12,0.0338983050847456
U_3_I,23-08-2021 19:12,24-08-2021 07:18,0.0165289256198347
U_3_I,24-08-2021 07:18,24-08-2021 10:30,0.0312500000000004
U_3_I,24-08-2021 10:30,24-08-2021 13:04,0.0389610389610388
U_3_I,24-08-2021 13:04,24-08-2021 16:37,0.0563380281690139
U_3_I,24-08-2021 16:37,24-08-2021 18:53,0
U_3_I,24-08-2021 18:53,25-08-2021 07:19,0.0160857908847186
U_3_I,25-08-2021 07:19,25-08-2021 13:26,0
U_3_I,25-08-2021 13:26,25-08-2021 16:27,0
U_3_I,25-08-2021 16:27,25-08-2021 18:54,0
U_3_I,25-08-2021 18:54,26-08-2021 07:25,0
U_3_I,26-08-2021 07:25,26-08-2021 11:09,0.0267857142857142
U_3_I,26-08-2021 11:09,26-08-2021 18:45,0.0263157894736841
U_3_I,26-08-2021 18:45,27-08-2021 07:25,0
U_3_I,27-08-2021 07:25,27-08-2021 17:34,0
U_3_I,27-08-2021 17:34,28-08-2021 08:07,0
U_3_I,28-08-2021 08:07,28-08-2021 13:53,0
U_3_I,28-08-2021 13:53,29-08-2021 08:08,0
