"institute","cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","uptake","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","eid","pid","pmid"
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2018.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2018-04-23 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2018","","Digestate",NA,350,45.3,9.11,"IT","Flat",12,43,46,1.23,"Loam",NA,NA,"Dry",7.05,NA,"Yes","No","sewage sludge",NA,"None","Slurry","Anaerobic digestion","Ammonia stripping",50,10.3,4.04,7.9,4.74,NA,NA,NA,8.6,2018-04-23 11:00:00,2018-04-23 12:00:00,"os",48.5,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,"The plot for Digestate experiments is the same. We carried out measurements on the same plot in 3 consecutve years",5,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Digestate","bLS","ALPHA passive samplers plus Windtrax dispersion model","23-04-2018 11:00","23-04-2018 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2018.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2018-04-23 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2018","","Massimo Zilio, Fabrizio Adani",230,NA,NA,8.66,18.5,21.3,29.4,31.6,NA,NA,31.8,31.8,NA,NA,8.66,18.5,21.3,29.4,31.6,NA,NA,31.8,31.8,NA,NA,0.0377,0.0805,0.0926,0.128,0.137,NA,NA,0.138,0.138,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,21.8,21.8,18.2,18.8,19.8,19.8,19.8,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,1.87,1.43,1.57,1.69,1.67,1.67,1.67,NA,NA,1.87,1.87,1.43,1.57,1.69,1.67,1.67,1.67,NA,NA,55.5,55.5,164,227,251,258,258,258,NA,NA,0,0,0,0,0,0,0,0,NA,NA,38.6,38.6,58.6,56.9,54.5,56.5,56.5,56.5,5,13,9,6,0.00628,1.44,5,19,6,78,2018-04-23 17:00:00,2018-04-26 18:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Sewage sludge","Open slot injection","os",NA,2018-04-23,"",NA,303,381,2223,2227
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2018.F:.P:Urea.T:Urea.R:NA.R2:.T:2018-04-23 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2018","","Urea",NA,350,45.3,9.11,"IT","Flat",12,39,49,1.13,"Loam",NA,NA,"Dry",7.06,NA,"Yes","No","urea 46%",NA,"None","Solid",NA,NA,NA,100,NA,NA,460,NA,NA,NA,NA,2018-04-23 11:00:00,2018-04-23 12:00:00,"bc",0.4,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,"The plot for Urea experiments is the same. We carried out measurements on the same plot in 3 consecutve years",8,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Urea","bLS","ALPHA passive samplers plus Windtrax dispersion model","23-04-2018 11:00","23-04-2018 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2018.F:.P:Urea.T:Urea.R:NA.R2:.T:2018-04-23 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2018","","Massimo Zilio, Fabrizio Adani",184,NA,NA,2.85,10.1,11.6,21.6,24,NA,NA,24.3,24.3,NA,NA,2.85,10.1,11.6,21.6,24,NA,NA,24.3,24.3,NA,NA,0.0155,0.0549,0.063,0.117,0.13,NA,NA,0.132,0.132,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,21.8,21.8,18.2,18.8,19.8,19.8,19.8,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,1.87,1.43,1.57,1.69,1.67,1.67,1.67,NA,NA,1.87,1.87,1.43,1.57,1.69,1.67,1.67,1.67,NA,NA,55.5,55.5,164,227,251,258,258,258,NA,NA,0,0,0,0,0,0,0,0,NA,NA,38.6,38.6,58.6,56.9,54.5,56.5,56.5,56.5,32,40,9,6,0.00258,0.475,5,19,6,78,2018-04-23 17:00:00,2018-04-26 18:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Urea 46%","Broadcast","bc",NA,2018-04-23,"",NA,303,381,2224,2228
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2019.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2019-04-16 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2019","","Digestate",NA,350,45.3,9.11,"IT","Flat",12,43,46,1.23,"Loam",NA,NA,"Dry",7.05,NA,"Yes","No","sewage sludge",NA,"None","Slurry","Anaerobic digestion","Ammonia stripping",50,10.5,4.04,7.9,4.73,NA,NA,NA,8.4,2019-04-16 11:00:00,2019-04-16 12:00:00,"os",48.5,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,NA,6,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Digestate","bLS","ALPHA passive samplers plus Windtrax dispersion model","16-04-2019 11:00","16-04-2019 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2019.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2019-04-16 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2019","","Massimo Zilio, Fabrizio Adani",229,NA,NA,0,0.866,3.38,15.3,23.7,NA,NA,23.7,23.7,NA,NA,0,0.866,3.38,15.3,23.7,NA,NA,23.7,23.7,NA,NA,0,0.00377,0.0147,0.0667,0.103,NA,NA,0.103,0.103,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,16.7,16.7,13.4,13.9,14.7,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1.27,1.1,1.18,2.21,2.1,2.1,2.1,NA,NA,1.27,1.27,1.1,1.18,2.21,2.1,2.1,2.1,NA,NA,112,112,240,196,225,241,241,241,NA,NA,0,0,0,0,0,0,0,0,NA,NA,48.1,48.1,62,63.2,61.3,61,61,61,14,22,9,6,0,0,6,13,6,89,2019-04-16 16:00:00,2019-04-19 20:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Sewage sludge","Open slot injection","os",NA,2019-04-16,"",NA,303,382,2225,2229
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2019.F:.P:Urea.T:Urea.R:NA.R2:.T:2019-04-16 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2019","","Urea",NA,350,45.3,9.11,"IT","Flat",12,39,49,1.13,"Loam",NA,NA,"Dry",7.06,NA,"Yes","No","urea 46%",NA,"None","Solid",NA,NA,NA,100,NA,NA,460,NA,NA,NA,NA,2019-04-16 11:00:00,2019-04-16 12:00:00,"bc",0.4,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,NA,9,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Urea","bLS","ALPHA passive samplers plus Windtrax dispersion model","16-04-2019 11:00","16-04-2019 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2019.F:.P:Urea.T:Urea.R:NA.R2:.T:2019-04-16 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2019","","Massimo Zilio, Fabrizio Adani",184,NA,NA,0.334,0.334,7.28,20.7,28,NA,NA,28.3,28.3,NA,NA,0.334,0.334,7.28,20.7,28,NA,NA,28.3,28.3,NA,NA,0.00182,0.00182,0.0396,0.113,0.152,NA,NA,0.154,0.154,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,16.7,16.7,13.4,13.9,14.7,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,1.27,1.1,1.18,2.21,2.1,2.1,2.1,NA,NA,1.27,1.27,1.1,1.18,2.21,2.1,2.1,2.1,NA,NA,112,112,240,196,225,241,241,241,NA,NA,0,0,0,0,0,0,0,0,NA,NA,48.1,48.1,62,63.2,61.3,61,61,61,41,49,9,6,0.000303,0.0557,6,13,6,89,2019-04-16 16:00:00,2019-04-19 20:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Urea 46%","Broadcast","bc",NA,2019-04-16,"",NA,303,382,2226,2230
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2020.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2020-05-28 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2020","","Digestate",NA,350,45.3,9.11,"IT","Flat",12,43,46,1.23,"Loam",NA,NA,"Dry",7.05,NA,"Yes","No","sewage sludge",NA,"None","Slurry","Anaerobic digestion","Ammonia stripping",50,10.5,4.04,7.7,4.1,NA,NA,NA,8.5,2020-05-28 11:00:00,2020-05-28 12:00:00,"os",48.5,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,NA,7,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Digestate","bLS","ALPHA passive samplers plus Windtrax dispersion model","28-05-2020 11:00","28-05-2020 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2020.F:.P:Digestate.T:Digestate.R:NA.R2:.T:2020-05-28 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2020","","Massimo Zilio, Fabrizio Adani",199,NA,NA,3.69,6.1,12.4,14,15.2,NA,NA,16,16,NA,NA,3.69,6.1,12.4,14,15.2,NA,NA,16,16,NA,NA,0.0186,0.0307,0.0622,0.0705,0.0766,NA,NA,0.0804,0.0804,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,23.7,23.7,19.1,18.6,19,19.1,19.1,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,2.16,4.78,3.3,3.24,2.78,2.78,2.78,NA,NA,2.16,2.16,4.78,3.3,3.24,2.78,2.78,2.78,NA,NA,452,452,416,320,328,303,303,303,NA,NA,0,0,0,0,0,0,0,0,NA,NA,31.6,31.6,48,48.7,48.4,48.8,48.8,48.8,23,31,9,6,0.0031,0.616,6,17,6,86,2020-05-28 17:00:00,2020-05-31 20:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Sewage sludge","Open slot injection","os",NA,2020-05-28,"",NA,303,383,2227,2231
"DiSAA-IT","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2020.F:.P:Urea.T:Urea.R:NA.R2:.T:2020-05-28 11:00:00.M:bLSALPHA passive samplers plus Windtrax dispersion model","Zilio et al 2019","SYSTEMIC","SYS 2020","","Urea",NA,350,45.3,9.11,"IT","Flat",12,39,49,1.13,"Loam",NA,NA,"Dry",7.06,NA,"Yes","No","urea 46%",NA,"None","Solid",NA,NA,NA,100,NA,NA,460,NA,NA,NA,NA,2020-05-28 11:00:00,2020-05-28 12:00:00,"bc",0.4,"t/ha",NA,NA,NA,NA,NA,NA,"bare soil",0,0,NA,NA,10,NA,3,"../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx","Urea","bLS","ALPHA passive samplers plus Windtrax dispersion model","28-05-2020 11:00","28-05-2020 12:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.F:../../data-submitted/03/DiSSA-IT/ALFAM2_data from Adani-Zilio_2.xlsx.E:SYS 2020.F:.P:Urea.T:Urea.R:NA.R2:.T:2020-05-28 11:00:00","D:1.I:DiSAA-IT.Pr:SYSTEMIC.E:SYS 2020","","Massimo Zilio, Fabrizio Adani",184,NA,NA,1.63,4.68,12.6,15,16,NA,NA,16.8,16.8,NA,NA,1.63,4.68,12.6,15,16,NA,NA,16.8,16.8,NA,NA,0.00884,0.0254,0.0687,0.0813,0.0869,NA,NA,0.0913,0.0913,NA,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,23.7,23.7,19.1,18.6,19,19.1,19.1,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,2.16,4.78,3.3,3.24,2.78,2.78,2.78,NA,NA,2.16,2.16,4.78,3.3,3.24,2.78,2.78,2.78,NA,NA,452,452,416,320,328,303,303,303,NA,NA,0,0,0,0,0,0,0,0,NA,NA,31.6,31.6,48,48.7,48.4,48.8,48.8,48.8,50,58,9,6,0.00147,0.271,6,17,6,86,2020-05-28 17:00:00,2020-05-31 20:00:00,NA,NA,2,"Nearest station",10000,"Zilio, M. et al. (2020) ‘Evaluation of ammonia and odour emissions from animal slurry and digestate storage in the Po Valley (Italy)’, Waste Management. Elsevier Ltd, 103, pp. 296–304. doi: 10.1016/j.wasman.2019.12.038.",NA,NA,NA,FALSE,"bLS","micro met","Bare soil","Urea 46%","Broadcast","bc",NA,2020-05-28,"",NA,303,383,2228,2232
