day	hr	atemp	rh	wind
142	800	15.03	65.1	0.995
142	900	17.19	51.14	1.381
142	1000	19.21	39.39	1.921
142	1100	20.8	31.46	2.172
142	1200	22.17	28.51	2.432
142	1300	23.29	29.95	2.96
142	1400	24.57	28.83	2.787
142	1500	25.08	29.82	2.776
142	1600	21.4	44.42	3.29
142	1700	18.75	54.72	3.832
142	1800	17.82	50.04	3.568
142	1900	17.55	45.79	3.63
142	2000	15.9	52.38	3.563
142	2100	14.11	63.3	3.136
142	2200	13.01	68.73	2.523
142	2300	12.82	67.3	1.979
143	0	11.85	72.3	0.946
143	100	11.26	80.4	0.764
143	200	10.03	83.6	0.598
143	300	9.87	84.3	0.625
143	400	9.33	89.8	0.658
143	500	9.23	89.3	0.755
143	600	9.89	85.1	0.886
143	700	12.03	76.3	1.697
143	800	14.03	65.56	2.045
143	900	15.97	59.41	2.162
143	1000	17.62	58.42	2.342
143	1100	19.33	53.98	2.046
143	1200	20.17	53.71	2.067
143	1300	21.85	48.09	1.991
143	1400	22.61	50.57	2.254
143	1500	23.59	49.81	2.019
143	1600	24.5	42.81	2.089
143	1700	25.41	38.67	2.261
143	1800	25.43	40.04	1.521
143	1900	24.83	41.87	1.246
143	2000	21.51	52.65	1.107
143	2100	18.49	57.02	1.694
143	2200	17.16	59.71	1.268
143	2300	15.72	64.49	1.047
144	0	14.17	70	0.67
144	100	13.04	75.2	0.637
144	200	12.32	78.5	0.606
144	300	11.39	83.7	0.722
144	400	10.53	88.7	1.101
144	500	10.03	90.4	1.203
144	600	9.84	91.6	1.049
144	700	11.73	83.8	1.027
144	800	14.48	78.4	2.086
144	900	15.33	69.92	2.865
144	1000	16.06	64.03	3.232
144	1100	17.76	55.85	3.688
144	1200	18.6	48.82	3.632
144	1300	20.18	43.9	3.814
144	1400	19.23	46.16	4.404
144	1500	18.43	46.9	4.572
144	1600	17.59	47.26	4.488
144	1700	16.63	48.38	4.772
144	1800	15.45	46.33	4.818
144	1900	15.12	44.91	4.173
144	2000	14.31	42.94	4
144	2100	13.97	40.12	4.191
144	2200	13.91	38.62	4.068
144	2300	13.49	47.53	3.11
145	0	12.3	57.66	2.417
145	100	11.07	67.13	2.14
145	200	10.33	69.58	1.606
145	300	10.12	69.9	1.281
145	400	9.5	76.7	0.785
145	500	8.8	86.1	0.5
145	600	8.65	85.2	0.854
145	700	11.41	74.4	1.109
145	800	14.39	63.13	1.573
145	900	16.78	53.09	1.626
145	1000	17.81	58.69	1.816
145	1100	19.51	52.13	2.187
145	1200	20.79	45.06	3.139
145	1300	22.35	33.82	2.942
145	1400	23.18	34.17	2.018
145	1500	24.13	31.51	2.497
145	1600	24.86	28.34	2.203
145	1700	25.29	27.86	2.62
145	1800	25.14	28.29	2.675
145	1900	25.81	26.35	1.321
145	2000	22.69	33.42	1.125
145	2100	18.94	42.05	0.768
145	2200	16.5	53.65	0.588
145	2300	14.97	61.1	0.732
146	0	14.85	55.1	0.899
146	100	13.51	60.7	0.782
146	200	12.71	63.9	1.182
146	300	11.1	76.4	1.354
146	400	9.81	83.7	1.325
146	500	9.16	85.8	1.367
146	600	8.91	87.4	1.352
146	700	11.69	75.7	1.013
146	800	15.93	64.38	0.719
146	900	18.52	61.25	1.019
146	1000	20.61	50.7	1.154
146	1100	21.74	47.47	1.565
146	1200	22.98	45.75	1.627
146	1300	23.45	45.54	1.532
146	1400	24.05	45.62	1.562
146	1500	24.93	45.92	1.687
146	1600	25.67	44.66	1.555
146	1700	25.89	46.01	1.462
146	1800	24.74	49.11	1.423
146	1900	23.13	55.27	1.11
146	2000	21.97	60.57	0.793
146	2100	20.51	66.35	0.599
146	2200	18.8	74.1	0.793
146	2300	18.05	79.6	1.074
147	0	17.29	84.1	1.263
147	100	15.74	90.7	0.893
147	200	15.33	92.5	0.862
147	300	15.28	92.4	0.873
147	400	15.18	92.9	0.691
147	500	14.45	95	0.973
147	600	13.42	94.9	1.111
147	700	13.25	93.4	1.245
147	800	13.23	92.1	1.507
147	900	13.77	87.5	1.997
147	1000	15.55	77.7	1.972
147	1100	16.72	70.6	2.036
147	1200	16.58	69.4	1.979
147	1300	16	72.9	1.546
147	1400	15.12	82.7	1.129
147	1500	16	81.7	0.914
147	1600	16.64	81.1	0.682
147	1700	17.22	81.5	0.688
147	1800	17.04	85.9	0.801
147	1900	16.14	85.9	0.764
147	2000	13.37	89	1.041
147	2100	11.74	94.1	0.703
147	2200	11.22	96.6	0.603
147	2300	10.92	99.2	0.562
148	0	11.31	99.1	0.971
148	100	10.95	99.8	0.559
148	200	11.07	100.7	0.633
148	300	11.6	99.9	0.711
148	400	12	98.3	0.915
148	500	12.12	96.9	0.827
148	600	12.38	97.5	0.847
148	700	13.15	96	1.136
148	800	14.05	95.1	1.394
148	900	14.54	93.5	1.247
148	1000	15.62	90.3	1.235
148	1100	16.31	87.9	1.806
148	1200	17.06	83.8	1.828
148	1300	17.15	81.6	1.94
148	1400	15.98	89.7	1.647
148	1500	14.51	99.2	1.286
148	1600	14.66	100	0.974
148	1700	15.11	96.3	0.599
148	1800	14.97	99.9	0.82
148	1900	15.48	95.1	0.8
148	2000	15.19	95.8	0.804
148	2100	14.19	98.7	0.666
148	2200	13.76	100.5	0.486
148	2300	13.73	100.3	0.805
149	0	13.53	100.3	0.896
149	100	13.24	101.4	1.082
149	200	12.87	101.1	0.737
149	300	12.9	101.3	1.378
149	400	12.64	99.6	2.135
149	500	12.38	99.8	2.198
149	600	12.49	99.5	2.034
149	700	12.4	98.8	2.065
149	800	12.36	98.7	1.845
149	900	12.77	96.3	2.084
149	1000	13.3	93.8	2.041
149	1100	14.13	90.7	2.131
149	1200	15.03	86.5	2.012
