"date","t2","plot","rep","water","ph"
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"11-05-2004","untreated",1,1,0.3472,6.64
"12-05-2004","untreated",1,1,0.2099,6.66
"12-05-2004","untreated",1,1,0.2099,6.66
"12-05-2004","untreated",1,1,0.2099,6.66
"13-05-2004","untreated",1,1,NA,NA
"13-05-2004","untreated",1,1,NA,NA
"13-05-2004","untreated",1,1,NA,NA
"14-05-2004","untreated",1,1,0.4962,7.34
"14-05-2004","untreated",1,1,0.4962,7.34
"14-05-2004","untreated",1,1,0.4962,7.34
"15-05-2004","untreated",1,1,NA,NA
"16-05-2004","untreated",1,1,NA,NA
"17-05-2004","untreated",1,1,0.16,6.96
"18-05-2004","untreated",1,1,NA,NA
"18-05-2004","untreated",1,1,NA,NA
"19-05-2004","untreated",1,1,NA,NA
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"11-05-2004","untreated",8,2,0.3455,6.83
"12-05-2004","untreated",8,2,0.1912,6.57
"12-05-2004","untreated",8,2,0.1912,6.57
"12-05-2004","untreated",8,2,0.1912,6.57
"13-05-2004","untreated",8,2,NA,NA
"13-05-2004","untreated",8,2,NA,NA
"13-05-2004","untreated",8,2,NA,NA
"14-05-2004","untreated",8,2,0.6084,7.37
"14-05-2004","untreated",8,2,0.6084,7.37
"14-05-2004","untreated",8,2,0.6084,7.37
"15-05-2004","untreated",8,2,NA,NA
"16-05-2004","untreated",8,2,NA,NA
"17-05-2004","untreated",8,2,0.1754,6.89
"18-05-2004","untreated",8,2,NA,NA
"18-05-2004","untreated",8,2,NA,NA
"19-05-2004","untreated",8,2,NA,NA
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"11-05-2004","untreated",14,3,0.3547,6.57
"12-05-2004","untreated",14,3,0.1873,6.54
"12-05-2004","untreated",14,3,0.1873,6.54
"12-05-2004","untreated",14,3,0.1873,6.54
"13-05-2004","untreated",14,3,NA,NA
"13-05-2004","untreated",14,3,NA,NA
"13-05-2004","untreated",14,3,NA,NA
"14-05-2004","untreated",14,3,0.6393,7.13
"14-05-2004","untreated",14,3,0.6393,7.13
"14-05-2004","untreated",14,3,0.6393,7.13
"15-05-2004","untreated",14,3,NA,NA
"16-05-2004","untreated",14,3,NA,NA
"17-05-2004","untreated",14,3,0.1622,6.73
"18-05-2004","untreated",14,3,NA,NA
"18-05-2004","untreated",14,3,NA,NA
"19-05-2004","untreated",14,3,NA,NA
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"11-05-2004","decanted",5,1,0.2973,6.44
"12-05-2004","decanted",5,1,0.1908,6.53
"12-05-2004","decanted",5,1,0.1908,6.53
"12-05-2004","decanted",5,1,0.1908,6.53
"13-05-2004","decanted",5,1,NA,NA
"13-05-2004","decanted",5,1,NA,NA
"13-05-2004","decanted",5,1,NA,NA
"14-05-2004","decanted",5,1,0.6012,7.4
"14-05-2004","decanted",5,1,0.6012,7.4
"14-05-2004","decanted",5,1,0.6012,7.4
"15-05-2004","decanted",5,1,NA,NA
"16-05-2004","decanted",5,1,NA,NA
"17-05-2004","decanted",5,1,0.165,7.02
"18-05-2004","decanted",5,1,NA,NA
"18-05-2004","decanted",5,1,NA,NA
"19-05-2004","decanted",5,1,NA,NA
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"11-05-2004","decanted",7,2,0.2978,6.71
"12-05-2004","decanted",7,2,0.1644,6.61
"12-05-2004","decanted",7,2,0.1644,6.61
"12-05-2004","decanted",7,2,0.1644,6.61
"13-05-2004","decanted",7,2,NA,NA
"13-05-2004","decanted",7,2,NA,NA
"13-05-2004","decanted",7,2,NA,NA
"14-05-2004","decanted",7,2,0.5505,7.29
"14-05-2004","decanted",7,2,0.5505,7.29
"14-05-2004","decanted",7,2,0.5505,7.29
"15-05-2004","decanted",7,2,NA,NA
"16-05-2004","decanted",7,2,NA,NA
"17-05-2004","decanted",7,2,0.148,7.1
"18-05-2004","decanted",7,2,NA,NA
"18-05-2004","decanted",7,2,NA,NA
"19-05-2004","decanted",7,2,NA,NA
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
"11-05-2004","decanted",12,3,0.3197,6.77
