site,month,year,t.start,t.end
Loam,june,2003,25-06-2003 16:41,26-06-2003 09:07
Loam,june,2003,26-06-2003 09:07,26-06-2003 19:26
Loam,june,2003,26-06-2003 19:26,27-06-2003 08:00
Loam,june,2003,27-06-2003 08:00,27-06-2003 20:23
Loam,june,2003,27-06-2003 20:23,28-06-2003 07:12
Loam,june,2003,28-06-2003 07:12,28-06-2003 19:42
Loam,june,2003,28-06-2003 19:42,29-06-2003 07:21
Loam,june,2003,29-06-2003 07:21,29-06-2003 20:32
Loam,june,2003,29-06-2003 20:32,30-06-2003 06:58
Loam,june,2003,30-06-2003 06:58,01-07-2003 05:05
Loam,may,2001,22-05-2001 11:07,22-05-2001 11:37
Loam,may,2001,22-05-2001 11:37,22-05-2001 12:07
Loam,may,2001,22-05-2001 12:07,22-05-2001 12:37
Loam,may,2001,22-05-2001 12:37,22-05-2001 13:07
Loam,may,2001,22-05-2001 13:07,22-05-2001 13:52
Loam,may,2001,22-05-2001 13:52,22-05-2001 14:52
Loam,may,2001,22-05-2001 14:52,22-05-2001 16:22
Loam,may,2001,22-05-2001 16:22,22-05-2001 19:14
Loam,may,2001,22-05-2001 19:14,23-05-2001 01:59
Loam,may,2001,23-05-2001 01:59,23-05-2001 09:43
Loam,may,2001,23-05-2001 09:43,23-05-2001 14:33
Loam,may,2001,23-05-2001 14:33,23-05-2001 23:43
Loam,may,2001,23-05-2001 23:43,24-05-2001 09:15
Loam,may,2001,24-05-2001 09:15,24-05-2001 13:50
Loam,may,2001,24-05-2001 13:50,24-05-2001 23:24
Loam,may,2001,24-05-2001 23:24,25-05-2001 09:33
Loam,may,2001,25-05-2001 09:33,25-05-2001 14:42
Loam,may,2001,25-05-2001 14:42,25-05-2001 23:25
Loam,may,2001,25-05-2001 23:25,26-05-2001 08:51
Loam,may,2001,26-05-2001 08:51,26-05-2001 15:10
Loam,may,2001,26-05-2001 15:10,26-05-2001 23:54
Loam,may,2001,26-05-2001 23:54,27-05-2001 11:06
Loam,may,2001,27-05-2001 11:06,28-05-2001 02:06
Loam,may,2001,28-05-2001 02:06,28-05-2001 13:13
Loam,may,2001,28-05-2001 13:13,29-05-2001 13:13
Loam,may,2001,29-05-2001 13:13,30-05-2001 13:13
Loam,may,2002,13-05-2002 09:10,13-05-2002 09:40
Loam,may,2002,13-05-2002 09:40,13-05-2002 10:12
Loam,may,2002,13-05-2002 10:12,13-05-2002 10:42
Loam,may,2002,13-05-2002 10:42,13-05-2002 11:27
Loam,may,2002,13-05-2002 11:27,13-05-2002 12:28
Loam,may,2002,13-05-2002 12:28,13-05-2002 13:59
Loam,may,2002,13-05-2002 13:59,13-05-2002 15:59
Loam,may,2002,13-05-2002 15:59,13-05-2002 18:42
Loam,may,2002,13-05-2002 18:42,14-05-2002 02:39
Loam,may,2002,14-05-2002 02:39,15-05-2002 13:01
Loam,may,2002,15-05-2002 13:01,16-05-2002 00:41
