"V1" "V2" "V3" "V4" "V5" "V6"
"1" 14.6 2 14.1 0.1 14.9 71.3
"2" 14.7 2 14.1 0.1 14.8 21
"3" 15 2 14.1 0.1 15.3 112.3
"4" 15.4 2 14.1 0.1 16 196
"5" 15.6 2 14.2 0.1 16.1 158.7
"6" 15.4 2 14.3 0.1 15.7 83.5
"7" 15.2 2 14.4 0.1 15.5 55.1
"8" 14.6 2 14.4 0.1 14.8 16.3
"9" 14.6 2 14.4 0.1 14.8 16.3
"10" 14.2 2 14.4 0.1 14.3 1.2
"11" 14.2 2 14.4 0.1 14.3 1.2
"12" 13.7 2 14.4 0.1 13.8 0
"13" 13.7 2 14.4 0.1 13.8 0
"14" 13.3 2 14.3 0.1 13.3 0
"15" 13.3 2 14.3 0.1 13.3 0
"16" 12.9 2 14.2 0.1 12.9 0
"17" 12.9 2 14.2 0.1 12.9 0
"18" 12.1 2 14.2 0.1 12.1 0
"19" 12.1 2 14.2 0.1 12.1 0
"20" 11.2 2 14.1 0.1 11.3 0
"21" 11.2 2 14.1 0.1 11.3 0
"22" 10.8 2 13.9 0.1 10.9 0
"23" 10.8 2 13.9 0.1 10.9 0
"24" 10.6 2 13.8 0.1 10.6 0
"25" 10.6 2 13.8 0.1 10.6 0
"26" 10.3 2 13.7 0.1 10.3 2.3
"27" 10.3 2 13.7 0.1 10.3 2.3
"28" 10.1 2 13.6 0.1 10.1 5.7
"29" 10.1 2 13.6 0.1 10.1 5.7
"30" 9.9 2 13.5 0.1 10 19.7
"31" 9.9 2 13.5 0.1 10 19.7
"32" 9.8 2 13.3 0.1 9.9 40.5
"33" 9.8 2 13.3 0.1 9.9 40.5
"34" 9.8 2 13.2 0.1 9.8 50
"35" 9.8 2 13.2 0.1 9.8 50
"36" 9.9 2 13.2 0.1 10 67.3
"37" 9.9 2 13.2 0.1 10 67.3
"38" 10.3 2 13.1 0.1 10.3 78.5
"39" 10.3 2 13.1 0.1 10.3 78.5
"40" 10.3 2 13 0.1 10.4 74.4
"41" 10.3 2 13 0.1 10.4 74.4
"42" 10.3 2 13 0.1 10.4 83.5
"43" 10.3 2 13 0.1 10.4 83.5
"44" 10.2 2 12.9 0.1 10.3 94.5
"45" 10.2 2 12.9 0.1 10.3 94.5
"46" 11 2 12.9 0.1 11.3 160.5
"47" 11 2 12.9 0.1 11.3 160.5
"48" 11.5 2 12.8 0.1 12.1 310.6
"49" 11.5 2 12.8 0.1 12.1 310.6
"50" 11.6 2 12.9 0.1 12.1 215.1
"51" 11.6 2 12.9 0.1 12.1 215.1
"52" 11.8 2 12.9 0.1 12.4 284.8
"53" 11.8 2 12.9 0.1 12.4 284.8
"54" 11.4 2 13 0.1 11.9 208.9
"55" 11.4 2 13 0.1 11.9 208.9
"56" 10.7 2 12.9 0.1 10.8 95.3
"57" 10.7 2 12.9 0.1 10.8 95.3
"58" 9.6 2 12.9 0.1 9.2 13.5
"59" 9.6 2 12.9 0.1 9.2 13.5
"60" 8.4 2 12.7 0.1 7.3 0
"61" 8.4 2 12.7 0.1 7.3 0
"62" 7.8 2 12.6 0.1 6.6 0
"63" 8.3 2 12.4 0.1 7.7 0
"64" 8.3 2 12.4 0.1 7.7 0
"65" 8.5 2 12.2 0.1 8.2 0
"66" 8.5 2 12.2 0.1 8.2 0
"67" 8.7 2 12 0.1 8.6 0
"68" 8.7 2 12 0.1 8.6 0
"69" 8.7 2 11.9 0.1 8.4 0
"70" 8.7 2 11.9 0.1 8.4 0
"71" 7.9 2 11.8 0.1 7.2 0
"72" 7.9 2 11.8 0.1 7.2 0
"73" 7.3 2 11.7 0.1 6.6 9.9
"74" 7.3 2 11.7 0.1 6.6 9.9
"75" 7.5 2 11.6 0.1 7.6 125.1
"76" 7.5 2 11.6 0.1 7.6 125.1
"77" 8.7 2 11.5 0.1 9.4 270.9
"78" 8.7 2 11.5 0.1 9.4 270.9
"79" 10.7 2 11.4 0.1 12.2 421.5
"80" 10.7 2 11.4 0.1 12.2 421.5
"81" 12.2 2 11.5 0.1 14 539.2
"82" 12.2 2 11.5 0.1 14 539.2
"83" 13.6 2 11.6 0.1 15.8 623.3
"84" 13.6 2 11.6 0.1 15.8 623.3
"85" 15 2 11.9 0.1 17.2 670.4
"86" 15 2 11.9 0.1 17.2 670.4
"87" 16 2 12.3 0.1 17.6 587.4
"88" 16 2 12.3 0.1 17.6 587.4
"89" 16.9 2 12.7 0.1 18.5 707.1
"90" 16.9 2 12.7 0.1 18.5 707.1
"91" 17.4 2 13.1 0.1 19.2 748.3
"92" 17.4 2 13.1 0.1 19.2 748.3
"93" 17.1 2 13.5 0.1 18.3 551
"94" 17.1 2 13.5 0.1 18.3 551
"95" 17.1 2 13.8 0.1 18.4 552.8
"96" 17.1 2 13.8 0.1 18.4 552.8
"97" 17 2 14 0.1 18.5 526.7
"98" 17 2 14 0.1 18.5 526.7
"99" 16.4 2 14.1 0.1 17.4 373.9
"100" 16.4 2 14.1 0.1 17.4 373.9
"101" 15.6 2 14.2 0.1 16.1 241.9
"102" 15.6 2 14.2 0.1 16.1 241.9
"103" 14.4 2 14.1 0.1 14.4 106
"104" 14.4 2 14.1 0.1 14.4 106
"105" 12.4 2 14 0.1 11.6 13.9
"106" 12.4 2 14 0.1 11.6 13.9
"107" 10.4 2 13.8 0.1 9.1 0
"108" 10.4 2 13.8 0.1 9.1 0
"109" 9.1 2 13.6 0.1 8.1 0
"110" 9.1 2 13.6 0.1 8.1 0
"111" 8.5 2 13.3 0.1 7.7 0
"112" 8.5 2 13.3 0.1 7.7 0
"113" 7.6 2 13 0.1 7 0
"114" 7.6 2 13 0.1 7 0
"115" 7.6 2 12.8 0.1 7.1 0
"116" 7.6 2 12.8 0.1 7.1 0
"117" 7.9 2 12.6 0.1 7.6 0
"118" 7.9 2 12.6 0.1 7.6 0
"119" 8.6 2 12.4 0.1 8.3 0
"120" 8.6 2 12.4 0.1 8.3 0
"121" 9.4 2 12.3 0.1 9.1 3.7
"122" 9.4 2 12.3 0.1 9.1 3.7
"123" 9.9 2 12.1 0.1 9.6 18.3
"124" 9.9 2 12.1 0.1 9.6 18.3
"125" 10 2 12 0.1 9.8 38
"126" 10 2 12 0.1 9.8 38
"127" 9.9 2 12 0.1 9.9 51.7
"128" 9.7 2 11.9 0.1 9.8 80.7
"129" 10 2 11.8 0.1 10.1 166.7
"130" 10.5 2 11.9 0.1 10.7 351.7
"131" 10.9 2 12 0.1 11.3 353.8
"132" 11.4 2 12.1 0.1 12.3 352.9
"133" 11.4 2 12.1 0.1 12.3 352.9
"134" 11.2 2 12.3 0.1 11.8 276.2
"135" 11.2 2 12.3 0.1 11.8 276.2
"136" 11.7 2 12.4 0.1 12.5 260.7
"137" 11.7 2 12.4 0.1 12.5 260.7
"138" 11.4 2 12.6 0.1 11.8 143.5
"139" 11.4 2 12.6 0.1 11.8 143.5
"140" 11.1 2 12.6 0.1 11.5 144.2
"141" 11.1 2 12.6 0.1 11.5 144.2
"142" 11.2 2 12.6 0.1 11.7 173.3
"143" 11.2 2 12.6 0.1 11.7 173.3
"144" 11.4 2 12.6 0.1 12.1 206.7
"145" 11.4 2 12.6 0.1 12.1 206.7
"146" 10.7 2 12.6 0.1 10.8 79.5
"147" 10.7 2 12.6 0.1 10.8 79.5
"148" 10.2 2 12.6 0.1 10 5.9
"149" 10.2 2 12.6 0.1 10 5.9
"150" 9.8 2 12.5 0.1 9.6 0
"151" 9.8 2 12.5 0.1 9.6 0
"152" 9.7 2 12.4 0.1 9.4 0
"153" 9.7 2 12.4 0.1 9.4 0
"154" 9.4 2 12.3 0.1 9 0
"155" 9.4 2 12.3 0.1 9 0
"156" 9.9 2 12.1 0.1 9.6 0
"157" 9.9 2 12.1 0.1 9.6 0
"158" 9.9 2 12 0.1 9.8 0
"159" 9.9 2 12 0.1 9.8 0
"160" 9.9 2 11.9 0.1 9.8 0
"161" 9.9 2 11.9 0.1 9.8 0
"162" 9.7 2 11.9 0.1 9.6 0
"163" 9.7 2 11.9 0.1 9.6 0
"164" 9.5 2 11.8 0.1 9.5 5
"165" 9.5 2 11.8 0.1 9.5 5
"166" 9.5 2 11.7 0.1 9.5 31.3
"167" 9.5 2 11.7 0.1 9.5 31.3
"168" 10 2 11.7 0.1 10.2 85.7
"169" 10 2 11.7 0.1 10.2 85.7
"170" 10.9 2 11.6 0.1 11.5 234.2
"171" 10.9 2 11.6 0.1 11.5 234.2
"172" 12.3 2 11.6 0.1 13.9 494.8
"173" 12.3 2 11.6 0.1 13.9 494.8
"174" 13.1 2 11.8 0.1 15 622.6
"175" 13.1 2 11.8 0.1 15 622.6
"176" 13.8 2 12 0.1 15.9 735.1
"177" 13.8 2 12 0.1 15.9 735.1
"178" 14 2 12.4 0.1 16.4 786
"179" 14 2 12.4 0.1 16.4 786
"180" 13.3 2 12.9 0.1 15.1 488.1
"181" 13.3 2 12.9 0.1 15.1 488.1
"182" 12.8 2 13.3 0.1 14.5 510
"183" 12.8 2 13.3 0.1 14.5 510
"184" 11.8 2 13.6 0.1 12.9 274.9
"185" 11.8 2 13.6 0.1 12.9 274.9
"186" 11.3 2 13.7 0.1 12.1 209.6
"187" 11.3 2 13.7 0.1 12.1 209.6
"188" 11.3 2 13.7 0.1 12 157.6
"189" 11.3 2 13.7 0.1 12 157.6
"190" 10.5 2 13.7 0.1 10.8 87.3
"191" 10.5 2 13.7 0.1 10.8 87.3
"192" 10.4 2 13.6 0.1 10.5 37.4
"193" 10.4 2 13.6 0.1 10.5 37.4
"194" 10.2 2 13.5 0.1 10.1 39.1
"195" 10.2 2 13.5 0.1 10.1 39.1
"196" 9.8 2 13.3 0.1 9.6 7.1
"197" 9.8 2 13.3 0.1 9.6 7.1
"198" 9.5 2 13.1 0.1 9.3 0
"199" 9.5 2 13.1 0.1 9.3 0
"200" 9 2 13 0.1 8.8 0
"201" 9 2 13 0.1 8.8 0
"202" 9.2 2 12.8 0.1 9 0
"203" 9.2 2 12.8 0.1 9 0
"204" 9.3 2 12.6 0.1 9.2 0
"205" 9.3 2 12.6 0.1 9.2 0
"206" 8.7 2 12.4 0.1 8.7 0
"207" 8.7 2 12.4 0.1 8.7 0
"208" 8.6 2 12.3 0.1 8.5 0
"209" 8.6 2 12.3 0.1 8.5 0
"210" 8.6 2 12.2 0.1 8.3 0
"211" 8.6 2 12.2 0.1 8.3 0
"212" 8.7 2 12.1 0.1 8.6 3
"213" 8.7 2 12.1 0.1 8.6 3
"214" 9.2 2 12 0.1 9.1 18.3
"215" 9.2 2 12 0.1 9.1 18.3
"216" 9 2 11.9 0.1 9.1 60
"217" 9 2 11.9 0.1 9.1 60
"218" 9.2 2 11.8 0.1 9.5 196
"219" 9.7 2 11.8 0.1 9.7 262.5
"220" 9.7 2 11.8 0.1 9.7 262.5
"221" 10.5 2 11.9 0.1 10.6 369.8
"222" 10.5 2 11.9 0.1 10.6 369.8
"223" 11.2 2 12.1 0.1 12.6 588.6
"224" 11.2 2 12.1 0.1 12.6 588.6
"225" 11.8 2 12.3 0.1 13.7 625.5
"226" 11.8 2 12.3 0.1 13.7 625.5
"227" 12.1 2 12.6 0.1 14 572.4
"228" 12.1 2 12.6 0.1 14 572.4
"229" 11.9 2 12.9 0.1 13.3 378.9
"230" 11.9 2 12.9 0.1 13.3 378.9
"231" 12.2 2 13.2 0.1 14.3 529.1
"232" 12.2 2 13.2 0.1 14.3 529.1
"233" 11.8 2 13.4 0.1 12.9 250.8
"234" 11.8 2 13.4 0.1 12.9 250.8
"235" 11.5 2 13.6 0.1 12.4 193.8
"236" 11.5 2 13.6 0.1 12.4 193.8
"237" 11.3 2 13.6 0.1 12.1 159.6
"238" 11.3 2 13.6 0.1 12.1 159.6
"239" 11.1 2 13.6 0.1 11.7 95
"240" 11.1 2 13.6 0.1 11.7 95
"241" 10.4 2 13.6 0.1 10.6 35.3
"242" 10.4 2 13.6 0.1 10.6 35.3
"243" 9.6 2 13.5 0.1 9.6 1.4
"244" 9.6 2 13.5 0.1 9.6 1.4
"245" 9 2 13.4 0.1 9 0
"246" 9 2 13.4 0.1 9 0
"247" 8.9 2 13.2 0.1 8.9 0
"248" 8.9 2 13.2 0.1 8.9 0
"249" 8.4 2 13.1 0.1 8.3 0
"250" 8.4 2 13.1 0.1 8.3 0
"251" 8.1 2 12.9 0.1 8.1 0
"252" 8.1 2 12.9 0.1 8.1 0
"253" 8.1 2 12.8 0.1 8.1 0
"254" 8.1 2 12.8 0.1 8.1 0
"255" 8.1 2 12.7 0.1 8.1 0
"256" 8.1 2 12.7 0.1 8.1 0
"257" 8 2 12.6 0.1 8.1 0
"258" 8 2 12.6 0.1 8.1 0
"259" 7.7 2 12.5 0.1 7.8 2.1
"260" 7.7 2 12.5 0.1 7.8 2.1
"261" 7.6 2 12.4 0.1 7.7 26.5
"262" 7.6 2 12.4 0.1 7.7 26.5
"263" 8.1 2 12.3 0.1 8.4 58.1
"264" 8.1 2 12.3 0.1 8.4 58.1
"265" 8.5 2 12.2 0.1 8.9 71.2
"266" 8.5 2 12.2 0.1 8.9 71.2
"267" 9 2 12.2 0.1 9.5 101.3
"268" 9 2 12.2 0.1 9.5 101.3
"269" 10.2 2 12.2 0.1 10.7 226.7
"270" 10.2 2 12.2 0.1 10.7 226.7
"271" 11.8 2 12.2 0.1 11.6 384.2
"272" 11.8 2 12.2 0.1 11.6 384.2
"273" 12.6 2 12.3 0.1 13 387
"274" 13 2 12.6 0.1 13.8 399.6
"275" 14.6 2 14.1 0.1 14.9 71.3
"276" 14.6 2 14.1 0.1 14.9 71.3
"277" 14.7 2 14.1 0.1 14.8 21
"278" 15 2 14.1 0.1 15.3 112.3
"279" 15.4 2 14.1 0.1 16 196
"280" 15.6 2 14.2 0.1 16.1 158.7
"281" 15.4 2 14.3 0.1 15.7 83.5
"282" 15.2 2 14.4 0.1 15.5 55.1
"283" 14.6 2 14.4 0.1 14.8 16.3
"284" 14.6 2 14.4 0.1 14.8 16.3
"285" 14.2 2 14.4 0.1 14.3 1.2
"286" 14.2 2 14.4 0.1 14.3 1.2
"287" 13.7 2 14.4 0.1 13.8 0
"288" 13.7 2 14.4 0.1 13.8 0
"289" 13.3 2 14.3 0.1 13.3 0
"290" 13.3 2 14.3 0.1 13.3 0
"291" 12.9 2 14.2 0.1 12.9 0
"292" 12.9 2 14.2 0.1 12.9 0
