"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
2778,2782,71484,952,1,NA,NA,NA,NA,1,NA,NA,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,0.0693,1.73,1.73,0.0693,NA,NA,NA,NA,NA,4.59,4.59,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2778,2782,71485,953,2,NA,NA,NA,NA,1.73,NA,NA,2.73,1.87,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,0.0918,3.97,5.7,0.228,NA,NA,NA,NA,NA,4.33,4.33,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2778,2782,71486,954,3,NA,NA,NA,NA,5.57,NA,NA,8.3,5.52,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0728,0.00292,0.405,6.1,0.245,NA,NA,NA,NA,NA,4.66,4.66,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2778,2782,71487,955,4,NA,NA,NA,NA,12.2,NA,NA,20.5,14.4,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105,0.00042,0.128,6.23,0.25,NA,NA,NA,NA,NA,1.82,1.82,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2778,2782,71488,956,5,NA,NA,NA,NA,12.4,NA,NA,32.9,26.7,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172,6.9e-05,0.0213,6.25,0.251,NA,NA,NA,NA,NA,4.3,4.3,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2778,2782,71489,957,6,NA,NA,NA,NA,19.6,NA,NA,52.5,42.7,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00218,8.72e-05,0.0427,6.3,0.252,NA,NA,NA,NA,NA,1.08,1.08,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2779,2783,71490,1660,1,NA,NA,"2010-05-20T12:56:00Z","2010-05-20T12:56:00Z",1.03,NA,NA,1.03,0.517,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.0106,0.468,0.468,0.011,14.8,NA,NA,NA,NA,1.19,1.19,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2779,2783,71491,1660,2,NA,NA,"2010-05-20T13:58:00Z","2010-05-20T13:58:00Z",2.07,NA,NA,3.1,2.07,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,0.0271,2.39,2.86,0.067,16.6,NA,NA,NA,NA,2.28,2.28,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2779,2783,71492,1660,3,NA,NA,"2010-05-20T16:02:00Z","2010-05-20T16:02:00Z",3.1,NA,NA,6.2,4.65,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.0297,3.94,6.8,0.159,17.8,NA,NA,NA,NA,3.54,3.54,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2779,2783,71493,1670,4,NA,NA,"2010-05-20T19:08:00Z","2010-05-20T19:08:00Z",2.75,NA,NA,8.95,7.58,8.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848,0.0198,2.33,9.13,0.214,17.5,NA,NA,NA,NA,3.68,3.68,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
2779,2783,71494,1670,5,NA,NA,"2010-05-20T21:53:00Z","2010-05-20T21:53:00Z",14.1,NA,NA,23.1,16,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0838,0.00196,1.18,10.3,0.241,12.1,NA,NA,NA,NA,1.9,1.9,1.5,NA,2,NA,NA,0,0,0,NA,NA,""
