"pmid","pid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int","exper","file"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,1935,36482,5,1,2021-08-20 11:05:00,2021-08-20 18:13:00,"20/08/2021 11:05","20/08/2021 11:05",7.1,7.1333,-0.033333,7.1,3.55,7.25,0.11667,NA,0.98899,"mg NH3 /m3",NA,NA,NA,NA,NA,2.1386,0.030549,15.184,15.184,0.2169,16.5269230769231,NA,NA,NA,NA,NA,3.17919230769231,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36483,6,2,2021-08-20 18:13:00,2021-08-21 07:32:00,"20/08/2021 18:13","20/08/2021 18:13",13.3,13.317,-0.016667,20.4,13.75,20.567,7.25,NA,0.34085,"mg NH3 /m3",NA,NA,NA,NA,NA,0.16183,0.0023117,2.1523,17.336,0.24764,11.6384615384615,NA,NA,NA,NA,NA,1.18744538461538,NA,2,NA,NA,NA,0,0.0153846153846154,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36484,7,3,2021-08-21 07:32:00,2021-08-21 18:41:00,"21/08/2021 07:32","21/08/2021 07:32",11.2,11.15,0.05,31.6,26,31.717,20.567,NA,-0.4769,"mg NH3 /m3",NA,NA,NA,NA,NA,0.25772,0.0036814,2.8865,20.223,0.28887,15.947619047619,NA,NA,NA,NA,NA,1.7229619047619,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36485,8,4,2021-08-21 18:41:00,2021-08-22 07:33:00,"21/08/2021 18:41","21/08/2021 18:41",12.9,12.867,0.033333,44.5,38.05,44.583,31.717,NA,2.5668,"mg NH3 /m3",NA,NA,NA,NA,NA,0.027074,0.00038675,0.34926,20.572,0.29386,10.618,NA,NA,NA,NA,NA,0.36688864,NA,2,NA,NA,NA,0,0.008,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36486,9,5,2021-08-22 07:33:00,2021-08-22 18:38:00,"22/08/2021 07:33","22/08/2021 07:33",11.1,11.083,0.016667,55.6,50.05,55.667,44.583,NA,2.6409,"mg NH3 /m3",NA,NA,NA,NA,NA,0.18384,0.0026261,2.0406,22.612,0.32301,18.0547619047619,NA,NA,NA,NA,NA,2.27917857142857,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36487,10,6,2021-08-22 18:38:00,2021-08-23 07:40:00,"22/08/2021 18:38","22/08/2021 18:38",13,13.033,-0.033333,68.6,62.1,68.7,55.667,NA,0.68359,"mg NH3 /m3",NA,NA,NA,NA,NA,0.010047,0.00014351,0.13061,22.743,0.32488,10.736,NA,NA,NA,NA,NA,0.463158,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
