"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","chamber.vol","chamber.flow","chamber.AER","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
3363,3367,93862,5,1,2025-04-02 15:50:49.319,2025-04-02 18:22:43.891,"1743609049.319","1743609049.319",2.53,2.53,-3.11e-15,2.53,1.27,2.53,0,NA,0.222,"ppm",NA,NA,NA,NA,NA,1.17,0.0184,2.96,2.96,0.0466,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,".",""
3363,3367,93863,6,2,2025-04-02 18:22:43.891,2025-04-02 20:54:39.079,"1743618163.891","1743618163.891",2.53,2.53,0,5.06,3.8,5.06,2.53,NA,0.112,"ppm",NA,NA,NA,NA,NA,0.825,0.013,2.09,5.05,0.0795,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93864,7,3,2025-04-02 20:54:39.079,2025-04-02 23:26:32.891,"1743627279.079","1743627279.079",2.53,2.53,-1.33e-15,7.6,6.33,7.6,5.06,NA,0.0548,"ppm",NA,NA,NA,NA,NA,0.507,0.00798,1.28,6.33,0.0997,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93865,8,4,2025-04-02 23:26:32.891,2025-04-03 01:58:29.108,"1743636392.891","1743636392.891",2.53,2.53,8.88e-16,10.1,8.86,10.1,7.6,NA,0.0346,"ppm",NA,NA,NA,NA,NA,0.275,0.00433,0.696,7.03,0.111,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93866,9,5,2025-04-03 01:58:29.108,2025-04-03 04:30:24.253,"1743645509.108","1743645509.108",2.53,2.53,-4e-15,12.7,11.4,12.7,10.1,NA,0.0322,"ppm",NA,NA,NA,NA,NA,0.201,0.00316,0.508,7.53,0.119,-1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93867,10,6,2025-04-03 04:30:24.253,2025-04-03 07:01:43.594,"1743654624.253","1743654624.253",2.52,2.52,-6.62e-11,15.2,13.9,15.2,12.7,NA,0.0325,"ppm",NA,NA,NA,NA,NA,0.145,0.00229,0.366,7.9,0.124,-2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93868,11,7,2025-04-03 07:01:43.594,2025-04-03 09:33:39.269,"1743663703.594","1743663703.594",2.53,2.53,6.62e-11,17.7,16.4,17.7,15.2,NA,0.044,"ppm",NA,NA,NA,NA,NA,0.114,0.0018,0.289,8.19,0.129,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93869,12,8,2025-04-03 09:33:39.269,2025-04-03 12:05:34.796,"1743672819.269","1743672819.269",2.53,2.53,2.22e-15,20.2,19,20.2,17.7,NA,0.081,"ppm",NA,NA,NA,NA,NA,0.159,0.0025,0.402,8.59,0.135,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93870,13,9,2025-04-03 12:05:34.796,2025-04-03 14:37:29.595,"1743681934.796","1743681934.796",2.53,2.53,1.33e-15,22.8,21.5,22.8,20.2,NA,0.092,"ppm",NA,NA,NA,NA,NA,0.234,0.00368,0.592,9.18,0.145,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
3363,3367,93871,14,10,2025-04-03 14:37:29.595,2025-04-03 17:09:25.867,"1743691049.595","1743691049.595",2.53,2.53,-4.44e-16,25.3,24,25.3,22.8,NA,0.0837,"ppm",NA,NA,NA,NA,NA,0.244,0.00385,0.619,9.8,0.154,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.0335","0.223333333333333",0,0,0,NA,NA,""
