"cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","institute","sub.period","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","app.method.orig","incorp.orig","man.source.orig","date.start","flag.int","soil.samp.z"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:1 AD.T:AD.R:1.R2:.T:2022-04-05 14:17:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","1 AD","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.2","76.89","2.72",1.13,NA,NA,NA,"7.51",2022-04-05 14:17:00,2022-04-11 10:12:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",5,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-05 14:17:02 UTC","2022-04-11 10:12:39 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:1 AD.T:AD.R:1.R2:.T:2022-04-05 14:17:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,2.07,3.02,4.73,6.61,8.86,10.4,11.7,NA,13,13,NA,2.07,3.02,4.73,6.61,8.86,10.4,11.7,NA,13,13,NA,0.0612,0.089,0.14,0.195,0.261,0.307,0.346,NA,0.382,0.382,NA,0,0,0,0,0,0,0,NA,0,0,NA,5,4.57,3.12,2.1,3.92,3.85,4.08,4.06,4.06,NA,4.7,4.8,4.8,4.43,4.54,4.76,4.84,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,236,118,89.3,72.3,54.7,121,134,134,NA,0,0,0,0,0,0,0,0,0,NA,57.4,60.2,70.9,84.5,88.4,87.8,80.3,78.6,78.6,5,62,58,1.73,0.0138,0.468,1.73,18.9,1.73,140,2022-04-05 14:17:00,2022-04-11 08:28:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:10 AD-L.T:AD-L.R:3.R2:.T:2022-04-05 15:28:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","10 AD-L","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.16","70.16","2.48",1.13,NA,NA,NA,"7.53",2022-04-05 15:28:00,2022-04-11 11:24:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",6,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-05 15:28:59 UTC","2022-04-11 11:24:37 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:10 AD-L.T:AD-L.R:3.R2:.T:2022-04-05 15:28:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,0.53,0.71,1.04,1.61,2.23,2.65,3.19,NA,3.6,3.6,NA,0.53,0.71,1.04,1.61,2.23,2.65,3.19,NA,3.6,3.6,NA,0.0156,0.021,0.0306,0.0474,0.0657,0.0781,0.094,NA,0.106,0.106,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.6,3.97,2.52,2.47,4.04,3.88,4.1,4.09,4.09,NA,4.8,4.87,4.77,4.38,4.53,4.75,4.84,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,164,82.1,95.2,70.8,70.4,138,151,151,NA,0,0,0,0,0,0,0,0,0,NA,63.1,66,76.4,86.7,89.8,88.3,80,78.3,78.3,63,121,59,1.73,0.00377,0.128,1.73,18.8,1.73,140,2022-04-05 15:28:00,2022-04-11 09:40:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:12 AD.T:AD.R:3.R2:.T:2022-04-05 15:44:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","12 AD","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.2","76.89","2.72",1.13,NA,NA,NA,"7.51",2022-04-05 15:44:00,2022-04-11 11:40:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-05 15:44:59 UTC","2022-04-11 11:40:37 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:12 AD.T:AD.R:3.R2:.T:2022-04-05 15:44:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,1.64,2.46,4.29,6.93,9.91,11.9,13.7,NA,15.2,15.2,NA,1.64,2.46,4.29,6.93,9.91,11.9,13.7,NA,15.2,15.2,NA,0.0483,0.0724,0.126,0.204,0.292,0.351,0.403,NA,0.449,0.449,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.65,4,2.47,2.46,3.98,3.88,4.11,4.09,4.09,NA,4.85,4.9,4.77,4.38,4.53,4.75,4.84,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,151,75.7,88.9,68.3,64.8,134,145,145,NA,0,0,0,0,0,0,0,0,0,NA,60.8,64.5,75.9,85.9,89.2,87.6,79.5,78.1,78.1,122,179,58,1.73,0.00928,0.314,1.73,18.9,1.73,140,2022-04-05 15:44:00,2022-04-11 09:56:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:2 AD-F.T:AD-F.R:1.R2:.T:2022-04-05 14:25:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","2 AD-F","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"22.49","88.01","3.56",0.43,NA,NA,NA,"8.02",2022-04-05 14:25:00,2022-04-11 10:20:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-05 14:25:01 UTC","2022-04-11 10:20:39 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:2 AD-F.T:AD-F.R:1.R2:.T:2022-04-05 14:25:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",4.3,NA,0.108,0.135,0.133,0.19,0.342,0.442,0.63,NA,0.752,0.752,NA,0.108,0.135,0.133,0.19,0.342,0.442,0.63,NA,0.752,0.752,NA,0.025,0.0313,0.031,0.0443,0.0794,0.103,0.147,NA,0.175,0.175,NA,0,0,0,0,0,0,0,NA,0,0,NA,5,4.57,3.02,2.07,3.9,3.83,4.07,4.07,4.07,NA,4.7,4.8,4.78,4.42,4.53,4.76,4.83,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,236,118,89.2,72.3,53.3,119,134,134,NA,0,0,0,0,0,0,0,0,0,NA,57.4,60.2,71.9,85,88.7,88,80.4,78.5,78.5,180,238,59,1.73,0.00775,0.0333,0.27,18.9,1.73,140,2022-04-05 14:25:00,2022-04-11 08:36:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:4 AD-L.T:AD-L.R:1.R2:.T:2022-04-05 14:41:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","4 AD-L","1",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.16","70.16","2.48",1.13,NA,NA,NA,"7.53",2022-04-05 14:41:00,2022-04-11 10:36:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-05 14:41:00 UTC","2022-04-11 10:36:39 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:4 AD-L.T:AD-L.R:1.R2:.T:2022-04-05 14:41:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,0.558,0.745,1.06,1.61,2.38,2.92,3.58,NA,4.15,4.15,NA,0.558,0.745,1.06,1.61,2.38,2.92,3.58,NA,4.15,4.15,NA,0.0165,0.022,0.0312,0.0475,0.0703,0.0862,0.106,NA,0.123,0.123,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.75,4.4,2.88,2.05,3.89,3.83,4.08,4.07,4.07,NA,4.75,4.83,4.78,4.41,4.53,4.76,4.83,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,232,116,88.2,70.8,55.4,119,136,136,NA,0,0,0,0,0,0,0,0,0,NA,62,63.3,73.7,86,89.3,88.3,80.6,78.7,78.7,239,297,59,1.73,0.0042,0.142,0.536,18.9,1.73,140,2022-04-05 14:41:00,2022-04-11 08:52:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:5 AD-F.T:AD-F.R:2.R2:.T:2022-04-05 14:49:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","5 AD-F","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"22.49","88.01","3.56",0.43,NA,NA,NA,"8.02",2022-04-05 14:49:00,2022-04-11 10:44:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-05 14:49:00 UTC","2022-04-11 10:44:39 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:5 AD-F.T:AD-F.R:2.R2:.T:2022-04-05 14:49:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",4.3,NA,0.0835,0.102,0.0894,0.118,0.234,0.31,0.41,NA,0.494,0.494,NA,0.0835,0.102,0.0894,0.118,0.234,0.31,0.41,NA,0.494,0.494,NA,0.0194,0.0237,0.0208,0.0273,0.0544,0.072,0.0954,NA,0.115,0.115,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.6,4.3,2.83,2.23,3.97,3.87,4.1,4.08,4.08,NA,4.8,4.87,4.8,4.42,4.54,4.76,4.84,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,176,87.8,80.5,65.6,52.5,116,134,134,NA,0,0,0,0,0,0,0,0,0,NA,63.1,64,74.1,85.4,88.9,88.1,80.4,78.6,78.6,298,355,58,1.73,0.00607,0.0261,1.73,18.9,1.73,140,2022-04-05 14:49:00,2022-04-11 09:00:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:6 AD.T:AD.R:2.R2:.T:2022-04-05 15:05:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","6 AD","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"slurry","Anaerobic digestion","None",NA,"6.2","76.89","2.72",1.13,NA,NA,NA,"7.51",2022-04-05 15:05:00,2022-04-11 11:00:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD","Wind tunnel",NA,"2022-04-05 15:05:01 UTC","2022-04-11 11:00:39 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:6 AD.T:AD.R:2.R2:.T:2022-04-05 15:05:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,1.81,2.69,4.53,6.7,9.32,11.1,12.4,NA,13.8,13.8,NA,1.81,2.69,4.53,6.7,9.32,11.1,12.4,NA,13.8,13.8,NA,0.0533,0.0792,0.134,0.198,0.275,0.328,0.367,NA,0.406,0.406,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.6,3.97,2.62,2.13,3.89,3.75,4.01,4.03,4.03,NA,4.8,4.87,4.78,4.4,4.54,4.76,4.84,4.84,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,164,82.1,81.1,64,62.9,124,141,141,NA,0,0,0,0,0,0,0,0,0,NA,63.1,66,75.3,85.9,89.3,88.4,80.6,78.7,78.7,356,415,60,1.73,0.011,0.373,1.73,17.2,1.73,140,2022-04-05 15:05:00,2022-04-11 09:16:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:8 AD-F.T:AD-F.R:3.R2:.T:2022-04-05 15:13:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","8 AD-F","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"solid","Anaerobic digestion","Mechanical separation",NA,"22.49","88.01","3.56",0.43,NA,NA,NA,"8.02",2022-04-05 15:13:00,2022-04-11 11:08:00,"bsth",10,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-F","Wind tunnel",NA,"2022-04-05 15:13:00 UTC","2022-04-11 11:08:38 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:8 AD-F.T:AD-F.R:3.R2:.T:2022-04-05 15:13:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",4.3,NA,0.069,0.0881,0.0879,0.129,0.39,0.54,0.663,NA,0.801,0.801,NA,0.069,0.0881,0.0879,0.129,0.39,0.54,0.663,NA,0.801,0.801,NA,0.0161,0.0205,0.0204,0.0301,0.0907,0.126,0.154,NA,0.186,0.186,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.6,3.97,2.62,2.18,3.91,3.8,3.94,3.97,3.97,NA,4.8,4.87,4.78,4.38,4.53,4.75,4.85,4.85,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,164,82.1,82,64.6,63.1,92.1,117,117,NA,0,0,0,0,0,0,0,0,0,NA,63.1,66,75.3,86,89.4,88.1,80.6,78.8,78.8,416,476,61,1.73,0.00451,0.0194,0.133,17.2,1.73,140,2022-04-05 15:13:00,2022-04-11 09:24:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:9 AD-L.T:AD-L.R:2.R2:.T:2022-04-05 15:20:00.M:Wind tunnelNA",NA,"STABIL26","1","Foulumgård","9 AD-L","2",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.21",NA,NA,"5.95","1.2","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.16","70.16","2.48",1.13,NA,NA,NA,"7.53",2022-04-05 15:20:00,2022-04-11 11:16:00,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-05 15:20:59 UTC","2022-04-11 11:16:37 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:1.F:Foulumgård.P:9 AD-L.T:AD-L.R:2.R2:.T:2022-04-05 15:20:00","D:1.I:AU.Pr:STABIL26.E:1","","Dela Pierre, Flavia",33.9,NA,0.403,0.547,0.797,1.25,1.8,2.2,2.52,NA,2.88,2.88,NA,0.403,0.547,0.797,1.25,1.8,2.2,2.52,NA,2.88,2.88,NA,0.0119,0.0161,0.0235,0.0367,0.053,0.0649,0.0743,NA,0.085,0.085,NA,0,0,0,0,0,0,0,NA,0,0,NA,4.6,3.97,2.52,2.14,3.86,3.77,3.92,3.97,3.97,NA,4.8,4.87,4.77,4.38,4.53,4.75,4.86,4.85,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,164,82.1,82,63,62.3,90.3,119,119,NA,0,0,0,0,0,0,0,0,0,NA,63.1,66,76.4,86.5,89.8,88.3,80.8,78.8,78.8,477,536,60,1.73,0.00282,0.0955,1.73,17.2,1.73,140,2022-04-05 15:20:00,2022-04-11 09:32:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-05,"","0-5"
"D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:1 AD-L.T:AD-L.R:3.R2:.T:NA.M:Wind tunnelNA",NA,"STABIL26","2","Foulumgård","1 AD-L","3",0.2,56.5,9.56,"DK","flat",9,24,65,NA,NA,"0.15",NA,NA,"5.72","1.19","No",NA,"mix","mixture of manure, deep litter, meadow grass, grass, grass silage, straw, cereal, and corn silage",NA,"liquid","Anaerobic digestion","Mechanical separation",NA,"4.22","70.62","2.11",1.31,NA,NA,NA,"7.77",NA,NA,"bsth",30,"t/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"AU",3,"../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx","AD-L","Wind tunnel",NA,"2022-04-19 15.20.47 UTC","2022-04-25 09.56.28 UTC","D:1.I:AU.Pr:STABIL26.F:../../data-submitted/03/AU/ALFAM2_template_8.3_Stabil26_FDP_13_Jan.xlsx.E:2.F:Foulumgård.P:1 AD-L.T:AD-L.R:3.R2:.T:NA","D:1.I:AU.Pr:STABIL26.E:2","","Dela Pierre, Flavia",39.3,NA,1.32,1.68,2.17,2.9,3.76,4.33,4.69,NA,5.11,5.11,NA,1.32,1.68,2.17,2.9,3.76,4.33,4.69,NA,5.11,5.11,NA,0.0336,0.0427,0.0553,0.0737,0.0958,0.11,0.119,NA,0.13,0.13,NA,0,0,0,0,0,0,0,NA,0,0,NA,16.2,15.2,11.6,10.6,10.3,10.6,10.7,9.97,9.97,NA,7.95,8.1,8.13,7.81,7.93,8.06,8.18,8.32,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,267,134,237,254,259,264,242,242,NA,0,0,0,0,0,0,0,0,0,NA,45.9,48.4,65.8,70.2,70.4,68.3,67.7,68.6,68.6,537,616,80,1.73,0.0106,0.415,1.73,1.73,1.73,139,2022-04-19 15:20:00,2022-04-25 08:12:00,2,"0.1",2,NA,NA,NA,NA,NA,NA,FALSE,"Wind tunnel","wt",NA,"Band spread or trailing hose",NA,"Mix",2022-04-19,"","0-5"
