man.source,variable,mean_overall,med_overall,n_obs,n_country,s_overall,s_overall_md
pig,man.ph,7.6,7.5,762,9,0.34,0.33
cat,man.ph,7.5,7.3,1383,12,0.45,0.44
pig,man.dm,4.8,3.9,871,10,1.72,1.82
cat,man.dm,6.3,5.8,1537,12,1.4,1.45
pig,app.rate,37.4,32.1,874,10,17.77,13.42
cat,app.rate,48.2,38,1537,12,19.76,16.61
pig,air.temp.24,13,12.8,777,10,2.68,2.55
cat,air.temp.24,13.5,14,1423,12,3.01,3.79
pig,wind.24,2.4,1.6,770,9,1.44,1.6
cat,wind.24,2.1,2.1,1454,12,0.91,0.85
cat,rain.rate.24,0.1,0,1278,12,0.16,0.16
pig,rain.rate.24,0.1,0,673,9,0.12,0.12
