"institute","proj","exper","field","plot","rep","app.start","sub.period","file","treat","meas.tech","meas.tech.det","rep2","cpmid","pub.id","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","soil.samp.z","inst","pid","pmid","eid"
"AU","MAG","testA","A","plot1","1",2022-10-11 15:24:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","WT","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot1.T:WT.R:1.R2:.T:2022-10-11 15:24:00.M:Wind tunnelNA",NA,0.2,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 05:46:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,".",5,NA,"1665501840","1665726360","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot1.T:WT.R:1.R2:.T:2022-10-11 15:24:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",70,NA,6.59,9.53,16.5,25.8,33.2,NA,NA,NA,35.5,35.5,NA,6.59,9.53,16.5,25.8,33.2,NA,NA,NA,35.5,35.5,NA,0.0941,0.136,0.236,0.369,0.475,NA,NA,NA,0.507,0.507,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.7,10.2,9.06,9.53,9.64,9.81,9.81,9.81,9.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,26,2.4,0.0243,1.7,2.38,2.4,2.4,62.4,2022-10-11 15:24:00,2022-10-14 03:22:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2244,2248,395
"AU","MAG","testA","A","plot10","5",2022-10-11 16:36:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot10.T:DFC.R:5.R2:.T:2022-10-11 16:36:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 06:58:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,12,NA,"1665506160","1665730680","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot10.T:DFC.R:5.R2:.T:2022-10-11 16:36:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.46,10.4,18.8,27.6,34.9,NA,NA,NA,37.1,37.1,NA,7.46,10.4,18.8,27.6,34.9,NA,NA,NA,37.1,37.1,NA,0.0829,0.116,0.208,0.307,0.388,NA,NA,NA,0.412,0.412,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.75,9.3,9.84,9.86,9.95,9.95,9.95,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,50,20,2.4,0.0223,2,2.38,7.2,2.4,62.4,2022-10-11 16:36:00,2022-10-14 04:34:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2245,2249,395
"AU","MAG","testA","A","plot12","6",2022-10-11 16:52:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot12.T:DFC.R:6.R2:.T:2022-10-11 16:52:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 07:14:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,13,NA,"1665507120","1665731640","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot12.T:DFC.R:6.R2:.T:2022-10-11 16:52:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.42,10.3,18.2,27.2,34.5,NA,NA,NA,36.8,36.8,NA,7.42,10.3,18.2,27.2,34.5,NA,NA,NA,36.8,36.8,NA,0.0824,0.114,0.203,0.302,0.384,NA,NA,NA,0.409,0.409,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.75,9.12,9.85,9.85,9.9,9.9,9.9,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,70,20,2.4,0.0226,2.03,2.38,7.2,2.4,62.4,2022-10-11 16:52:00,2022-10-14 04:50:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2246,2250,395
"AU","MAG","testA","A","plot13","3",2022-10-11 17:00:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","WT","Wind tunnel",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot13.T:WT.R:3.R2:.T:2022-10-11 17:00:00.M:Wind tunnelNA",NA,0.2,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 04:58:00,"bsth",35,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,7,NA,"1665507600","1665723480","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot13.T:WT.R:3.R2:.T:2022-10-11 17:00:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",70,NA,8.73,12.4,22.8,34.5,44,NA,NA,NA,46.5,46.5,NA,8.73,12.4,22.8,34.5,44,NA,NA,NA,46.5,46.5,NA,0.125,0.177,0.326,0.493,0.629,NA,NA,NA,0.664,0.664,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.75,9.12,9.85,9.81,9.99,9.99,9.99,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,89,19,2.4,0.0332,2.32,2.38,7.2,2.4,60,2022-10-11 17:00:00,2022-10-13 21:46:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Wind tunnel","wt","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2247,2251,395
"AU","MAG","testA","A","plot15","7",2022-10-11 17:16:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot15.T:DFC.R:7.R2:.T:2022-10-11 17:16:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 05:14:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,14,NA,"1665508560","1665724440","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot15.T:DFC.R:7.R2:.T:2022-10-11 17:16:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.77,10.8,19.2,28,34.8,NA,NA,NA,36.8,36.8,NA,7.77,10.8,19.2,28,34.8,NA,NA,NA,36.8,36.8,NA,0.0863,0.12,0.213,0.311,0.387,NA,NA,NA,0.409,0.409,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.4,8.98,9.85,9.79,9.97,9.97,9.97,9.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,108,19,2.4,0.0236,2.12,2.38,7.2,2.4,60,2022-10-11 17:16:00,2022-10-13 22:02:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2248,2252,395
"AU","MAG","testA","A","plot16","8",2022-10-11 17:24:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot16.T:DFC.R:8.R2:.T:2022-10-11 17:24:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 05:22:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,15,NA,"1665509040","1665724920","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot16.T:DFC.R:8.R2:.T:2022-10-11 17:24:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.27,10.1,16.8,26.2,33.4,NA,NA,NA,35.4,35.4,NA,7.27,10.1,16.8,26.2,33.4,NA,NA,NA,35.4,35.4,NA,0.0808,0.112,0.187,0.291,0.371,NA,NA,NA,0.393,0.393,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.4,8.72,9.69,9.68,9.78,9.78,9.78,9.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,133,25,2.4,0.0221,1.99,2.38,2.4,2.4,60,2022-10-11 17:24:00,2022-10-14 02:58:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2249,2253,395
"AU","MAG","testA","A","plot17","9",2022-10-11 17:32:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot17.T:DFC.R:9.R2:.T:2022-10-11 17:32:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 05:30:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,16,NA,"1665509520","1665725400","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot17.T:DFC.R:9.R2:.T:2022-10-11 17:32:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.45,10.4,17.5,26.6,33.2,NA,NA,NA,35,35,NA,7.45,10.4,17.5,26.6,33.2,NA,NA,NA,35,35,NA,0.0827,0.116,0.194,0.295,0.369,NA,NA,NA,0.389,0.389,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,9.7,9.15,8.62,9.62,9.62,9.73,9.73,9.73,9.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,158,25,2.4,0.0223,2.01,2.38,2.4,2.4,60,2022-10-11 17:32:00,2022-10-14 03:06:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2250,2254,395
"AU","MAG","testA","A","plot3","1",2022-10-11 15:40:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot3.T:DFC.R:1.R2:.T:2022-10-11 15:40:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 06:02:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,8,NA,"1665502800","1665727320","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot3.T:DFC.R:1.R2:.T:2022-10-11 15:40:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.98,11.1,18.3,27.7,35.2,NA,NA,NA,37.7,37.7,NA,7.98,11.1,18.3,27.7,35.2,NA,NA,NA,37.7,37.7,NA,0.0887,0.123,0.203,0.308,0.391,NA,NA,NA,0.419,0.419,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.95,8.96,9.55,9.63,9.74,9.74,9.74,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,184,26,2.4,0.0242,2.17,2.38,2.4,2.4,62.4,2022-10-11 15:40:00,2022-10-14 03:38:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2251,2255,395
"AU","MAG","testA","A","plot5","2",2022-10-11 15:56:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot5.T:DFC.R:2.R2:.T:2022-10-11 15:56:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 06:18:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,9,NA,"1665503760","1665728280","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot5.T:DFC.R:2.R2:.T:2022-10-11 15:56:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,8.5,11.8,19.1,27.9,34.8,NA,NA,NA,37,37,NA,8.5,11.8,19.1,27.9,34.8,NA,NA,NA,37,37,NA,0.0945,0.131,0.212,0.31,0.387,NA,NA,NA,0.412,0.412,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.95,8.94,9.63,9.69,9.79,9.79,9.79,9.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,210,26,2.4,0.0257,2.32,2.38,2.4,2.4,62.4,2022-10-11 15:56:00,2022-10-14 03:54:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2252,2256,395
"AU","MAG","testA","A","plot6","3",2022-10-11 16:04:00,3,"../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx","DFC","Dynamic chamber",NA,NA,"D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot6.T:DFC.R:3.R2:.T:2022-10-11 16:04:00.M:Dynamic chamberNA",NA,0.38,56.5,9.56,"DK","Flat",9,24,65,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No","mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,2022-10-14 06:26:00,"bsth",45,"t/ha","none",NA,NA,NA,NA,NA,"stubble",8,NA,NA,NA,10,NA,"1665504240","1665728760","D:1.I:AU.Pr:MAG.F:../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx.E:testA.F:A.P:plot6.T:DFC.R:3.R2:.T:2022-10-11 16:04:00","D:1.I:AU.Pr:MAG.E:testA","","Pedersen, Johanna; Kamp, Jesper",90,NA,7.58,10.5,16.8,24.3,30.1,NA,NA,NA,32.1,32.1,NA,7.58,10.5,16.8,24.3,30.1,NA,NA,NA,32.1,32.1,NA,0.0842,0.117,0.187,0.269,0.334,NA,NA,NA,0.356,0.356,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,10.2,9.95,8.94,9.63,9.69,9.79,9.79,9.79,9.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,236,26,2.4,0.023,2.07,2.38,2.4,2.4,62.4,2022-10-11 16:04:00,2022-10-14 04:02:00,2,NA,NA,"Plot",NA,NA,NA,NA,FALSE,"Dynamic chamber","chamber","Stubble","Mix","Band spread or trailing hose","bsth","None",2022-10-11,"","0-5",205,2253,2257,395
