"proj","pub.id","exper","field","plot","treat","rep","lat","long","long.dir","topo","interval","t.start","t.end","dt","meas.tech","plot.area","bg.dl","bg.val","bg.unit","j.NH3","j.NH3.unit","clay","silt","sand","oc","soil.type","soil.water","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp","air.temp.z","soil.temp","soil.temp.z","rad","wind","wind.z","rain","rh","wind.loc","far.loc","man.source","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.tkn","man.tan","man.tic","man.ua","man.ph","app.start","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes","row.in.file","t.end.h","t.start.h"
"ALFAM2",NA,"B1","ECO field Foulum","24","CK","1",NA,NA,"E","Flat",2,2014-04-02 09:10:00,2014-04-02 14:00:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.24,100,NA,NA,NA,4.16,2,4.7,84.2,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",11,24,20
"ALFAM2",NA,"B1","ECO field Foulum","20","CK","1",NA,NA,"E","Flat",2,2014-04-02 09:13:00,2014-04-02 14:14:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.24,100,NA,NA,NA,4.53,2,4.8,84.2,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",12,25,20
"ALFAM2",NA,"B1","ECO field Foulum","9","CK","1",NA,NA,"E","Flat",3,2014-04-02 13:51:00,2014-04-03 08:44:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.46,100,NA,NA,NA,2.48,2,0.1,72.6,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",13,43,24
"ALFAM2",NA,"B1","ECO field Foulum","13","CK","1",NA,NA,"E","Flat",3,2014-04-02 13:56:00,2014-04-03 08:48:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.46,100,NA,NA,NA,2.48,2,0.1,72.6,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",14,43,24
"ALFAM2",NA,"B1","ECO field Foulum","24","CK","1",NA,NA,"E","Flat",3,2014-04-02 14:00:00,2014-04-03 08:50:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",6.39,100,NA,NA,NA,2.55,2,0.1,72.8,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",15,43,24
"ALFAM2",NA,"B1","ECO field Foulum","20","CK","1",NA,NA,"E","Flat",3,2014-04-02 14:14:00,2014-04-03 08:53:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",5.96,100,NA,NA,NA,2.55,2,0,79.5,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",16,43,25
"ALFAM2",NA,"B1","ECO field Foulum","9","CK","1",NA,NA,"E","Flat",4,2014-04-01 14:18:00,2014-04-01 18:41:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",7.69,100,NA,NA,NA,3.41,2,0,67,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",17,5,1
"ALFAM2",NA,"B1","ECO field Foulum","13","CK","1",NA,NA,"E","Flat",4,2014-04-03 08:48:00,2014-04-03 13:11:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",3.72,100,NA,NA,NA,4.27,2,0,90.3,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",18,48,43
"ALFAM2",NA,"B1","ECO field Foulum","24","CK","1",NA,NA,"E","Flat",4,2014-04-03 08:50:00,2014-04-03 13:14:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.04,100,NA,NA,NA,4.27,2,0,88.6,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",19,48,43
"ALFAM2",NA,"B1","ECO field Foulum","20","CK","1",NA,NA,"E","Flat",4,2014-04-03 08:53:00,2014-04-03 13:17:00,NA,"cps",81,NA,NA,NA,0,"kg N/ha-hr",6.8,8.2,79.5,5.5,NA,NA,"Wet",6.2,1.3,"Yes","No",4.04,100,NA,NA,NA,4.27,2,0,88.6,"Field",NA,"None",NA,"","None","None",NA,NA,NA,NA,NA,NA,NA,"","",NA,"","None","",NA,NA,NA,NA,"Stubble",NA,NA,NA,"Control.",20,48,43
