"row.in.file.int","air.temp","soil.temp","wind"
5,11.1,10.1,1.01
6,8.33,9.31,0.715
7,11.3,9.29,0.609
8,11.8,9.68,0.974
9,8.86,9.41,0.777
10,10.6,9.19,1.36
11,11.6,9.77,1.43
12,7.13,9,1.64
13,4.53,9.1,1.44
14,5.06,8.65,1.56
15,3.01,7.94,1.5
16,13,9.52,0.915
17,11.8,10,1.02
18,8.33,9.31,0.715
19,11.3,9.3,0.599
20,11.8,9.68,0.976
21,8.85,9.41,0.778
22,10.6,9.19,1.37
23,11.6,9.78,1.42
24,7.12,9,1.64
25,4.49,9.09,1.44
26,5.06,8.65,1.56
27,3.01,7.94,1.5
28,12.5,9.98,1.04
29,10.2,10.1,0.948
30,8.32,9.3,0.715
31,11.3,9.3,0.595
32,11.8,9.69,0.988
33,8.85,9.41,0.778
34,10.7,9.19,1.37
35,11.6,9.78,1.42
36,7.12,9,1.64
37,4.47,9.09,1.44
38,5.06,8.65,1.56
39,3.01,7.94,1.5
40,12.7,9.33,0.851
41,12,10,1.02
42,8.33,9.31,0.715
43,11.3,9.29,0.604
44,11.8,9.68,0.974
45,8.86,9.41,0.777
46,10.6,9.19,1.37
47,11.6,9.77,1.43
48,7.13,9,1.64
49,4.51,9.09,1.44
50,5.06,8.65,1.56
51,3.01,7.94,1.5
52,12.6,9.94,1.05
53,10.4,10.1,0.895
54,8.32,9.3,0.715
55,11.3,9.3,0.598
56,11.8,9.69,0.988
57,8.84,9.38,0.806
58,10.7,9.19,1.37
59,11.6,9.78,1.42
60,7.11,8.99,1.64
61,4.47,9.09,1.44
62,5.06,8.65,1.56
63,3.01,7.94,1.5
64,11,10.1,0.991
65,8.32,9.3,0.715
66,11.3,9.31,0.597
67,11.8,9.69,1
68,8.83,9.38,0.81
69,10.7,9.2,1.37
70,11.6,9.78,1.42
71,7.1,8.99,1.64
72,4.45,9.09,1.44
73,5.05,8.65,1.55
74,3.01,7.94,1.5
75,13,9.52,0.911
76,11.8,10,1.02
77,8.48,9.28,0.713
78,11.4,9.33,0.587
79,11.4,9.73,0.876
80,8.81,9.37,0.818
81,10.8,9.21,1.39
82,11.5,9.82,1.38
83,7.07,8.98,1.64
84,4.38,9.08,1.42
85,5.05,8.65,1.55
86,2.99,7.95,1.49
87,12.5,9.97,1.05
88,10.4,10.1,0.895
89,8.48,9.28,0.713
90,11.4,9.32,0.588
91,11.4,9.72,0.872
92,8.83,9.38,0.811
93,10.7,9.2,1.37
94,11.6,9.79,1.42
95,7.08,8.99,1.64
96,4.41,9.09,1.43
97,5.05,8.65,1.55
98,3,7.94,1.49
99,12.8,9.43,0.911
100,12,10,1.02
101,8.48,9.28,0.713
102,11.4,9.34,0.593
103,11.4,9.73,0.879
104,8.81,9.37,0.818
105,11,9.29,1.43
106,11.5,9.82,1.38
107,7.06,8.98,1.64
108,4.36,9.08,1.42
109,5.05,8.61,1.56
110,2.99,7.95,1.49
111,13.1,9.61,0.972
112,11.8,10,1.02
113,8.48,9.28,0.713
114,11.4,9.32,0.583
115,11.4,9.72,0.872
116,8.83,9.38,0.811
117,10.8,9.2,1.38
118,11.6,9.79,1.43
119,7.08,8.99,1.64
120,4.41,9.09,1.43
121,5.05,8.65,1.55
122,3,7.94,1.49
123,11.1,10.1,1.02
124,8.48,9.28,0.712
125,11.4,9.34,0.598
126,11.4,9.74,0.879
127,8.8,9.37,0.82
128,11,9.29,1.44
129,11.4,9.82,1.37
130,7.05,8.98,1.65
131,4.49,9.03,1.47
132,5.04,8.62,1.56
133,2.97,7.95,1.49
134,13,9.53,0.921
135,11.9,10,1.03
136,8.47,9.27,0.71
137,11.4,9.36,0.616
138,11.3,9.75,0.848
139,8.78,9.36,0.828
140,11.1,9.31,1.44
141,11.4,9.83,1.36
142,7.22,9.01,1.69
143,4.39,9.01,1.46
144,5.03,8.62,1.56
145,2.96,7.95,1.49
146,12.4,10,1.06
147,10.1,10.1,0.945
148,8.48,9.28,0.712
149,11.4,9.34,0.601
150,11.4,9.74,0.878
151,8.8,9.37,0.822
152,11,9.29,1.44
153,11.4,9.82,1.37
154,7.05,8.98,1.65
155,4.49,9.03,1.47
156,5.04,8.62,1.56
157,2.97,7.95,1.49
158,12.9,9.45,0.893
159,11.9,10,1.03
160,8.1,9.67,0.693
161,9.49,9.13,0.685
162,11.3,9.74,0.861
163,8.79,9.36,0.826
164,11,9.3,1.43
165,11.4,9.83,1.36
166,7.03,8.97,1.65
167,4.43,9.02,1.46
168,5.03,8.62,1.56
169,2.97,7.95,1.49
170,13,9.59,0.968
171,11.9,10,1.03
172,8.47,9.27,0.71
173,11.4,9.37,0.624
174,11.3,9.75,0.84
175,8.78,9.36,0.829
176,11.1,9.31,1.44
177,11.4,9.83,1.36
178,7.22,9.01,1.69
179,4.39,9.01,1.46
180,5.03,8.62,1.56
181,2.96,7.95,1.49
182,10.5,10.1,0.968
183,8.62,9.25,0.694
184,11.6,9.43,0.726
185,11.3,9.76,0.843
186,8.82,9.33,0.871
187,11.1,9.33,1.44
188,11.4,9.84,1.33
189,7.18,9.01,1.7
190,4.32,9,1.44
191,5.02,8.62,1.55
192,3.09,7.93,1.51
193,13,9.57,0.976
194,11.9,10,1.03
195,8.47,9.26,0.709
196,11.6,9.42,0.717
197,11.3,9.75,0.84
198,8.78,9.36,0.829
199,11.1,9.31,1.44
200,11.4,9.83,1.36
201,7.21,9.01,1.69
202,4.37,9.01,1.45
203,5.03,8.62,1.56
204,2.96,7.95,1.49
205,12.5,9.98,1.04
206,9.5,10,0.881
207,8.62,9.25,0.694
208,11.6,9.43,0.726
209,11.3,9.76,0.843
210,8.75,9.35,0.834
211,11.1,9.33,1.44
212,11.4,9.84,1.34
213,7.19,9.01,1.7
214,4.32,9,1.44
215,5.02,8.62,1.55
216,3.09,7.93,1.51
217,12.9,9.47,0.889
218,11.9,10,1.03
219,8.62,9.26,0.694
220,11.6,9.42,0.717
221,11.3,9.75,0.84
222,8.77,9.36,0.83
223,11.1,9.32,1.44
224,11.4,9.84,1.35
225,7.21,9.01,1.69
226,4.37,9.01,1.45
227,5.03,8.62,1.56
228,2.96,7.95,1.49
229,13.1,9.6,0.963
230,11.3,10,0.989
231,8.62,9.26,0.694
232,11.6,9.42,0.72
