Institute,ProjectNo,ExpNo,PlotNo,ReplNo,DataSource,Experiment,Treatment,Repetition,ShiftNo,StartTime,EndTime,ShiftLen,Volatil,SoilType,ClayPct,SiltPct,TRUEPct,OMPctC,SoilWater,SoilMoist,SoilpH,AirTemp,HeightAirT,SoilTemp,DepthSoilT,Radiation,WindSpeed,HeightWind,Rain,ManureType,ManureTreat,ManureBed,ManureDM,ManureNTot,ManureTAN,ManureUAc,ManurepH,ManureAppl,ManureRate,ManureInc,ManureISpd,CropType,CropHeight,MeasTech,SoilPreTrt
institute,project,experiment,plot,rep,data.source,experiment2,treat,rep2,shift,date.time.start,date.time.end,dt,j.ave,soil.type,clay,silt,sand,om,soil.water,soil.moist,soil.ph,air.temp,air.z,soil.temp,soil.z,rad,wind,wind.z,rain,man.type,man.treat,man.bed,man.dm,man.n.tot,man.tan,man.ua,man.ph,man.app,man.rate,incorp,t.incorp,crop,crop.z,meas.tech,soil.pretreat
DIAS,1994,1,79,1,1,1,1,1,1,"1990/07/05 09:00:00","1990/07/05 15:00:00",6,0.74666666666667,1,10.6,11.8,74.6,2.7,27.9,1,6.6,8,1000,,,20.6,3.53,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,2,"1990/07/05 15:00:00","1990/07/05 21:00:00",6,0.69833333333333,1,10.6,11.8,74.6,2.7,27.9,1,6.6,7.3,1000,,,0,3.49,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,3,"1990/07/05 21:00:00","1990/07/06 03:00:00",6,0.41333333333333,1,10.6,11.8,74.6,2.7,27.9,1,6.6,6.9,1000,,,0.1,3.56,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,4,"1990/07/06 03:30:00","1990/07/06 10:00:00",6.50000000005821,0.32769230768937,1,10.6,11.8,74.6,2.7,27.9,1,6.6,7.7,1000,,,94.9,3.64,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,5,"1990/07/06 09:30:00","1990/07/06 15:30:00",6,0.10166666666667,1,10.6,11.8,74.6,2.7,27.9,1,6.6,7.1,1000,,,27.7,3.6,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,6,"1990/07/06 15:30:00","1990/07/06 21:30:00",6,0.21833333333333,1,10.6,11.8,74.6,2.7,27.9,1,6.6,5.8,1000,,,0,3.55,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,7,"1990/07/06 21:30:00","1990/07/07 03:30:00",6,0.06333333333333,1,10.6,11.8,74.6,2.7,27.9,1,6.6,4.5,1000,,,0.3,3.5,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,8,"1990/07/07 04:00:00","1990/07/07 10:30:00",6.50000000005821,0.05230769230722,1,10.6,11.8,74.6,2.7,27.9,1,6.6,8.3,1000,,,186.7,3.56,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,9,"1990/07/08 04:00:00","1990/07/09 04:00:00",24,0.01333333333333,1,10.6,11.8,74.6,2.7,27.9,1,6.6,4.9,1000,,,58.8,3.59,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,10,"1990/07/09 04:00:00","1990/07/10 04:00:00",24,0.02,1,10.6,11.8,74.6,2.7,27.9,1,6.6,2.8,1000,,,43.3,3.58,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,11,"1990/07/10 04:00:00","1990/07/11 04:00:00",24,0.005,1,10.6,11.8,74.6,2.7,27.9,1,6.6,3.1,1000,,,74.2,3.67,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,1,1,12,"1990/07/11 04:00:00","1990/07/12 04:00:00",24,0.01416666666667,1,10.6,11.8,74.6,2.7,27.9,1,6.6,3.9,1000,,,65.3,3.5,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,0
DIAS,1994,1,79,1,1,1,2,1,1,"1990/07/05 09:00:00","1990/07/05 15:00:00",6,0.01,1,10.6,11.8,74.6,2.7,27.9,1,6.6,8,1000,,,20.6,3.19,20,0,2,0,0,5.35,3.5,1.9,0,7.9,4,30,0,0,3,0,1,1
