project,experiment,plot_code,treatment_descrip
B2008-17,B2008-17,001,ShallowInjection 11 Shallow injection None 
B2008-17,B2008-17,002,NarrowBand 12 Narrow band application None 
B2008-17,B2008-17,003,NarrowBand 12 Narrow band application None 
B2008-17,B2008-17,004,ShallowInjection 11 Shallow injection None 
B2008-39,B2008-39,001,SurfaceBroadcast Incorporation 13 Ridger (precultivated ridges) None potato  ridges
B2008-39,B2008-39,002,SurfaceBroadcast 01 Surface spreading splash plate (precultivated ridges) None potato  ridges
B2010-16,B2010-16,001,NarrowBand (hose) 16 Narrow band application (hose) None 
B2010-16,B2010-16,002,ShallowInjection 11 Shallow injection None 
B2010-16,B2010-16,003,NarrowBand (hose) 16 Narrow band application (hose) None 
B2010-16,B2010-16,004,ShallowInjection 11 Shallow injection None 
B2010-19,B2010-19,001,NarrowBand (hose) 16 Narrow band application (hose) None 
B2010-19,B2010-19,002,ShallowInjection 11 Shallow injection None 
B2010-19,B2010-19,003,NarrowBand (hose) 16 Narrow band application (hose) None 
B2010-19,B2010-19,004,ShallowInjection 11 Shallow injection None 
B2011-16,B2011-16,001,SurfaceBroadcast Incorporation 14 Direct incorporation by ridger None potato ridges
B2011-16,B2011-16,002,ShallowInjection 11 Shallow injection None ploughed land
B2011-16,B2011-16,003,SurfaceBroadcast Incorporation 14 Direct incorporation by ridger None potato ridges
B2011-16,B2011-16,004,ShallowInjection 11 Shallow injection None ploughed land
B2011-17,B2011-17,001,SurfaceBroadcast Incorporation 14 Direct incorporation by ridger None potato ridges
B2011-17,B2011-17,002,ShallowInjection 11 Shallow injection None ploughed land
B2011-17,B2011-17,003,SurfaceBroadcast Incorporation 14 Direct incorporation by ridger None potato ridges
B2011-17,B2011-17,004,ShallowInjection 11 Shallow injection None ploughed land
