project,experiment,field,plot_code,replicate,size,lat,long,country,topo,samp_depth,clay,slit,sand,org,soil_type,soil_water_g,soil_water_v,soil_moist,soil_pH,soil_dens,crop_res,till_before,source,source_det,bedding,consist,man_treatment,man_treat2,man_treat3,stor_days,man_DM,man_VS,man_TN,man_TAN,man_TIC,man_UA,man_VFA,man_pH,app_start,app_end,app_method,app_rate,app_unit,incorp,incorp_time,man_area,inj_dist,fur_depth,fur_width,crop,crop_height
G1989-13,G1989-13,1-Hardenberg,001,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",11.2,"","",3.18,"","","",,"","",Broadcast,17.2,t/ha,None,"","","","","",grass,6
G1989-13,G1989-13,3-Hardenberg,003,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",11.3,"","",3.28,"","","",,"","",Open slot injection,26.8,t/ha,None,"","","","","",grass,6
G1989-15,G1989-15,4-Hardenberg,004,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",11.9,"","",6,"","","",7.1,"","",Broadcast,10,t/ha,None,"","","","","",grass,6
G1989-15,G1989-15,6-Hardenberg,006,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",11,"","",5.82,"","","",7.1,"","",Open slot injection,26,t/ha,None,"","","","","",grass,5.82
G1989-27,G1989-27,8-Swifterbant,008,"",,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",9.3,"","",2.76,"","","",7.3,"","",Open slot injection,14,t/ha,None,"","","","","",grass,6
G1989-28,G1989-28,9-Swifterbant,009,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",10.6,"","",5.38,"","","",7.8,"","",Broadcast,12.7,t/ha,None,"","","","","",grass,6
G1989-28,G1989-28,11-Swifterbant,011,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",10.5,"","",5.34,"","","",7.8,"","",Open slot injection,15.4,t/ha,None,"","","","","",grass,6
G1990-11,G1990-11,18-Duiven,018,"",,"","",NL,"","","","","","",clay,"",37,"","","","","",dairy,"","","",None,"","","",8.54,"","",3.28,"","","",7.6,"","",Broadcast,16.3,t/ha,None,"","","","","",grass,
G1990-11,G1990-11,19-Duiven,019,"",,"","",NL,"","","","","","",clay,"",37,"","","","","",dairy,"","","",None,"","","",8.54,"","",3.28,"","","",7.6,"","",Broadcast,12.5,t/ha,None,"","","","","",grass,
G1990-12,G1990-12,20-Duiven,020,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Broadcast,19.7,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,21-Duiven,021,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Trailing hose,19,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,22-Duiven,022,"",,"","",NL,"","","","","","",clay,"",45,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.2,"","","",7.1,"","",Trailing hose,6.6,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,23-Duiven,023,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Open slot injection,16.8,t/ha,None,"","","","","",grass,10
