project,experiment,field,plot_code,replicate,size,lat,long,country,topo,samp_depth,clay,slit,sand,org,soil_type,soil_water_g,soil_water_v,soil_moist,soil_pH,soil_dens,crop_res,till_before,source,source_det,bedding,consist,man_treatment,man_treat2,man_treat3,stor_days,man_DM,man_VS,man_TN,man_TAN,man_TIC,man_UA,man_VFA,man_pH,app_start,app_end,app_method,app_rate,app_unit,incorp,incorp_time
B1990-15,B1990-15,1-Slootdorp,001,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Broadcast,29.2,t/ha,None,
B1990-15,B1990-15,2-Slootdorp,002,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Broadcast,31.7,t/ha,Shallow,0.1
B1990-15,B1990-15,4-Slootdorp,004,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Closed slot injection,37.8,t/ha,None,
B1990-35,B1990-35,5-Slootdorp,005,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Broadcast,38.6,t/ha,None,
B1990-35,B1990-35,7-Slootdorp,007,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Broadcast,42.8,t/ha,Shallow,0.1
B1990-35,B1990-35,8-Slootdorp,008,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Closed slot injection,38.1,t/ha,None,
B1990-37,B1990-37,9-Slootdorp,009,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.4,t/ha,None,
B1990-37,B1990-37,10-Slootdorp,010,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Closed slot injection,26.5,t/ha,None,
B1990-37,B1990-37,11-Slootdorp,011,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.5,t/ha,Shallow,0.1
B1990-37,B1990-37,12-Slootdorp,012,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.4,t/ha,Shallow,0.1
B1990-38,B1990-38,70-Slootdorp,070,"",,"","",NL,"","","","","","",sand,"",12,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,17.9,t/ha,None,
B1990-38,B1990-38,71-Slootdorp,071,"",,"","",NL,"","","","","","",sand,"",11,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,18.3,t/ha,Shallow,0.1
B1990-38,B1990-38,72-Slootdorp,072,"",,"","",NL,"","","","","","",sand,"",13,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,17.8,t/ha,Shallow,0.1
B1990-38,B1990-38,73-Slootdorp,073,"",,"","",NL,"","","","","","",sand,"",10,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Closed slot injection,19.2,t/ha,Deep,0.1
B1990-38,B1990-38,74-Slootdorp,074,"",,"","",NL,"","","","","","",clay,"",17,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,22,t/ha,None,
B1990-38,B1990-38,75-Slootdorp,075,"",,"","",NL,"","","","","","",clay,"",17,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,24.5,t/ha,Shallow,0.1
B1990-38,B1990-38,76-Slootdorp,076,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,22.6,t/ha,Shallow,0.1
B1990-38,B1990-38,77-Slootdorp,077,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Closed slot injection,22.9,t/ha,Deep,0.1
B1990-39,B1990-39,78-Slootdorp,078,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",9.71,"","",4.9,"","","",,"","",Broadcast,20.4,t/ha,None,
B1990-39,B1990-39,82-Slootdorp,082,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.65,"","",5,"","","",,"","",Broadcast,22.6,t/ha,None,
B1991-13,B1991-13,21-Slootdorp,021,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",7.6,"","",4.1,"","","",,"","",Broadcast,18.2,t/ha,None,
B1991-13,B1991-13,22-Slootdorp,022,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",7.6,"","",4.1,"","","",,"","",Broadcast,16.4,t/ha,Shallow,0.1
B1991-14,B1991-14,25-Slootdorp,025,"",,"","",NL,"","","","","","",clay,"",26,"","","","","",pig,"","","",None,"","","",7.8,"","",3.9,"","","",,"","",Broadcast,14.4,t/ha,None,
B1991-18,B1991-18,27-Slootdorp,027,"",,"","",NL,"","","","","","",clay,"",15,"","","","","",pig,"","","",None,"","","",9.36,"","",4.1,"","","",,"","",Broadcast,13.6,t/ha,None,
B1991-36,B1991-36,28-Slootdorp,028,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",dairy,"","","",None,"","","",6.03,"","",2.4,"","","",,"","",Broadcast,18.8,t/ha,None,
B1991-37,B1991-37,29-Slootdorp,029,"",,"","",NL,"","","","","","",sandy loam,"",9,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,14.6,t/ha,None,
B1991-37,B1991-37,30-Slootdorp,030,"",,"","",NL,"","","","","","",sandy loam,"",14,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,15.3,t/ha,Shallow,0.1
B1991-37,B1991-37,31-Slootdorp,031,"",,"","",NL,"","","","","","",sandy loam,"",14,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,15.1,t/ha,Shallow,0.1
B1991-37,B1991-37,32-Slootdorp,032,"",,"","",NL,"","","","","","",sandy loam,"",9,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,25.7,t/ha,Shallow,0.1
B1991-38,B1991-38,33-Slootdorp,033,"",,"","",NL,"","","","","","",sandy loam,"",15,"","","","","",pig,"","","",None,"","","",7.12,"","",4.2,"","","",,"","",Broadcast,15.9,t/ha,None,
B1992-10,B1992-10,39-Slootdorp,039,"",,"","",NL,"","","","","","",sand,"",14,"","","","","",pig,"","","",None,"","","",9.78,"","",4.5,"","","",,"","",Broadcast,19,t/ha,None,
B1992-10,B1992-10,42-Slootdorp,042,"",,"","",NL,"","","","","","",sand,"",14,"","","","","",pig,"","","",None,"","","",9.78,"","",4.5,"","","",,"","",Closed slot injection,19.6,t/ha,Deep,0.1
B1992-14,B1992-14,43-Slootdorp,043,"",,"","",NL,"","","","","","",sandy loam,"",20,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,29.5,t/ha,None,
B1992-14,B1992-14,44-Slootdorp,044,"",,"","",NL,"","","","","","",sandy loam,"",16,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,25.9,t/ha,Shallow,0.1
B1992-14,B1992-14,45-Slootdorp,045,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,25.2,t/ha,Shallow,0.1
B1992-14,B1992-14,46-Slootdorp,046,"",,"","",NL,"","","","","","",sandy loam,"",16,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,28,t/ha,Shallow,0.1
B1992-14,B1992-14,47-Slootdorp,047,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Closed slot injection,26.3,t/ha,None,
B1992-19,B1992-19,48-Slootdorp,048,"",,"","",NL,"","","","","","",sandy loam,"",22,"","","","","",pig,"","","",None,"","","",9.77,"","",4,"","","",,"","",Broadcast,16.4,t/ha,None,
B1992-20,B1992-20,49-Slootdorp,049,"",,"","",NL,"","","","","","",sandy loam,"",19,"","","","","",pig,"","","",None,"","","",6.64,"","",3.9,"","","",,"","",Broadcast,17.4,t/ha,None,
B1992-24,B1992-24,50-Slootdorp,050,"",,"","",NL,"","","","","","",sandy loam,"",15,"","","","","",pig,"","","",None,"","","",7.75,"","",4.4,"","","",,"","",Broadcast,15.3,t/ha,None,
B1992-37,B1992-37,51-Slootdorp,051,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,29.1,t/ha,None,
B1992-37,B1992-37,53-Slootdorp,053,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,28.3,t/ha,Shallow,0.1
B1992-37,B1992-37,54-Slootdorp,054,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,29.2,t/ha,Shallow,0.1
B1992-38,B1992-38,55-Slootdorp,055,"",,"","",NL,"","","","","","",sand,"",19,"","","","","",pig,"","","",None,"","","",5.58,"","",3.9,"","","",,"","",Broadcast,28.7,t/ha,None,
