project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m,wind_z
B1990-35,B1990-35,5-Slootdorp,005,005,"",9,"","",23.6,IHF,IHF,"","","",0.192959110169492,kg N/ha-hr,"",16.4,10,"","","",5367,1.7,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",1,"","",0.5,IHF,IHF,"","","",10.5026064,kg N/ha-hr,"",18.9,10,"","","",52,1.7,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",2,"","",1,IHF,IHF,"","","",4.8473568,kg N/ha-hr,"",20.6,10,"","","",191,1.8,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",3,"","",1.8,IHF,IHF,"","","",3.25401266666667,kg N/ha-hr,"",23.1,10,"","","",519.2,2,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",4,"","",2.8,IHF,IHF,"","","",1.87546542857143,kg N/ha-hr,"",25.2,10,"","","",1125.9,1.9,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",5,"","",4,IHF,IHF,"","","",0.6564129,kg N/ha-hr,"",25.3,10,"","","",1633.7,1,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",6,"","",11.1,IHF,IHF,"","","",0.163762054054054,kg N/ha-hr,"",17.9,10,"","","",1653.1,0.7,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",7,"","",25.1,IHF,IHF,"","","",0.241402231075697,kg N/ha-hr,"",20.5,10,"","","",3285,1,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",8,"","",23.9,IHF,IHF,"","","",0.202818276150628,kg N/ha-hr,"",21.9,10,"","","",4897.3,1.3,2
B1990-35,B1990-35,7-Slootdorp,007,007,"",9,"","",23.7,IHF,IHF,"","","",0.127831139240506,kg N/ha-hr,"",16.5,10,"","","",5360.1,1.7,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",1,"","",0.5,IHF,IHF,"","","",0.03595878,kg N/ha-hr,"",17.1,10,"","","",26.1,1.4,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",2,"","",1,IHF,IHF,"","","",0.01797939,kg N/ha-hr,"",18.6,10,"","","",115.2,1.7,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",3,"","",1.4,IHF,IHF,"","","",0.0128424214285714,kg N/ha-hr,"",21.3,10,"","","",317.2,1.8,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",4,"","",3,IHF,IHF,"","","",0.00599313,kg N/ha-hr,"",24.2,10,"","","",927.9,2.1,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",5,"","",4.8,IHF,IHF,"","","",0.00374570625,kg N/ha-hr,"",25.5,10,"","","",1675.4,1.2,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",6,"","",11.1,IHF,IHF,"","","",0.00161976486486487,kg N/ha-hr,"",18.2,10,"","","",1705.9,0.7,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",7,"","",25.1,IHF,IHF,"","","",0.000716310358565737,kg N/ha-hr,"",20.5,10,"","","",3333.1,1,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",8,"","",24,IHF,IHF,"","","",0.00074914125,kg N/ha-hr,"",21.8,10,"","","",4945.9,1.2,2
B1990-35,B1990-35,8-Slootdorp,008,008,"",9,"","",24,IHF,IHF,"","","",0.00074914125,kg N/ha-hr,"",16.5,10,"","","",5412.9,1.7,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",1,"","",0.5,IHF,IHF,"","","",25.08874368,kg N/ha-hr,"",13.8,10,"","","",16,3.9,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",2,"","",1,IHF,IHF,"","","",18.4805478,kg N/ha-hr,"",14.4,10,"","","",69.3,4.7,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",3,"","",1.5,IHF,IHF,"","","",5.89884152,kg N/ha-hr,"",14.2,10,"","","",155.4,4.4,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",4,"","",2.9,IHF,IHF,"","","",1.19727686896552,kg N/ha-hr,"",14.1,10,"","","",311.6,3.5,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",5,"","",4,IHF,IHF,"","","",0.39201162,kg N/ha-hr,"",13.5,10,"","","",439.3,3.3,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",6,"","",11.6,IHF,IHF,"","","",0.183453713793103,kg N/ha-hr,"",9.5,10,"","","",444.8,2.1,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",7,"","",24.9,IHF,IHF,"","","",0.179925012048193,kg N/ha-hr,"",12.2,10,"","","",1707.7,1.5,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",8,"","",24.1,IHF,IHF,"","","",0.0232372033195021,kg N/ha-hr,"",12.6,10,"","","",2453.9,0.5,2
B1990-37,B1990-37,9-Slootdorp,009,009,"",9,"","",23.7,IHF,IHF,"","","",0.0189035139240506,kg N/ha-hr,"",12.4,10,"","","",3634.4,0.8,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",1,"","",0.5,IHF,IHF,"","","",0.02773914,kg N/ha-hr,"",13.4,10,"","","",12.8,3.6,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",2,"","",1,IHF,IHF,"","","",0.12482613,kg N/ha-hr,"",14.4,10,"","","",48.2,4.2,2
B1990-37,B1990-37,10-Slootdorp,010,010,"",3,"","",1.5,IHF,IHF,"","","",0.1849276,kg N/ha-hr,"",14.3,10,"","","",143.3,4.5,2
