project,experiment,field,plot_code,plot_code,replicate,shift,t_start,t_end,time.4,meas_tech,meas_tech_det,detect_lim,d_val,d_unit,flux,flux_unit,surf_pH,temp,air_temp_z,soil_temp,soil_temp_z,soil_surf_temp,radiation,wind2m
G1989-27,G1989-27,8-Swifterbant,008,008,"",1,"","",1.3,IHF,IHF,"","","",0.359946461538462,kg N/ha-hr,"",19.2,10,"","","",286,6.3
G1989-27,G1989-27,8-Swifterbant,008,008,"",2,"","",2.3,IHF,IHF,"","","",0.305172,kg N/ha-hr,"",20.6,10,"","","",896,6.2
G1989-27,G1989-27,8-Swifterbant,008,008,"",3,"","",2.9,IHF,IHF,"","","",0.265083724137931,kg N/ha-hr,"",22.9,10,"","","",1704,6.8
G1989-27,G1989-27,8-Swifterbant,008,008,"",4,"","",4.9,IHF,IHF,"","","",0.122780571428571,kg N/ha-hr,"",23.7,10,"","","",2337,4.2
G1989-27,G1989-27,8-Swifterbant,008,008,"",5,"","",10.1,IHF,IHF,"","","",0.0330926732673267,kg N/ha-hr,"",15.7,10,"","","",2378,4.1
G1989-27,G1989-27,8-Swifterbant,008,008,"",6,"","",7.1,IHF,IHF,"","","",0.0564905915492958,kg N/ha-hr,"",21.5,10,"","","",3764,5.8
G1989-27,G1989-27,8-Swifterbant,008,008,"",7,"","",17,IHF,IHF,"","","",0.00983047058823529,kg N/ha-hr,"",22.9,10,"","","",4902,3.4
G1989-27,G1989-27,8-Swifterbant,008,008,"",8,"","",24,IHF,IHF,"","","",0.0083559,kg N/ha-hr,"",25.7,10,"","","",7371,3.3
G1989-27,G1989-27,8-Swifterbant,008,008,"",9,"","",23.9,IHF,IHF,"","","",0.00013984769874477,kg N/ha-hr,"",22.6,10,"","","",9703,2.3
G1989-28,G1989-28,9-Swifterbant,009,009,"",1,"","",0.6,IHF,IHF,"","","",21.1582846666667,kg N/ha-hr,"",17.9,10,"","","",105,2
G1989-28,G1989-28,9-Swifterbant,009,009,"",2,"","",0.5,IHF,IHF,"","","",22.2161989,kg N/ha-hr,"",18.4,10,"","","",199,2
G1989-28,G1989-28,9-Swifterbant,009,009,"",3,"","",2,IHF,IHF,"","","",5.39536259,kg N/ha-hr,"",19.5,10,"","","",589,2.2
G1989-28,G1989-28,9-Swifterbant,009,009,"",4,"","",3.1,IHF,IHF,"","","",0.880457652258064,kg N/ha-hr,"",21.3,10,"","","",1078,1.7
G1989-28,G1989-28,9-Swifterbant,009,009,"",5,"","",4.6,IHF,IHF,"","","",0.206983219565217,kg N/ha-hr,"",20.6,10,"","","",1441,1.4
G1989-28,G1989-28,9-Swifterbant,009,009,"",6,"","",10.5,IHF,IHF,"","","",0.0423165693333333,kg N/ha-hr,"",13.6,10,"","","",1491,1
G1989-28,G1989-28,9-Swifterbant,009,009,"",7,"","",24.2,IHF,IHF,"","","",0.0734419798347107,kg N/ha-hr,"",17,10,"","","",3484,4.1
G1989-28,G1989-28,9-Swifterbant,009,009,"",8,"","",24,IHF,IHF,"","","",0.05554049725,kg N/ha-hr,"",15.8,10,"","","",5213,5.3
G1989-28,G1989-28,9-Swifterbant,009,009,"",9,"","",23.7,IHF,IHF,"","","",0.0589218054008439,kg N/ha-hr,"",14,10,"","","",6858,4.5
G1989-28,G1989-28,11-Swifterbant,011,011,"",1,"","",1.3,IHF,IHF,"","","",0.547185692307692,kg N/ha-hr,"",17.9,10,"","","",233,2.1
G1989-28,G1989-28,11-Swifterbant,011,011,"",2,"","",2.3,IHF,IHF,"","","",0.402062530434783,kg N/ha-hr,"",19.5,10,"","","",658,2.4
G1989-28,G1989-28,11-Swifterbant,011,011,"",3,"","",2.8,IHF,IHF,"","","",0.2032404,kg N/ha-hr,"",21.3,10,"","","",1109,1.9
G1989-28,G1989-28,11-Swifterbant,011,011,"",4,"","",4.9,IHF,IHF,"","","",0.00145171714285714,kg N/ha-hr,"",20.6,10,"","","",1468,1.4
G1989-28,G1989-28,11-Swifterbant,011,011,"",5,"","",10.2,IHF,IHF,"","","",0.000697393529411765,kg N/ha-hr,"",13.6,10,"","","",1508,1.1
G1989-28,G1989-28,11-Swifterbant,011,011,"",6,"","",7,IHF,IHF,"","","",0.038615676,kg N/ha-hr,"",19.3,10,"","","",2940,5
G1989-28,G1989-28,11-Swifterbant,011,011,"",7,"","",16.9,IHF,IHF,"","","",0.0210456035502959,kg N/ha-hr,"",16.2,10,"","","",3490,3.2
G1989-28,G1989-28,11-Swifterbant,011,011,"",8,"","",24.4,IHF,IHF,"","","",0.023322668852459,kg N/ha-hr,"",15.8,10,"","","",5239,5.1
G1989-28,G1989-28,11-Swifterbant,011,011,"",9,"","",23.9,IHF,IHF,"","","",0.0267869146443515,kg N/ha-hr,"",14,10,"","","",6890,4.3
G1990-11,G1990-11,18-Duiven,018,018,"",1,"","",0.5,IHF,IHF,"","","",5.264813936,kg N/ha-hr,"",4.5,10,"","","",38,1.9
G1990-11,G1990-11,18-Duiven,018,018,"",2,"","",0.6,IHF,IHF,"","","",3.97344448,kg N/ha-hr,"",5.5,10,"","","",108,1.5
G1990-11,G1990-11,18-Duiven,018,018,"",3,"","",1.8,IHF,IHF,"","","",4.00103784444444,kg N/ha-hr,"",6.9,10,"","","",342,2.7
G1990-11,G1990-11,18-Duiven,018,018,"",4,"","",2.3,IHF,IHF,"","","",2.33223915130435,kg N/ha-hr,"",9.1,10,"","","",726,3.2
G1990-11,G1990-11,18-Duiven,018,018,"",5,"","",3.3,IHF,IHF,"","","",0.541833338181818,kg N/ha-hr,"",11.2,10,"","","",1044,2.4
G1990-11,G1990-11,19-Duiven,019,019,"",1,"","",0.5,IHF,IHF,"","","",4.342146,kg N/ha-hr,"",5.5,10,"","","",52,1.4
G1990-11,G1990-11,19-Duiven,019,019,"",2,"","",0.8,IHF,IHF,"","","",5.57051625,kg N/ha-hr,"",6.5,10,"","","",149,2.1
G1990-11,G1990-11,19-Duiven,019,019,"",3,"","",1.7,IHF,IHF,"","","",3.89852117647059,kg N/ha-hr,"",7.5,10,"","","",255,3
