14.60	2.0	14.1	0.1	14.9	71.30
14.70	2.0	14.1	0.1	14.8	21.00
15.00	2.0	14.1	0.1	15.3	112.30
15.40	2.0	14.1	0.1	16.0	196.00
15.60	2.0	14.2	0.1	16.1	158.70
15.40	2.0	14.3	0.1	15.7	83.50
15.20	2.0	14.4	0.1	15.5	55.10
NaN	2.0	NaN	0.1	NaN	NaN
14.60	2.0	14.4	0.1	14.8	16.30
NaN	2.0	NaN	0.1	NaN	NaN
14.20	2.0	14.4	0.1	14.3	1.20
NaN	2.0	NaN	0.1	NaN	NaN
13.70	2.0	14.4	0.1	13.8	0.00
NaN	2.0	NaN	0.1	NaN	NaN
13.30	2.0	14.3	0.1	13.3	0.00
NaN	2.0	NaN	0.1	NaN	NaN
12.90	2.0	14.2	0.1	12.9	0.00
NaN	2.0	NaN	0.1	NaN	NaN
12.10	2.0	14.2	0.1	12.1	0.00
NaN	2.0	NaN	0.1	NaN	NaN
11.20	2.0	14.1	0.1	11.3	0.00
NaN	2.0	NaN	0.1	NaN	NaN
10.80	2.0	13.9	0.1	10.9	0.00
NaN	2.0	NaN	0.1	NaN	NaN
10.60	2.0	13.8	0.1	10.6	0.00
NaN	2.0	NaN	0.1	NaN	NaN
10.30	2.0	13.7	0.1	10.3	2.30
NaN	2.0	NaN	0.1	NaN	NaN
10.10	2.0	13.6	0.1	10.1	5.70
NaN	2.0	NaN	0.1	NaN	NaN
9.90	2.0	13.5	0.1	10.0	19.70
NaN	2.0	NaN	0.1	NaN	NaN
9.80	2.0	13.3	0.1	9.9	40.50
NaN	2.0	NaN	0.1	NaN	NaN
9.80	2.0	13.2	0.1	9.8	50.00
NaN	2.0	NaN	0.1	NaN	NaN
9.90	2.0	13.2	0.1	10.0	67.30
NaN	2.0	NaN	0.1	NaN	NaN
10.30	2.0	13.1	0.1	10.3	78.50
NaN	2.0	NaN	0.1	NaN	NaN
10.30	2.0	13.0	0.1	10.4	74.40
NaN	2.0	NaN	0.1	NaN	NaN
10.30	2.0	13.0	0.1	10.4	83.50
NaN	2.0	NaN	0.1	NaN	NaN
10.20	2.0	12.9	0.1	10.3	94.50
NaN	2.0	NaN	0.1	NaN	NaN
11.00	2.0	12.9	0.1	11.3	160.50
NaN	2.0	NaN	0.1	NaN	NaN
11.50	2.0	12.8	0.1	12.1	310.60
NaN	2.0	NaN	0.1	NaN	NaN
11.60	2.0	12.9	0.1	12.1	215.10
NaN	2.0	NaN	0.1	NaN	NaN
