year	doy	date	plot.depth	trt	block	ph	water	no3	nh3	no3a	nh3a
2004	132	11-05-2004	1a	Brut	1	6.64	34.72	4.85	402.92	0.412269133	34.2649257
2004	132	11-05-2004	1b	Brut	1	6.12	28.97	6.53	7.43	0.555617651	0.631551625
2004	132	11-05-2004	2a	Digéré	1	7.93	35.02	3.12	583.46	0.264937655	49.61852687
2004	132	11-05-2004	2b	Digéré	1	6.05	27.82	9.23	13.58	0.785207279	1.154653763
2004	132	11-05-2004	3a	Floculé	1	7.18	33.30	3.78	519.66	0.321204463	44.19248142
2004	132	11-05-2004	3b	Floculé	1	5.83	28.52	7.52	8.28	0.639895183	0.70373123
2004	132	11-05-2004	4a	Filtré	1	6.6	34.37	4.18	534.35	0.355586396	45.44181978
2004	132	11-05-2004	4b	Filtré	1	6.07	29.13	6.46	15.49	0.549588538	1.317427982
2004	132	11-05-2004	5a	Décanté	1	6.44	29.73	2.88	398.51	0.244655756	33.88989161
2004	132	11-05-2004	5b	Décanté	1	6.15	26.86	3.19	8.61	0.27148855	0.732448807
2004	132	11-05-2004	6a	Digéré	2	7.98	34.66	4.94	448.17	0.420080039	38.11333104
2004	132	11-05-2004	6b	Digéré	2	6.26	28.97	9.00	12.01	0.765500526	1.021491789
2004	132	11-05-2004	7a	Décanté	2	6.71	29.78	4.40	466.72	0.374608732	39.69109508
2004	132	11-05-2004	7b	Décanté	2	6.35	26.38	7.46	23.18	0.634727369	1.971487686
2004	132	11-05-2004	8a	Brut	2	6.83	34.55	3.43	672.03	0.291364123	57.15063994
2004	132	11-05-2004	8b	Brut	2	5.98	28.91	6.19	36.24	0.526419428	3.081652493
2004	132	11-05-2004	9a	Floculé	2	7.46	31.53	6.79	432.50	0.577029232	36.7804757
2004	132	11-05-2004	9b	Floculé	2	6.01	31.64	12.30	14.27	1.046094979	1.213580156
2004	132	11-05-2004	10a	Filtré	2	6.78	33.77	3.68	555.71	0.313049992	47.25864856
2004	132	11-05-2004	10b	Filtré	2	5.99	31.60	4.12	46.16	0.350217752	3.925702924
2004	132	11-05-2004	11a	Floculé	3	7.87	32.88	6.31	394.75	0.53666509	33.57007509
2004	132	11-05-2004	11b	Floculé	3	6.15	27.00	5.01	14.84	0.425797908	1.262011511
2004	132	11-05-2004	12a	Décanté	3	6.77	31.97	5.14	429.45	0.43752981	36.52092245
2004	132	11-05-2004	12b	Décanté	3	6.08	27.83	9.33	15.40	0.793818896	1.310004773
2004	132	11-05-2004	13a	Filtré	3	6.58	31.14	5.45	545.13	0.463864131	46.35886957
2004	132	11-05-2004	13b	Filtré	3	5.82	28.37	7.48	14.58	0.636004553	1.239711821
2004	132	11-05-2004	14a	Brut	3	6.57	35.47	3.53	644.80	0.300337009	54.8350622
2004	132	11-05-2004	14b	Brut	3	5.91	32.81	10.38	16.38	0.882449075	1.393233086
2004	132	11-05-2004	15a	Digéré	3	7.61	33.47	4.94	378.13	0.420290657	32.15649225
2004	132	11-05-2004	15b	Digéré	3	6.13	33.03	9.68	15.86	0.822880979	1.348934074
2004	133	12-05-2004	1a	Brut	1	6.66	20.99	7.59	343.56	0.645411374	29.21717905
2004	133	12-05-2004	1b	Brut	1	6	24.73	5.86	12.29	0.498029164	1.045391655
2004	133	12-05-2004	2a	Digéré	1	7.76	18.85	7.64	561.35	0.649747239	47.73838996
2004	133	12-05-2004	2b	Digéré	1	6.22	25.47	7.24	14.40	0.615888854	1.224568508
2004	133	12-05-2004	3a	Floculé	1	7.63	19.12	6.43	540.57	0.547155625	45.9711259
2004	133	12-05-2004	3b	Floculé	1	5.92	25.87	4.86	14.51	0.413635845	1.233544228
2004	133	12-05-2004	4a	Filtré	1	6.48	21.05	6.08	387.64	0.517048614	32.96539608
2004	133	12-05-2004	4b	Filtré	1	6.06	27.77	8.76	23.01	0.745281048	1.956848878
2004	133	12-05-2004	5a	Décanté	1	6.53	19.08	5.25	482.13	0.446527188	41.00107652
