jday	time	etime	stemp	rad	stempo
129	900		14.27	0.388	
129	930		14.94	0.400	
129	1000	0	18.11	0.663	
129	1030	0.5	16.40	0.713	
129	1100	1	11.59	0.764	
129	1130	1.5	12.39	0.791	
129	1200	2	13.37	0.779	17.22
129	1230	2.5	13.94	0.848	17.89
129	1300	3	14.62	0.850	19.02
129	1330	3.5	15.22	0.846	19.88
129	1400	4	15.64	0.821	20.48
129	1430	4.5	15.90	0.779	21.09
129	1500	5	16.13	0.632	21.32
129	1530	5.5	16.06	0.620	21.11
129	1600	6	16.01	0.633	20.96
129	1630	6.5	16.12	0.550	20.69
129	1700	7	16.04	0.472	20.17
129	1730	7.5	15.81	0.400	19.33
129	1800	8	15.40	0.231	18.26
129	1830	8.5	14.51	0.089	16.63
129	1900	9	13.87	0.077	15.66
129	1930	9.5	13.36	0.044	14.88
129	2000	10	12.93	0.011	14.23
129	2030	10.5	12.48	0.000	13.56
129	2100	11	12.05	0.000	13.02
129	2130	11.5	11.64	0.000	12.50
129	2200	12	11.31	0.000	12.09
129	2230	12.5	11.03	0.000	11.70
129	2300	13	10.83	0.000	11.45
129	2330	13.5	10.64	0.000	11.18
130	0	14	10.46	0.000	11.01
130	30	14.5	10.26	0.000	10.82
130	100	15	10.06	0.000	10.62
130	130	15.5	9.90	0.000	10.43
130	200	16	9.71	0.000	10.18
130	230	16.5	9.46	0.000	9.83
130	300	17	9.26	0.000	9.55
130	330	17.5	9.03	0.000	9.23
130	400	18			
130	430	18.5			
130	500	19			
130	530	19.5			
130	600	20			
130	630	20.5			
130	700	21			
130	730	21.5			
130	800	22			
130	830	22.5			
130	900	23			
130	930	23.5			
130	1000	24			
130	1030	24.5			
130	1100	25			
130	1130	25.5			
130	1200	26			
130	1230	26.5			
130	1300	27			
130	1330	27.5			
130	1400	28	19.18	0.775	24.57
130	1430	28.5	19.23	0.629	24.54
130	1500	29	19.05	0.585	23.93
130	1530	29.5	19.20	0.599	23.89
130	1600	30	19.30	0.543	24.08
130	1630	30.5	19.57	0.538	24.09
130	1700	31	19.68	0.453	23.67
130	1730	31.5	19.42	0.338	23.12
130	1800	32	18.97	0.264	22.24
130	1830	32.5	18.44	0.152	21.32
130	1900	33	17.93	0.082	20.41
130	1930	33.5	17.53	0.045	19.64
130	2000	34	17.01	0.012	18.70
130	2030	34.5	16.44	0.001	17.75
130	2100	35	15.89	0.000	16.87
130	2130	35.5	15.18	0.000	15.85
130	2200	36	14.51	0.000	15.00
130	2230	36.5	13.91	0.000	14.30
130	2300	37	13.42	0.000	13.71
130	2330	37.5	13.10	0.000	13.30
131	0	38	13.27	0.000	13.31
131	30	38.5	13.26	0.000	13.12
131	100	39	13.18	0.000	12.92
131	130	39.5	13.05	0.000	12.70
131	200	40	12.62	0.000	12.23
131	230	40.5	12.05	0.000	11.73
131	300	41	11.61	0.000	11.34
131	330	41.5	11.26	0.000	11.02
131	400	42	10.93	0.000	10.68
131	430	42.5	10.63	0.000	10.36
131	500	43	10.37	0.000	10.07
131	530	43.5	10.13	0.004	9.82
131	600	44	9.99	0.026	9.70
131	630	44.5	9.99	0.069	9.88
131	700	45	10.33	0.152	10.69
131	730	45.5	10.71	0.064	11.31
131	800	46	11.18	0.130	11.92
131	830	46.5	11.86	0.184	12.84
131	900	47	12.70	0.250	14.02
131	930	47.5	13.55	0.277	15.34
131	1000	48	14.42	0.357	16.75
131	1030	48.5	14.70	0.285	17.03
131	1100	49	15.27	0.262	17.73
131	1130	49.5	15.49	0.239	17.71
131	1200	50	16.17	0.559	18.57
131	1230	50.5	17.71	0.819	21.02
131	1300	51	18.59	0.883	22.03
131	1330	51.5	19.29	0.709	22.82
131	1400	52	19.51	0.693	22.84
131	1430	52.5	19.91	0.717	23.27
131	1500	53	19.56	0.431	22.48
131	1530	53.5	18.64	0.069	20.75
131	1600	54	18.00	0.435	19.52
131	1630	54.5	18.40	0.265	20.42
131	1700	55	18.12	0.160	19.87
131	1730	55.5	17.62	0.111	18.79
131	1800	56	17.24	0.096	18.16
131	1830	56.5	16.95	0.109	17.80
131	1900	57	16.64	0.050	17.41
131	1930	57.5	16.17	0.010	16.81
131	2000	58	15.71	0.006	16.19
131	2030	58.5	15.21	0.001	15.42
131	2100	59	14.59	0.000	14.50
131	2130	59.5	13.93	0.000	13.57
131	2200	60	13.32	0.000	12.78
131	2230	60.5	12.77	0.000	12.14
131	2300	61	12.26	0.000	11.57
131	2330	61.5	11.78	0.000	11.02
132	0	62	11.29	0.000	10.48
132	30	62.5	10.82	0.000	9.94
132	100	63	10.34	0.000	9.37
132	130	63.5	9.89	0.000	8.88
132	200	64	9.48	0.000	8.42
132	230	64.5	9.08	0.000	8.00
132	300	65	8.66	0.000	7.55
132	330	65.5	8.17	0.000	6.95
132	400	66	7.69	0.000	6.33
132	430	66.5	7.13	0.000	5.55
132	500	67	6.59	0.000	4.85
132	530	67.5	6.18	0.007	4.43
132	600	68	5.79	0.047	3.99
132	630	68.5	5.41	0.118	3.73
132	700	69	4.95	0.185	3.52
132	730	69.5	4.74	0.152	3.70
132	800	70	4.81	0.354	4.33
132	830	70.5	5.54	0.477	5.47
132	900	71	6.55	0.545	6.97
132	930	71.5	7.10	0.624	8.05
132	1000	72	8.02	0.705	9.25
132	1030	72.5	8.74	0.766	10.10
132	1100	73	9.53	0.818	11.11
132	1130	73.5	10.21	0.856	11.73
132	1200	74	10.84	0.880	12.57
132	1230	74.5	11.27	0.900	12.94
132	1300	75	11.67	0.904	13.38
132	1330	75.5	12.17	0.895	13.99
132	1400	76	12.45	0.884	14.40
132	1430	76.5	12.63	0.842	14.57
132	1500	77	12.73	0.800	14.69
132	1530	77.5	12.63	0.744	14.55
132	1600	78	12.42	0.689	14.37
132	1630	78.5	12.36	0.609	13.89
132	1700	79	12.23	0.537	13.39
132	1730	79.5	11.95	0.452	12.84
132	1800	80	11.41	0.358	11.97
132	1830	80.5	10.66	0.273	10.87
132	1900	81	9.67	0.148	9.61
132	1930	81.5	8.71	0.105	8.32
132	2000	82	7.88	0.029	7.16
132	2030	82.5	7.18	0.002	6.18
132	2100	83	6.61	0.000	5.40
132	2130	83.5	6.11	0.000	4.79
132	2200	84	5.68	0.000	4.28
132	2230	84.5	5.34	0.000	3.84
132	2300	85	5.03	0.000	3.45
132	2330	85.5	4.74	0.000	3.09
133	0	86	4.45	0.000	2.76
133	30	86.5	4.16	0.000	2.44
133	100	87	3.90	0.000	2.15
133	130	87.5	3.64	0.000	1.93
133	200	88	3.37	0.000	1.81
133	230	88.5	3.12	0.000	1.74
133	300	89	2.91	0.000	1.63
133	330	89.5	2.69	0.000	1.50
133	400	90	2.44	0.000	1.37
133	430	90.5	2.24	0.000	1.26
133	500	91	2.07	0.000	1.15
133	530	91.5	1.83	0.010	1.03
133	600	92	1.71	0.041	1.00
133	630	92.5	1.73	0.110	1.08
133	700	93	1.86	0.182	1.23
133	730	93.5	2.00	0.151	1.39
133	800	94	2.41	0.354	2.04
133	830	94.5	3.44	0.419	3.49
133	900	95	4.66	0.558	5.19
133	930	95.5	5.66	0.631	6.83
133	1000	96	6.64	0.698	8.32
133	1030	96.5	7.51	0.757	9.72
133	1100	97	8.37	0.808	11.03
133	1130	97.5	9.62	0.848	12.21
133	1200	98	10.72	0.876	13.39
133	1230	98.5	11.61	0.892	14.30
133	1300	99	12.45	0.898	15.28
