Start Shift;End Shift;Rh
11/05/2004 09:00;11/05/2004 09:30;76.9
11/05/2004 09:30;11/05/2004 10:00;71.5
11/05/2004 10:00;11/05/2004 10:30;66.07
11/05/2004 10:30;11/05/2004 11:00;60.88
11/05/2004 11:00;11/05/2004 11:30;55.92
11/05/2004 11:30;11/05/2004 12:00;53.12
11/05/2004 12:00;11/05/2004 12:30;47.91
11/05/2004 12:30;11/05/2004 13:00;39.92
11/05/2004 13:00;11/05/2004 13:30;36.43
11/05/2004 13:30;11/05/2004 14:00;35.01
11/05/2004 14:00;11/05/2004 14:30;31.71
11/05/2004 14:30;11/05/2004 15:00;29.13
11/05/2004 15:00;11/05/2004 15:30;29.3
11/05/2004 15:30;11/05/2004 16:00;29.43
11/05/2004 16:00;11/05/2004 16:30;28.21
11/05/2004 16:30;11/05/2004 17:00;28.72
11/05/2004 17:00;11/05/2004 17:30;28.95
11/05/2004 17:30;11/05/2004 18:00;28.61
11/05/2004 18:00;11/05/2004 18:30;29.08
11/05/2004 18:30;11/05/2004 19:00;29.44
11/05/2004 19:00;11/05/2004 19:30;31.52
11/05/2004 19:30;11/05/2004 20:00;36.37
11/05/2004 20:00;11/05/2004 20:30;39.05
11/05/2004 20:30;11/05/2004 21:00;41.62
11/05/2004 21:00;11/05/2004 21:30;52.81
11/05/2004 21:30;11/05/2004 22:00;66.05
11/05/2004 22:00;11/05/2004 22:30;74.2
11/05/2004 22:30;11/05/2004 23:00;77.3
11/05/2004 23:00;11/05/2004 23:30;69.17
11/05/2004 23:30;12/05/2004 00:00;76.5
12/05/2004 00:00;12/05/2004 00:30;80.1
12/05/2004 00:30;12/05/2004 01:00;85.7
12/05/2004 01:00;12/05/2004 01:30;85.6
12/05/2004 01:30;12/05/2004 02:00;85
12/05/2004 02:00;12/05/2004 02:30;85.3
12/05/2004 02:30;12/05/2004 03:00;85
12/05/2004 03:00;12/05/2004 03:30;87.8
12/05/2004 03:30;12/05/2004 04:00;90.7
12/05/2004 04:00;12/05/2004 04:30;90.1
12/05/2004 04:30;12/05/2004 05:00;90.9
12/05/2004 05:00;12/05/2004 05:30;91.1
12/05/2004 05:30;12/05/2004 06:00;89.5
12/05/2004 06:00;12/05/2004 06:30;84.4
12/05/2004 06:30;12/05/2004 07:00;75.2
12/05/2004 07:00;12/05/2004 07:30;66.03
12/05/2004 07:30;12/05/2004 08:00;59.78
12/05/2004 08:00;12/05/2004 08:30;46.57
12/05/2004 08:30;12/05/2004 09:00;42.01
12/05/2004 09:00;12/05/2004 09:30;40.17
12/05/2004 09:30;12/05/2004 10:00;32.71
12/05/2004 10:00;12/05/2004 10:30;31.31
12/05/2004 10:30;12/05/2004 11:00;29.65
12/05/2004 11:00;12/05/2004 11:30;28.89
12/05/2004 11:30;12/05/2004 12:00;27.53
12/05/2004 12:00;12/05/2004 12:30;26.98
12/05/2004 12:30;12/05/2004 13:00;27.04
12/05/2004 13:00;12/05/2004 13:30;25.09
12/05/2004 13:30;12/05/2004 14:00;24.65
12/05/2004 14:00;12/05/2004 14:30;26.19
12/05/2004 14:30;12/05/2004 15:00;26.31
12/05/2004 15:00;12/05/2004 15:30;31.82
12/05/2004 15:30;12/05/2004 16:00;33.38
12/05/2004 16:00;12/05/2004 16:30;33.59
12/05/2004 16:30;12/05/2004 17:00;41.8
12/05/2004 17:00;12/05/2004 17:30;49.23
12/05/2004 17:30;12/05/2004 18:00;51.22
12/05/2004 18:00;12/05/2004 18:30;51.33
12/05/2004 18:30;12/05/2004 19:00;52.22
12/05/2004 19:00;12/05/2004 19:30;49.99
12/05/2004 19:30;12/05/2004 20:00;49.63
12/05/2004 20:00;12/05/2004 20:30;48.78
12/05/2004 20:30;12/05/2004 21:00;52.32
12/05/2004 21:00;12/05/2004 21:30;63.58
12/05/2004 21:30;12/05/2004 22:00;63.3
12/05/2004 22:00;12/05/2004 22:30;62.07
12/05/2004 22:30;12/05/2004 23:00;57.42
12/05/2004 23:00;12/05/2004 23:30;47.46
12/05/2004 23:30;13/05/2004 00:00;44.49
13/05/2004 00:00;13/05/2004 00:30;47.3
13/05/2004 00:30;13/05/2004 01:00;46.29
13/05/2004 01:00;13/05/2004 01:30;44.74
13/05/2004 01:30;13/05/2004 02:00;44.28
13/05/2004 02:00;13/05/2004 02:30;45.03
13/05/2004 02:30;13/05/2004 03:00;46.07
13/05/2004 03:00;13/05/2004 03:30;47.66
13/05/2004 03:30;13/05/2004 04:00;48.02
13/05/2004 04:00;13/05/2004 04:30;48.7
13/05/2004 04:30;13/05/2004 05:00;49.16
13/05/2004 05:00;13/05/2004 05:30;53.15
13/05/2004 05:30;13/05/2004 06:00;55.52
13/05/2004 06:00;13/05/2004 06:30;60.88
13/05/2004 06:30;13/05/2004 07:00;67.67
13/05/2004 07:00;13/05/2004 07:30;74.4
13/05/2004 07:30;13/05/2004 08:00;83.3
13/05/2004 08:00;13/05/2004 08:30;83.9
13/05/2004 08:30;13/05/2004 09:00;85.1
13/05/2004 09:00;13/05/2004 09:30;86
13/05/2004 09:30;13/05/2004 10:00;85.2
13/05/2004 10:00;13/05/2004 10:30;86.4
13/05/2004 10:30;13/05/2004 11:00;88.5
13/05/2004 11:00;13/05/2004 11:30;89.1
