site,month,year,t.start,t.end
Loam,june,2001,18-06-2001 09:32,18-06-2001 10:00
Loam,june,2001,18-06-2001 10:00,18-06-2001 10:30
Loam,june,2001,18-06-2001 10:30,18-06-2001 11:00
Loam,june,2001,18-06-2001 11:00,18-06-2001 11:41
Loam,june,2001,18-06-2001 11:41,18-06-2001 12:44
Loam,june,2001,18-06-2001 12:44,18-06-2001 14:44
Loam,june,2001,18-06-2001 14:44,18-06-2001 16:30
Loam,june,2001,18-06-2001 16:30,18-06-2001 20:41
Loam,june,2001,18-06-2001 20:41,19-06-2001 09:59
Loam,june,2001,19-06-2001 09:59,19-06-2001 16:20
Loam,june,2001,19-06-2001 16:20,20-06-2001 06:10
Loam,june,2001,20-06-2001 06:10,20-06-2001 11:30
Loam,june,2001,20-06-2001 11:30,20-06-2001 15:42
Loam,june,2001,20-06-2001 15:42,21-06-2001 05:39
Loam,june,2001,21-06-2001 05:39,21-06-2001 11:28
Loam,june,2001,21-06-2001 11:28,21-06-2001 16:41
Loam,june,2001,21-06-2001 16:41,22-06-2001 09:05
Loam,june,2001,22-06-2001 09:05,24-06-2001 14:26
Loam,june,2001,24-06-2001 14:26,26-06-2001 05:02
Loam,june,2001,26-06-2001 05:02,27-06-2001 05:25
Loam,june,2001,27-06-2001 05:25,29-06-2001 12:07
Loam,june,2002,19-06-2002 09:33,19-06-2002 10:04
Loam,june,2002,19-06-2002 10:04,19-06-2002 10:33
Loam,june,2002,19-06-2002 10:33,19-06-2002 11:03
Loam,june,2002,19-06-2002 11:03,19-06-2002 11:33
Loam,june,2002,19-06-2002 11:33,19-06-2002 12:46
Loam,june,2002,19-06-2002 12:46,19-06-2002 13:46
Loam,june,2002,19-06-2002 13:46,19-06-2002 14:46
Loam,june,2002,19-06-2002 14:46,19-06-2002 16:46
Loam,june,2002,19-06-2002 16:46,19-06-2002 20:45
Loam,june,2002,19-06-2002 20:45,20-06-2002 05:22
Loam,june,2002,20-06-2002 05:22,20-06-2002 11:46
Loam,june,2002,20-06-2002 11:46,20-06-2002 16:56
Loam,june,2002,20-06-2002 16:56,21-06-2002 08:35
Loam,june,2002,21-06-2002 08:35,21-06-2002 12:49
Loam,june,2002,21-06-2002 12:49,22-06-2002 03:08
Loam,june,2002,22-06-2002 03:08,22-06-2002 14:03
Loam,june,2002,22-06-2002 14:03,23-06-2002 02:53
Loam,june,2002,23-06-2002 02:53,23-06-2002 13:51
Loam,june,2002,23-06-2002 13:51,24-06-2002 03:31
Loam,june,2002,24-06-2002 03:31,24-06-2002 12:56
Loam,june,2002,24-06-2002 12:56,25-06-2002 06:20
Loam,june,2002,25-06-2002 06:20,26-06-2002 12:30
Loam,june,2002,26-06-2002 12:30,27-06-2002 06:24
Loam,june,2003,23-06-2003 09:22,23-06-2003 09:52
Loam,june,2003,23-06-2003 09:52,23-06-2003 10:22
Loam,june,2003,23-06-2003 10:22,23-06-2003 11:13
Loam,june,2003,23-06-2003 11:13,23-06-2003 12:02
Loam,june,2003,23-06-2003 12:02,23-06-2003 13:03
Loam,june,2003,23-06-2003 13:03,23-06-2003 15:02
Loam,june,2003,23-06-2003 15:02,23-06-2003 17:03
Loam,june,2003,23-06-2003 17:03,23-06-2003 20:57
Loam,june,2003,23-06-2003 20:57,24-06-2003 09:14
Loam,june,2003,24-06-2003 09:14,24-06-2003 14:02
Loam,june,2003,24-06-2003 14:02,25-06-2003 06:52
Loam,june,2003,25-06-2003 06:52,25-06-2003 12:06
Loam,june,2003,25-06-2003 12:06,25-06-2003 17:04
Loam,june,2003,25-06-2003 17:04,26-06-2003 07:05
Loam,june,2003,26-06-2003 07:05,26-06-2003 12:17
Loam,june,2003,26-06-2003 12:17,26-06-2003 17:44
Loam,june,2003,26-06-2003 17:44,27-06-2003 06:09
Loam,june,2003,27-06-2003 06:09,27-06-2003 12:14
Loam,june,2003,27-06-2003 12:14,27-06-2003 16:41
Loam,june,2003,27-06-2003 16:41,28-06-2003 11:49
Loam,june,2003,28-06-2003 11:49,29-06-2003 16:14
Loam,june,2003,29-06-2003 16:14,30-06-2003 08:52
Loam,june,2003,30-06-2003 08:52,02-07-2003 13:38
Loam,may,2001,22-05-2001 10:37,22-05-2001 11:07
Loam,may,2001,22-05-2001 11:07,22-05-2001 11:37
Loam,may,2001,22-05-2001 11:37,22-05-2001 12:07
Loam,may,2001,22-05-2001 12:07,22-05-2001 12:37
Loam,may,2001,22-05-2001 12:37,22-05-2001 13:37
Loam,may,2001,22-05-2001 13:37,22-05-2001 14:37
Loam,may,2001,22-05-2001 14:37,22-05-2001 16:37
Loam,may,2001,22-05-2001 16:37,22-05-2001 20:22
Loam,may,2001,22-05-2001 20:22,23-05-2001 06:06
Loam,may,2001,23-05-2001 06:06,23-05-2001 11:50
Loam,may,2001,23-05-2001 11:50,23-05-2001 15:47
Loam,may,2001,23-05-2001 15:47,24-05-2001 06:09
Loam,may,2001,24-05-2001 06:09,24-05-2001 10:52
Loam,may,2001,24-05-2001 10:52,24-05-2001 15:19
Loam,may,2001,24-05-2001 15:19,25-05-2001 06:00
Loam,may,2001,25-05-2001 06:00,25-05-2001 11:36
Loam,may,2001,25-05-2001 11:36,25-05-2001 16:18
Loam,may,2001,25-05-2001 16:18,26-05-2001 05:03
Loam,may,2001,26-05-2001 05:03,26-05-2001 11:10
Loam,may,2001,26-05-2001 11:10,26-05-2001 17:40
Loam,may,2001,26-05-2001 17:40,27-05-2001 04:38
Loam,may,2001,27-05-2001 04:38,27-05-2001 16:05
Loam,may,2001,27-05-2001 16:05,28-05-2001 10:37
Loam,may,2001,28-05-2001 10:37,28-05-2001 13:47
Loam,may,2001,28-05-2001 13:47,30-05-2001 09:58
Loam,may,2001,30-05-2001 09:58,31-05-2001 15:36
Loam,may,2001,31-05-2001 15:36,01-06-2001 10:19
Loam,may,2002,13-05-2002 09:07,13-05-2002 09:40
Loam,may,2002,13-05-2002 09:40,13-05-2002 10:11
Loam,may,2002,13-05-2002 10:11,13-05-2002 10:40
Loam,may,2002,13-05-2002 10:40,13-05-2002 11:41
Loam,may,2002,13-05-2002 11:41,13-05-2002 12:42
Loam,may,2002,13-05-2002 12:42,13-05-2002 14:42
Loam,may,2002,13-05-2002 14:42,13-05-2002 16:42
Loam,may,2002,13-05-2002 16:42,13-05-2002 20:08
Loam,may,2002,13-05-2002 20:08,14-05-2002 08:36
Loam,may,2002,14-05-2002 08:36,14-05-2002 16:00
Loam,may,2002,14-05-2002 16:00,14-05-2002 16:29
Loam,may,2002,14-05-2002 16:29,15-05-2002 08:26
Loam,may,2002,15-05-2002 08:26,16-05-2002 08:31
Loam,may,2002,16-05-2002 08:31,18-05-2002 06:31
Loam,may,2003,20-05-2003 08:47,20-05-2003 09:17
Loam,may,2003,20-05-2003 09:17,20-05-2003 09:47
Loam,may,2003,20-05-2003 09:47,20-05-2003 10:47
Loam,may,2003,20-05-2003 10:47,20-05-2003 11:47
Loam,may,2003,20-05-2003 11:47,20-05-2003 14:18
Loam,may,2003,20-05-2003 14:18,20-05-2003 16:36
Loam,may,2003,20-05-2003 16:36,20-05-2003 20:22
Loam,may,2003,20-05-2003 20:22,21-05-2003 06:28
Loam,may,2003,21-05-2003 06:28,21-05-2003 11:16
Loam,may,2003,21-05-2003 11:16,21-05-2003 19:22
Loam,may,2003,21-05-2003 19:22,22-05-2003 06:24
Loam,may,2003,22-05-2003 06:24,22-05-2003 11:52
Loam,may,2003,22-05-2003 11:52,22-05-2003 16:06
Loam,may,2003,22-05-2003 16:06,23-05-2003 08:32
Loam,may,2003,23-05-2003 08:32,23-05-2003 18:51
Loam,may,2003,23-05-2003 18:51,24-05-2003 07:25
Loam,may,2003,24-05-2003 07:25,24-05-2003 19:48
Loam,may,2003,24-05-2003 19:48,25-05-2003 06:30
Loam,may,2003,25-05-2003 06:30,25-05-2003 17:19
Loam,may,2003,25-05-2003 17:19,26-05-2003 05:49
Loam,may,2003,26-05-2003 05:49,26-05-2003 17:28
Loam,may,2003,26-05-2003 17:28,27-05-2003 06:39
Loam,may,2003,27-05-2003 06:39,27-05-2003 17:05
Loam,may,2003,27-05-2003 17:05,28-05-2003 15:12
Loam,may,2003,28-05-2003 15:12,30-05-2003 08:29
SandyLoam,june,2001,19-06-2001 11:48,19-06-2001 12:18
SandyLoam,june,2001,19-06-2001 12:18,19-06-2001 12:48
SandyLoam,june,2001,19-06-2001 12:48,19-06-2001 13:18
SandyLoam,june,2001,19-06-2001 13:18,19-06-2001 13:48
SandyLoam,june,2001,19-06-2001 13:48,19-06-2001 14:47
SandyLoam,june,2001,19-06-2001 14:47,19-06-2001 17:37
SandyLoam,june,2001,19-06-2001 17:37,19-06-2001 21:02
SandyLoam,june,2001,19-06-2001 21:02,20-06-2001 06:05
SandyLoam,june,2001,20-06-2001 06:05,20-06-2001 12:44
SandyLoam,june,2001,20-06-2001 12:44,20-06-2001 16:57
SandyLoam,june,2001,20-06-2001 16:57,21-06-2001 06:57
SandyLoam,june,2001,21-06-2001 06:57,21-06-2001 12:41
SandyLoam,june,2001,21-06-2001 12:41,21-06-2001 17:53
SandyLoam,june,2001,21-06-2001 17:53,22-06-2001 08:52
SandyLoam,june,2001,22-06-2001 08:52,24-06-2001 15:48
SandyLoam,june,2001,24-06-2001 15:48,26-06-2001 06:08
SandyLoam,june,2002,25-06-2002 08:57,25-06-2002 09:29
SandyLoam,june,2002,25-06-2002 09:29,25-06-2002 09:57
SandyLoam,june,2002,25-06-2002 09:57,25-06-2002 10:27
SandyLoam,june,2002,25-06-2002 10:27,25-06-2002 10:57
SandyLoam,june,2002,25-06-2002 10:57,25-06-2002 11:41
SandyLoam,june,2002,25-06-2002 11:41,25-06-2002 12:57
SandyLoam,june,2002,25-06-2002 12:57,25-06-2002 14:03
SandyLoam,june,2002,25-06-2002 14:03,25-06-2002 17:34
SandyLoam,june,2002,25-06-2002 17:34,25-06-2002 20:25
SandyLoam,june,2002,25-06-2002 20:25,26-06-2002 05:24
SandyLoam,june,2002,26-06-2002 05:24,26-06-2002 12:03
SandyLoam,june,2002,26-06-2002 12:03,26-06-2002 16:59
SandyLoam,june,2002,26-06-2002 16:59,27-06-2002 08:33
SandyLoam,june,2002,27-06-2002 08:33,27-06-2002 09:30
SandyLoam,june,2002,27-06-2002 09:30,28-06-2002 08:53
SandyLoam,june,2002,28-06-2002 08:53,28-06-2002 09:08
SandyLoam,june,2002,28-06-2002 09:08,29-06-2002 05:15
SandyLoam,june,2002,29-06-2002 05:15,01-07-2002 10:01
SandyLoam,june,2002,01-07-2002 10:01,02-07-2002 13:26
SandyLoam,june,2002,02-07-2002 13:26,03-07-2002 10:20
SandyLoam,june,2003,17-06-2003 09:16,17-06-2003 09:46
SandyLoam,june,2003,17-06-2003 09:46,17-06-2003 10:16
SandyLoam,june,2003,17-06-2003 10:16,17-06-2003 11:16
SandyLoam,june,2003,17-06-2003 11:16,17-06-2003 12:16
SandyLoam,june,2003,17-06-2003 12:16,17-06-2003 13:16
SandyLoam,june,2003,17-06-2003 13:16,17-06-2003 15:10
SandyLoam,june,2003,17-06-2003 15:10,17-06-2003 17:10
SandyLoam,june,2003,17-06-2003 17:10,17-06-2003 20:52
SandyLoam,june,2003,17-06-2003 20:52,18-06-2003 06:22
SandyLoam,june,2003,18-06-2003 06:22,18-06-2003 12:16
SandyLoam,june,2003,18-06-2003 12:16,18-06-2003 17:10
SandyLoam,june,2003,18-06-2003 17:10,19-06-2003 06:10
SandyLoam,june,2003,19-06-2003 06:10,19-06-2003 12:40
SandyLoam,june,2003,19-06-2003 12:40,19-06-2003 16:16
SandyLoam,june,2003,19-06-2003 16:16,20-06-2003 06:28
SandyLoam,june,2003,20-06-2003 06:28,20-06-2003 12:16
SandyLoam,june,2003,20-06-2003 12:16,20-06-2003 16:46
SandyLoam,june,2003,20-06-2003 16:46,21-06-2003 07:16
SandyLoam,june,2003,21-06-2003 07:16,21-06-2003 20:34
SandyLoam,june,2003,21-06-2003 20:34,22-06-2003 20:58
SandyLoam,june,2003,22-06-2003 20:58,23-06-2003 12:10
SandyLoam,june,2003,23-06-2003 12:10,25-06-2003 12:28
SandyLoam,june,2003,25-06-2003 12:28,27-06-2003 10:52
SandyLoam,may,2001,23-05-2001 09:34,23-05-2001 10:04
SandyLoam,may,2001,23-05-2001 10:04,23-05-2001 10:34
SandyLoam,may,2001,23-05-2001 10:34,23-05-2001 11:04
SandyLoam,may,2001,23-05-2001 11:04,23-05-2001 12:04
SandyLoam,may,2001,23-05-2001 12:04,23-05-2001 13:04
SandyLoam,may,2001,23-05-2001 13:04,23-05-2001 15:05
SandyLoam,may,2001,23-05-2001 15:05,23-05-2001 17:08
SandyLoam,may,2001,23-05-2001 17:08,23-05-2001 21:05
SandyLoam,may,2001,23-05-2001 21:05,24-05-2001 07:17
SandyLoam,may,2001,24-05-2001 07:17,24-05-2001 12:12
SandyLoam,may,2001,24-05-2001 12:12,24-05-2001 16:28
SandyLoam,may,2001,24-05-2001 16:28,25-05-2001 07:07
SandyLoam,may,2001,25-05-2001 07:07,25-05-2001 13:06
SandyLoam,may,2001,25-05-2001 13:06,25-05-2001 17:34
SandyLoam,may,2001,25-05-2001 17:34,26-05-2001 06:12
SandyLoam,may,2001,26-05-2001 06:12,26-05-2001 12:28
SandyLoam,may,2001,26-05-2001 12:28,26-05-2001 18:50
SandyLoam,may,2001,26-05-2001 18:50,27-05-2001 05:47
SandyLoam,may,2001,27-05-2001 05:47,27-05-2001 17:09
SandyLoam,may,2001,27-05-2001 17:09,28-05-2001 09:26
SandyLoam,may,2001,28-05-2001 09:26,28-05-2001 13:52
SandyLoam,may,2001,28-05-2001 13:52,29-05-2001 12:19
SandyLoam,may,2001,29-05-2001 12:19,30-05-2001 09:19
SandyLoam,may,2001,30-05-2001 09:19,31-05-2001 11:00
SandyLoam,may,2002,08-05-2002 09:01,08-05-2002 09:32
SandyLoam,may,2002,08-05-2002 09:32,08-05-2002 09:59
SandyLoam,may,2002,08-05-2002 09:59,08-05-2002 10:46
SandyLoam,may,2002,08-05-2002 10:46,08-05-2002 11:38
SandyLoam,may,2002,08-05-2002 11:38,08-05-2002 12:35
SandyLoam,may,2002,08-05-2002 12:35,08-05-2002 14:35
SandyLoam,may,2002,08-05-2002 14:35,08-05-2002 16:40
SandyLoam,may,2002,08-05-2002 16:40,08-05-2002 20:51
SandyLoam,may,2002,08-05-2002 20:51,09-05-2002 05:40
SandyLoam,may,2002,09-05-2002 05:40,09-05-2002 11:37
SandyLoam,may,2002,09-05-2002 11:37,09-05-2002 15:37
SandyLoam,may,2002,09-05-2002 15:37,10-05-2002 09:23
SandyLoam,may,2002,10-05-2002 09:23,10-05-2002 16:39
SandyLoam,may,2002,10-05-2002 16:39,11-05-2002 06:51
SandyLoam,may,2002,11-05-2002 06:51,11-05-2002 16:40
SandyLoam,may,2002,11-05-2002 16:40,12-05-2002 06:58
SandyLoam,may,2002,12-05-2002 06:58,12-05-2002 17:16
SandyLoam,may,2002,12-05-2002 17:16,13-05-2002 08:40
SandyLoam,may,2002,13-05-2002 08:40,14-05-2002 09:11
SandyLoam,may,2002,14-05-2002 09:11,15-05-2002 10:51
SandyLoam,may,2002,15-05-2002 10:51,17-05-2002 09:15
SandyLoam,may,2003,15-05-2003 08:45,15-05-2003 09:14
SandyLoam,may,2003,15-05-2003 09:14,15-05-2003 09:44
SandyLoam,may,2003,15-05-2003 09:44,15-05-2003 10:44
SandyLoam,may,2003,15-05-2003 10:44,15-05-2003 11:44
SandyLoam,may,2003,15-05-2003 11:44,15-05-2003 12:44
SandyLoam,may,2003,15-05-2003 12:44,15-05-2003 14:44
SandyLoam,may,2003,15-05-2003 14:44,15-05-2003 16:47
SandyLoam,may,2003,15-05-2003 16:47,15-05-2003 21:01
SandyLoam,may,2003,15-05-2003 21:01,16-05-2003 06:38
SandyLoam,may,2003,16-05-2003 06:38,16-05-2003 11:44
SandyLoam,may,2003,16-05-2003 11:44,16-05-2003 16:44
SandyLoam,may,2003,16-05-2003 16:44,17-05-2003 06:45
SandyLoam,may,2003,17-05-2003 06:45,17-05-2003 18:17
SandyLoam,may,2003,17-05-2003 18:17,18-05-2003 07:43
SandyLoam,may,2003,18-05-2003 07:43,18-05-2003 20:01
SandyLoam,may,2003,18-05-2003 20:01,19-05-2003 08:41
SandyLoam,may,2003,19-05-2003 08:41,19-05-2003 21:46
SandyLoam,may,2003,19-05-2003 21:46,20-05-2003 06:05
SandyLoam,may,2003,20-05-2003 06:05,20-05-2003 15:44
SandyLoam,may,2003,20-05-2003 15:44,21-05-2003 07:55
SandyLoam,may,2003,21-05-2003 07:55,22-05-2003 07:43
SandyLoam,may,2003,22-05-2003 07:43,23-05-2003 11:22
SandyLoam,may,2003,23-05-2003 11:22,24-05-2003 08:48
SandyLoam,may,2003,24-05-2003 08:48,25-05-2003 16:55
