start	end
11-05-2004 10:30	11-05-2004 11:00
11-05-2004 11:00	11-05-2004 11:30
11-05-2004 11:30	11-05-2004 12:30
11-05-2004 12:30	11-05-2004 13:30
11-05-2004 13:30	11-05-2004 14:30
11-05-2004 14:30	11-05-2004 16:30
11-05-2004 16:30	11-05-2004 21:00
11-05-2004 21:00	12-05-2004 06:06
12-05-2004 06:06	12-05-2004 11:57
12-05-2004 11:57	12-05-2004 18:03
12-05-2004 18:03	13-05-2004 06:03
13-05-2004 06:03	13-05-2004 11:57
13-05-2004 11:57	13-05-2004 17:57
13-05-2004 17:57	14-05-2004 06:09
14-05-2004 06:09	14-05-2004 12:09
14-05-2004 12:09	14-05-2004 17:57
14-05-2004 17:57	15-05-2004 12:54
15-05-2004 12:54	16-05-2004 17:40
16-05-2004 17:40	17-05-2004 16:28
17-05-2004 16:28	18-05-2004 14:10
18-05-2004 14:10	18-05-2004 19:16
18-05-2004 19:16	20-05-2004 07:38
