Start Shift;End Shift;AirTemp
13/05/2004 16:30;13/05/2004 17:00;5.361
13/05/2004 17:00;13/05/2004 17:30;5.456
13/05/2004 17:30;13/05/2004 18:00;5.798
13/05/2004 18:00;13/05/2004 18:30;6.259
13/05/2004 18:30;13/05/2004 19:00;6.627
13/05/2004 19:00;13/05/2004 19:30;6.109
13/05/2004 19:30;13/05/2004 20:00;5.982
13/05/2004 20:00;13/05/2004 20:30;5.854
13/05/2004 20:30;13/05/2004 21:00;5.71
13/05/2004 21:00;13/05/2004 21:30;5.697
13/05/2004 21:30;13/05/2004 22:00;5.752
13/05/2004 22:00;13/05/2004 22:30;5.633
13/05/2004 22:30;13/05/2004 23:00;5.745
13/05/2004 23:00;13/05/2004 23:30;5.779
13/05/2004 23:30;14/05/2004 00:00;5.791
14/05/2004 00:00;14/05/2004 00:30;5.687
14/05/2004 00:30;14/05/2004 01:00;5.777
14/05/2004 01:00;14/05/2004 01:30;5.867
14/05/2004 01:30;14/05/2004 02:00;5.989
14/05/2004 02:00;14/05/2004 02:30;5.509
14/05/2004 02:30;14/05/2004 03:00;5.31
14/05/2004 03:00;14/05/2004 03:30;5.26
14/05/2004 03:30;14/05/2004 04:00;5.338
14/05/2004 04:00;14/05/2004 04:30;5.338
14/05/2004 04:30;14/05/2004 05:00;5.404
14/05/2004 05:00;14/05/2004 05:30;5.469
14/05/2004 05:30;14/05/2004 06:00;5.668
14/05/2004 06:00;14/05/2004 06:30;5.748
14/05/2004 06:30;14/05/2004 07:00;6.146
14/05/2004 07:00;14/05/2004 07:30;6.854
14/05/2004 07:30;14/05/2004 08:00;8
14/05/2004 08:00;14/05/2004 08:30;9.58
14/05/2004 08:30;14/05/2004 09:00;10.83
14/05/2004 09:00;14/05/2004 09:30;12.5
14/05/2004 09:30;14/05/2004 10:00;13.25
14/05/2004 10:00;14/05/2004 10:30;14.72
14/05/2004 10:30;14/05/2004 11:00;15.92
14/05/2004 11:00;14/05/2004 11:30;16.48
14/05/2004 11:30;14/05/2004 12:00;17.57
14/05/2004 12:00;14/05/2004 12:30;18.7
14/05/2004 12:30;14/05/2004 13:00;20.37
14/05/2004 13:00;14/05/2004 13:30;21.52
14/05/2004 13:30;14/05/2004 14:00;22.35
14/05/2004 14:00;14/05/2004 14:30;23.47
14/05/2004 14:30;14/05/2004 15:00;23.8
14/05/2004 15:00;14/05/2004 15:30;24.72
14/05/2004 15:30;14/05/2004 16:00;25.72
14/05/2004 16:00;14/05/2004 16:30;26.45
14/05/2004 16:30;14/05/2004 17:00;26.84
14/05/2004 17:00;14/05/2004 17:30;26.97
14/05/2004 17:30;14/05/2004 18:00;26.55
14/05/2004 18:00;14/05/2004 18:30;24.5
14/05/2004 18:30;14/05/2004 19:00;23.31
14/05/2004 19:00;14/05/2004 19:30;21.23
14/05/2004 19:30;14/05/2004 20:00;19.27
14/05/2004 20:00;14/05/2004 20:30;17.04
14/05/2004 20:30;14/05/2004 21:00;14.57
14/05/2004 21:00;14/05/2004 21:30;13.48
14/05/2004 21:30;14/05/2004 22:00;12.63
14/05/2004 22:00;14/05/2004 22:30;11.87
14/05/2004 22:30;14/05/2004 23:00;11.3
14/05/2004 23:00;14/05/2004 23:30;11.03
14/05/2004 23:30;15/05/2004 00:00;10.97
15/05/2004 00:00;15/05/2004 00:30;10.91
15/05/2004 00:30;15/05/2004 01:00;11.01
15/05/2004 01:00;15/05/2004 01:30;10.69
15/05/2004 01:30;15/05/2004 02:00;10.3
15/05/2004 02:00;15/05/2004 02:30;10.16
15/05/2004 02:30;15/05/2004 03:00;9.95
15/05/2004 03:00;15/05/2004 03:30;10.02
15/05/2004 03:30;15/05/2004 04:00;10.07
15/05/2004 04:00;15/05/2004 04:30;10.21
