doy,time,time.since.app,x,soil.temp,air.temp,rad,rh,cum.rad
132,930,,132.3875,14.98533333,13.93,0.31,76.9,0.558
132,1000,,132.4166667,15.93333333,14.25,0.455,71.5,1.377
132,1030,0,132.4291667,17.908,15.34,0.625,66.07,2.502
132,1100,0.5,132.4583333,18.64266667,15.83,0.623,60.88,3.6234
132,1130,1,132.4708333,19.33266667,16.36,0.768,55.92,5.0058
132,1200,1.5,132.5,19.94466667,17.1,0.799,53.12,6.444
132,1230,2,132.5125,20.23,17.58,0.823,47.91,7.9254
132,1300,2.5,132.5416667,20.31066667,17.96,0.834,39.92,9.4266
132,1330,3,132.5541667,20.628,18.2,0.832,36.43,10.9242
132,1400,3.5,132.5833333,20.64066667,18.36,0.823,35.01,12.4056
132,1430,4,132.5958333,20.488,18.82,0.807,31.71,13.8582
132,1500,4.5,132.625,20.33933333,18.95,0.751,29.13,15.21
132,1530,5,132.6375,19.77666667,18.83,0.691,29.3,16.4538
132,1600,5.5,132.6666667,19.384,18.72,0.631,29.43,17.5896
132,1630,6,132.6791667,18.91,18.66,0.579,28.21,18.6318
132,1700,6.5,132.7083333,18.50733333,18.52,0.503,28.72,19.5372
132,1730,7,132.7208333,17.996,18.37,0.413,28.95,20.2806
132,1800,7.5,132.75,17.268,18.15,0.375,28.61,20.9556
132,1830,8,132.7625,16.53533333,17.59,0.287,29.08,21.4722
132,1900,8.5,132.7916667,15.662,17.08,0.189,29.44,21.8124
132,1930,9,132.8041667,14.732,16.22,0.115,31.52,22.0194
132,2000,9.5,132.8333333,13.43,14.23,0.033,36.37,22.0788
132,2030,10,132.8458333,12.12933333,12.75,0,39.05,22.0788
132,2100,10.5,132.875,11.09266667,11.56,0,41.62,22.0788
132,2130,11,132.8875,10.01533333,9.72,0,52.81,22.0788
132,2200,11.5,132.9166667,9.222666667,7.65,0,66.05,22.0788
132,2230,12,132.9291667,8.579333333,6.525,0,74.2,22.0788
132,2300,12.5,132.9583333,8.069333333,5.891,0,77.3,22.0788
132,2330,13,132.9708333,7.6194,6.496,0,69.17,22.0788
133,0,13.5,133,7.1552,5.574,0,76.5,22.0788
133,30,14,133.0125,6.745666667,4.853,0,80.1,22.0788
133,100,14.5,133.0416667,6.448666667,4.308,0,85.7,22.0788
133,130,15,133.0541667,6.067466667,3.972,0,85.6,22.0788
133,200,15.5,133.0833333,5.787066667,3.959,0,85,22.0788
133,230,16,133.0958333,5.540133333,3.894,0,85.3,22.0788
133,300,16.5,133.125,5.401266667,4.007,0,85,22.0788
133,330,17,133.1375,5.078866667,3.29,0,87.8,22.0788
133,400,17.5,133.1666667,4.774533333,2.749,0,90.7,22.0788
133,430,18,133.1791667,4.545733333,2.601,0,90.1,22.0788
133,500,18.5,133.2083333,4.316933333,2.44,0,90.9,22.0788
