"site","month","year","t.start","t.end","doy.start","precip"
"loam","may",2001,2001-05-22 10:37:00,2001-05-22 11:07:00,142,3.5
"loam","may",2001,2001-05-22 11:07:00,2001-05-22 11:37:00,142,0
"loam","may",2001,2001-05-22 11:37:00,2001-05-22 12:07:00,142,0
"loam","may",2001,2001-05-22 12:07:00,2001-05-22 12:37:00,142,0
"loam","may",2001,2001-05-22 12:37:00,2001-05-22 13:37:00,142,0
"loam","may",2001,2001-05-22 13:37:00,2001-05-22 14:37:00,142,0
"loam","may",2001,2001-05-22 14:37:00,2001-05-22 16:37:00,142,0
"loam","may",2001,2001-05-22 16:37:00,2001-05-22 20:22:00,142,0
"loam","may",2001,2001-05-22 20:22:00,2001-05-23 06:06:00,142,0
"loam","may",2001,2001-05-23 06:06:00,2001-05-23 11:50:00,143,0
"loam","may",2001,2001-05-23 11:50:00,2001-05-23 15:47:00,143,0
"loam","may",2001,2001-05-23 15:47:00,2001-05-24 06:09:00,143,0
"loam","may",2001,2001-05-24 06:09:00,2001-05-24 10:52:00,144,0
"loam","may",2001,2001-05-24 10:52:00,2001-05-24 15:19:00,144,0
"loam","may",2001,2001-05-24 15:19:00,2001-05-25 06:00:00,144,0
"loam","may",2001,2001-05-25 06:00:00,2001-05-25 11:36:00,145,0
"loam","may",2001,2001-05-25 11:36:00,2001-05-25 16:18:00,145,0
"loam","may",2001,2001-05-25 16:18:00,2001-05-26 05:03:00,145,0
"loam","may",2001,2001-05-26 05:03:00,2001-05-26 11:10:00,146,17.3
"loam","may",2001,2001-05-26 11:10:00,2001-05-26 17:40:00,146,0
"loam","may",2001,2001-05-26 17:40:00,2001-05-27 04:38:00,146,0
"loam","may",2001,2001-05-27 04:38:00,2001-05-27 16:05:00,147,7.2
"loam","may",2001,2001-05-27 16:05:00,2001-05-28 10:37:00,147,0
"loam","may",2001,2001-05-28 10:37:00,2001-05-28 13:47:00,148,2.3
"loam","may",2001,2001-05-28 13:47:00,2001-05-30 09:58:00,148,0
"loam","may",2001,2001-05-30 09:58:00,2001-05-31 15:36:00,150,5.8
"loam","may",2001,2001-05-31 15:36:00,2001-06-01 10:19:00,151,5.3
"loam","june",2001,2001-06-18 09:32:00,2001-06-18 10:00:00,169,0
"loam","june",2001,2001-06-18 10:00:00,2001-06-18 10:30:00,169,0
"loam","june",2001,2001-06-18 10:30:00,2001-06-18 11:00:00,169,0
"loam","june",2001,2001-06-18 11:00:00,2001-06-18 11:41:00,169,0
"loam","june",2001,2001-06-18 11:41:00,2001-06-18 12:44:00,169,0
"loam","june",2001,2001-06-18 12:44:00,2001-06-18 14:44:00,169,0
"loam","june",2001,2001-06-18 14:44:00,2001-06-18 16:30:00,169,0
"loam","june",2001,2001-06-18 16:30:00,2001-06-18 20:41:00,169,0
"loam","june",2001,2001-06-18 20:41:00,2001-06-19 09:59:00,169,0
"loam","june",2001,2001-06-19 09:59:00,2001-06-19 16:20:00,170,0
"loam","june",2001,2001-06-19 16:20:00,2001-06-20 06:10:00,170,0
"loam","june",2001,2001-06-20 06:10:00,2001-06-20 11:30:00,171,1.9
"loam","june",2001,2001-06-20 11:30:00,2001-06-20 15:42:00,171,0
"loam","june",2001,2001-06-20 15:42:00,2001-06-21 05:39:00,171,0
"loam","june",2001,2001-06-21 05:39:00,2001-06-21 11:28:00,172,0
"loam","june",2001,2001-06-21 11:28:00,2001-06-21 16:41:00,172,0
"loam","june",2001,2001-06-21 16:41:00,2001-06-22 09:05:00,172,0
"loam","june",2001,2001-06-22 09:05:00,2001-06-24 14:26:00,173,0
"loam","june",2001,2001-06-24 14:26:00,2001-06-26 05:02:00,175,0
"loam","june",2001,2001-06-26 05:02:00,2001-06-27 05:25:00,177,0
"loam","june",2001,2001-06-27 05:25:00,2001-06-29 12:07:00,178,0
