"stime","time","jday","stemp","atemp","rad","rhumid","cumrad"
0.5,0.5,132.4583333,18.64266667,15.83,623,60.88,3.6234
1,1,132.4708333,19.33266667,16.36,768,55.92,5.0058
2,1.75,132.50625,20.087333335,17.34,811,50.515,7.1847
3,2.75,132.5479167,20.469333335,18.08,833,38.175,10.1754
4,3.75,132.5895833,20.564333335,18.59,815,33.36,13.1319
6,5.25,132.65208335,19.6025,18.79,663,29.0175,16.9713
10.5,8.5,132.787962955556,15.2614074066667,16.0522222222222,212.777777777778,32.5955555555556,21.3682
19.6,15.25,133.06875,6.32947777761111,4.62833333333333,1.38888888888889,81.2683333333333,22.0813
25.45,22.75,133.38125,11.8779,12.9967,447.7,45.232,25.71102
31.55,28.75,133.63125,18.3113888883333,17.9916666666667,427.666666666667,33.1083333333333,38.1792
43.55,38,134.016847826087,7.92343188434783,8.33469565217391,0.0869565217391304,50.7469565217391,40.9555565217391
49.45,46.75,134.38125,6.5181133332,5.439,98.1,82.957,41.70024
55.45,52.5,134.620454545455,8.40913223109091,6.77090909090909,172.818181818182,86.3727272727273,45.288
67.65,61.75,135.00625,5.903592803,5.73141666666667,10.3333333333333,86.775,46.932525
73.65,71,135.392045454545,12.1321336087273,11.9863636363636,433.454545454545,82.4272727272727,50.5189636363636
79.45,76.75,135.63125,22.407954546,24.221,577.5,61.221,63.2736
98.4,89,136.141554054054,15.2374201467568,16.4021621621622,94.4594594594595,79.6178378378378,69.1771135135135
127.17,113,137.141593566667,14.6579194577895,13.6342456140351,308.543859649123,64.8094736842105,85.2973578947368
149.97,138.75,138.214583334091,12.6113991051818,11.0082045454545,274.25,64.6079545454545,111.819559090909
171.67,161,139.141763565116,16.4189112051163,17.8753488372093,105.93023255814,61.8520930232558,133.149181395349
176.77,174.5,139.704629633333,17.7740235711111,17.2633333333333,95,89,138.7886
213.14,195.25,140.56875,14.4726395203333,12.6559861111111,212.416666666667,69.5619444444444,153.577425
