"inst","eid","pid","pmid","database","proj","exper","exper2","institute","country","file","first.row.in.file","last.row.in.file","pub.id","pub.info","lat","long","topo","field","plot","plot.area","treat","rep","rep2","n.ints","t.start.p","t.end.p","dt1","dt.min","dt.max","ct.min","ct.max","meas.tech","meas.tech2","meas.tech.orig","j.NH31","j.rel1","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.final","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.final","clay","silt","sand","oc","soil.type","soil.type2","soil.water","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.mn","air.temp.z","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.72","soil.temp.48","soil.temp.mn","soil.temp.z","rad.6","rad.12","rad.24","rad.48","rad.72","rad.mn","wind.6","wind.12","wind.24","wind.48","wind.72","wind.mn","wind.z","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.mn","wind.loc","rain.1","rain.6","rain.12","rain.24","rain.48","rain.72","rain.tot","rain.rate.1","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.mn","rh.6","rh.12","rh.24","rh.48","rh.72","rh.mn","far.loc","man.source","man.source.orig","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.tkn","man.tan","acid","man.tic","man.ua","man.ph","man.freeNH3","man.eq.gasNH3","date.start","app.start","app.start.orig","app.method","app.method2","app.method.orig","app.rate","tan.app","incorp","incorp.orig","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.orig","crop.z","crop.area","lai","notes","flag"
"101",1,1,1,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5423,5429,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",1.4735,0.011548,NA,4.1943,5.0979,6.4756,9.3604,14.047,15.695,NA,16.559,NA,0.032871,0.039953,0.050749,0.073357,0.11009,0.123,NA,0.12977,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.82301,0.82301,0.82301,0.82301,0.82301,0.82301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,2,2,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5486,5492,NA,NA,NA,NA,NA,NA,"10",NA,"5","5",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",14.877,0.11659,NA,42.036,50.776,59.743,77.514,93.727,99.933,NA,103.26,NA,0.32943,0.39793,0.4682,0.60749,0.73454,0.78317,NA,0.80928,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,4.01,4.01,4.01,4.01,4.01,4.01,0.25,6.6005,6.6005,6.6005,6.6005,6.6005,6.6005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,3,3,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5430,5436,NA,NA,NA,NA,NA,NA,"2",NA,"3","3",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",2.937,0.023017,NA,7.7876,8.9059,11.102,15.495,20.154,22.34,NA,23.368,NA,0.061031,0.069796,0.087005,0.12143,0.15795,0.17507,NA,0.18314,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,1.9,1.9,1.9,0.25,3.1274,3.1274,3.1274,3.1274,3.1274,3.1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,4,4,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5437,5443,NA,NA,NA,NA,NA,NA,"3",NA,"4","4",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",8.4092,0.065903,NA,23,27.033,31.59,40.738,51.146,55.506,NA,58.685,NA,0.18025,0.21186,0.24758,0.31926,0.40083,0.43501,NA,0.45992,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,2.92,2.92,2.92,2.92,2.92,2.92,0.25,4.8064,4.8064,4.8064,4.8064,4.8064,4.8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,5,5,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5444,5450,NA,NA,NA,NA,NA,NA,"4",NA,"2","2",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",1.9596,0.015357,NA,5.3888,6.3653,8.1018,11.657,17.121,19.224,NA,19.94,NA,0.042232,0.049885,0.063493,0.091353,0.13417,0.15065,NA,0.15627,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,0.89,0.89,0.89,0.89,0.89,0.89,0.25,1.465,1.465,1.465,1.465,1.465,1.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,6,6,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5451,5457,NA,NA,NA,NA,NA,NA,"5",NA,"3","3",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",5.0131,0.039288,NA,13.767,16.24,19.781,26.92,34.21,33.925,NA,35.422,NA,0.10789,0.12727,0.15502,0.21098,0.26809,0.26587,NA,0.2776,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,1.95,1.95,1.95,1.95,1.95,1.95,0.25,3.2097,3.2097,3.2097,3.2097,3.2097,3.2097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,7,7,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5458,5464,NA,NA,NA,NA,NA,NA,"6",NA,"4","4",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",8.8735,0.069542,NA,24.281,28.55,33.518,43.553,55.58,60.61,NA,63.404,NA,0.19029,0.22375,0.26268,0.34133,0.43558,0.475,NA,0.4969,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,2.93,2.93,2.93,2.93,2.93,2.93,0.25,4.8228,4.8228,4.8228,4.8228,4.8228,4.8228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,8,8,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5465,5471,NA,NA,NA,NA,NA,NA,"7",NA,"1","1",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",1.8428,0.014442,NA,5.1657,6.2006,7.8354,11.2,15.625,17.498,NA,18.574,NA,0.040484,0.048594,0.061407,0.087774,0.12245,0.13714,NA,0.14556,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,0.49,0.49,0.49,0.49,0.49,0.49,0.25,0.80655,0.80655,0.80655,0.80655,0.80655,0.80655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,9,9,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5472,5478,NA,NA,NA,NA,NA,NA,"8",NA,"5","5",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",8.7898,0.068886,NA,25.215,30.833,37.653,51.381,65.633,71.468,NA,74.546,NA,0.19761,0.24164,0.29509,0.40267,0.51437,0.5601,NA,0.58421,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,4.07,4.07,4.07,4.07,4.07,4.07,0.25,6.6993,6.6993,6.6993,6.6993,6.6993,6.6993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
"101",1,10,10,1,"VLAHR","1_DR_p1",1,"ADAS","UK","ALFAM1.xlsx",5479,5485,NA,NA,NA,NA,NA,NA,"9",NA,"2","2",1,7,1998-09-07 00:00:00,1998-09-11 00:00:00,2.3333,2.3333,23.867,2.3333,93.983,"wt","wt","Wind tunnel",4.1303,0.032369,NA,11.701,14.166,17.268,23.63,33.033,36.857,NA,39.135,NA,0.091702,0.11102,0.13533,0.18519,0.25888,0.28885,NA,0.3067,61.5,26,12.5,2.58,"clay","clay",0.324,NA,7.9,NA,NA,"No",30.4,30.4,19.689,19.205,18.375,17.23,NA,19.317,19.317,16.77,16.009,16.474,15.385,NA,NA,NA,NA,NA,NA,NA,0.95,0.95,0.95,0.95,0.95,0.95,0.25,1.5637,1.5637,1.5637,1.5637,1.5637,1.5637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pig","Pig","None","slurry","None","none",NA,4.74,4.76,3.19,FALSE,NA,NA,7.17,0.03609,0.036819,"1998-09-07",NA,NA,"bc","bc","Broadcast",40,127.6,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",NA,NA,NA,"",""
