Start Shift;End Shift;SoilTemp
09/05/2005 08:30;09/05/2005 09:00;14.27
09/05/2005 09:00;09/05/2005 09:30;14.94
09/05/2005 09:30;09/05/2005 10:00;18.11
09/05/2005 10:00;09/05/2005 10:30;16.40
09/05/2005 10:30;09/05/2005 11:00;11.59
09/05/2005 11:00;09/05/2005 11:30;12.39
09/05/2005 11:30;09/05/2005 12:00;13.37
09/05/2005 12:00;09/05/2005 12:30;13.94
09/05/2005 12:30;09/05/2005 13:00;14.62
09/05/2005 13:00;09/05/2005 13:30;15.22
09/05/2005 13:30;09/05/2005 14:00;15.64
09/05/2005 14:00;09/05/2005 14:30;15.90
09/05/2005 14:30;09/05/2005 15:00;16.13
09/05/2005 15:00;09/05/2005 15:30;16.06
09/05/2005 15:30;09/05/2005 16:00;16.01
09/05/2005 16:00;09/05/2005 16:30;16.12
09/05/2005 16:30;09/05/2005 17:00;16.04
09/05/2005 17:00;09/05/2005 17:30;15.81
09/05/2005 17:30;09/05/2005 18:00;15.40
09/05/2005 18:00;09/05/2005 18:30;14.51
09/05/2005 18:30;09/05/2005 19:00;13.87
09/05/2005 19:00;09/05/2005 19:30;13.36
09/05/2005 19:30;09/05/2005 20:00;12.93
09/05/2005 20:00;09/05/2005 20:30;12.48
09/05/2005 20:30;09/05/2005 21:00;12.05
09/05/2005 21:00;09/05/2005 21:30;11.64
09/05/2005 21:30;09/05/2005 22:00;11.31
09/05/2005 22:00;09/05/2005 22:30;11.03
09/05/2005 22:30;09/05/2005 23:00;10.83
09/05/2005 23:00;09/05/2005 23:30;10.64
09/05/2005 23:30;10/05/2005 00:00;10.46
10/05/2005 00:00;10/05/2005 00:30;10.26
10/05/2005 00:30;10/05/2005 01:00;10.06
10/05/2005 01:00;10/05/2005 01:30;9.90
10/05/2005 01:30;10/05/2005 02:00;9.71
10/05/2005 02:00;10/05/2005 02:30;9.46
10/05/2005 02:30;10/05/2005 03:00;9.26
10/05/2005 03:00;10/05/2005 03:30;9.03
10/05/2005 13:30;10/05/2005 14:00;19.18
10/05/2005 14:00;10/05/2005 14:30;19.23
10/05/2005 14:30;10/05/2005 15:00;19.05
10/05/2005 15:00;10/05/2005 15:30;19.20
10/05/2005 15:30;10/05/2005 16:00;19.30
10/05/2005 16:00;10/05/2005 16:30;19.57
10/05/2005 16:30;10/05/2005 17:00;19.68
10/05/2005 17:00;10/05/2005 17:30;19.42
10/05/2005 17:30;10/05/2005 18:00;18.97
10/05/2005 18:00;10/05/2005 18:30;18.44
10/05/2005 18:30;10/05/2005 19:00;17.93
10/05/2005 19:00;10/05/2005 19:30;17.53
10/05/2005 19:30;10/05/2005 20:00;17.01
10/05/2005 20:00;10/05/2005 20:30;16.44
10/05/2005 20:30;10/05/2005 21:00;15.89
10/05/2005 21:00;10/05/2005 21:30;15.18
10/05/2005 21:30;10/05/2005 22:00;14.51
10/05/2005 22:00;10/05/2005 22:30;13.91
10/05/2005 22:30;10/05/2005 23:00;13.42
10/05/2005 23:00;10/05/2005 23:30;13.10
10/05/2005 23:30;11/05/2005 00:00;13.27
11/05/2005 00:00;11/05/2005 00:30;13.26
11/05/2005 00:30;11/05/2005 01:00;13.18
11/05/2005 01:00;11/05/2005 01:30;13.05
11/05/2005 01:30;11/05/2005 02:00;12.62
11/05/2005 02:00;11/05/2005 02:30;12.05
11/05/2005 02:30;11/05/2005 03:00;11.61
11/05/2005 03:00;11/05/2005 03:30;11.26
11/05/2005 03:30;11/05/2005 04:00;10.93
11/05/2005 04:00;11/05/2005 04:30;10.63
11/05/2005 04:30;11/05/2005 05:00;10.37
11/05/2005 05:00;11/05/2005 05:30;10.13
11/05/2005 05:30;11/05/2005 06:00;9.99
11/05/2005 06:00;11/05/2005 06:30;9.99
11/05/2005 06:30;11/05/2005 07:00;10.33
11/05/2005 07:00;11/05/2005 07:30;10.71
11/05/2005 07:30;11/05/2005 08:00;11.18
11/05/2005 08:00;11/05/2005 08:30;11.86
11/05/2005 08:30;11/05/2005 09:00;12.70
11/05/2005 09:00;11/05/2005 09:30;13.55
11/05/2005 09:30;11/05/2005 10:00;14.42
11/05/2005 10:00;11/05/2005 10:30;14.70
11/05/2005 10:30;11/05/2005 11:00;15.27
11/05/2005 11:00;11/05/2005 11:30;15.49
11/05/2005 11:30;11/05/2005 12:00;16.17
11/05/2005 12:00;11/05/2005 12:30;17.71
11/05/2005 12:30;11/05/2005 13:00;18.59
11/05/2005 13:00;11/05/2005 13:30;19.29
11/05/2005 13:30;11/05/2005 14:00;19.51
11/05/2005 14:00;11/05/2005 14:30;19.91
11/05/2005 14:30;11/05/2005 15:00;19.56
11/05/2005 15:00;11/05/2005 15:30;18.64
11/05/2005 15:30;11/05/2005 16:00;18.00
11/05/2005 16:00;11/05/2005 16:30;18.40
11/05/2005 16:30;11/05/2005 17:00;18.12
11/05/2005 17:00;11/05/2005 17:30;17.62
11/05/2005 17:30;11/05/2005 18:00;17.24
11/05/2005 18:00;11/05/2005 18:30;16.95
11/05/2005 18:30;11/05/2005 19:00;16.64
11/05/2005 19:00;11/05/2005 19:30;16.17
11/05/2005 19:30;11/05/2005 20:00;15.71
11/05/2005 20:00;11/05/2005 20:30;15.21
11/05/2005 20:30;11/05/2005 21:00;14.59
11/05/2005 21:00;11/05/2005 21:30;13.93
11/05/2005 21:30;11/05/2005 22:00;13.32
11/05/2005 22:00;11/05/2005 22:30;12.77
11/05/2005 22:30;11/05/2005 23:00;12.26
11/05/2005 23:00;11/05/2005 23:30;11.78
11/05/2005 23:30;12/05/2005 00:00;11.29
12/05/2005 00:00;12/05/2005 00:30;10.82
12/05/2005 00:30;12/05/2005 01:00;10.34
12/05/2005 01:00;12/05/2005 01:30;9.89
12/05/2005 01:30;12/05/2005 02:00;9.48
12/05/2005 02:00;12/05/2005 02:30;9.08
12/05/2005 02:30;12/05/2005 03:00;8.66
12/05/2005 03:00;12/05/2005 03:30;8.17
12/05/2005 03:30;12/05/2005 04:00;7.69
12/05/2005 04:00;12/05/2005 04:30;7.13
12/05/2005 04:30;12/05/2005 05:00;6.59
12/05/2005 05:00;12/05/2005 05:30;6.18
12/05/2005 05:30;12/05/2005 06:00;5.79
12/05/2005 06:00;12/05/2005 06:30;5.41
12/05/2005 06:30;12/05/2005 07:00;4.95
12/05/2005 07:00;12/05/2005 07:30;4.74
12/05/2005 07:30;12/05/2005 08:00;4.81
12/05/2005 08:00;12/05/2005 08:30;5.54
12/05/2005 08:30;12/05/2005 09:00;6.55
12/05/2005 09:00;12/05/2005 09:30;7.10
12/05/2005 09:30;12/05/2005 10:00;8.02
12/05/2005 10:00;12/05/2005 10:30;8.74
12/05/2005 10:30;12/05/2005 11:00;9.53
12/05/2005 11:00;12/05/2005 11:30;10.21
12/05/2005 11:30;12/05/2005 12:00;10.84
12/05/2005 12:00;12/05/2005 12:30;11.27
12/05/2005 12:30;12/05/2005 13:00;11.67
12/05/2005 13:00;12/05/2005 13:30;12.17
12/05/2005 13:30;12/05/2005 14:00;12.45
12/05/2005 14:00;12/05/2005 14:30;12.63
12/05/2005 14:30;12/05/2005 15:00;12.73
12/05/2005 15:00;12/05/2005 15:30;12.63
12/05/2005 15:30;12/05/2005 16:00;12.42
12/05/2005 16:00;12/05/2005 16:30;12.36
12/05/2005 16:30;12/05/2005 17:00;12.23
12/05/2005 17:00;12/05/2005 17:30;11.95
12/05/2005 17:30;12/05/2005 18:00;11.41
12/05/2005 18:00;12/05/2005 18:30;10.66
12/05/2005 18:30;12/05/2005 19:00;9.67
12/05/2005 19:00;12/05/2005 19:30;8.71
12/05/2005 19:30;12/05/2005 20:00;7.88
12/05/2005 20:00;12/05/2005 20:30;7.18
12/05/2005 20:30;12/05/2005 21:00;6.61
12/05/2005 21:00;12/05/2005 21:30;6.11
12/05/2005 21:30;12/05/2005 22:00;5.68
12/05/2005 22:00;12/05/2005 22:30;5.34
12/05/2005 22:30;12/05/2005 23:00;5.03
12/05/2005 23:00;12/05/2005 23:30;4.74
12/05/2005 23:30;13/05/2005 00:00;4.45
13/05/2005 00:00;13/05/2005 00:30;4.16
13/05/2005 00:30;13/05/2005 01:00;3.90
13/05/2005 01:00;13/05/2005 01:30;3.64
13/05/2005 01:30;13/05/2005 02:00;3.37
13/05/2005 02:00;13/05/2005 02:30;3.12
13/05/2005 02:30;13/05/2005 03:00;2.91
13/05/2005 03:00;13/05/2005 03:30;2.69
13/05/2005 03:30;13/05/2005 04:00;2.44
13/05/2005 04:00;13/05/2005 04:30;2.24
13/05/2005 04:30;13/05/2005 05:00;2.07
13/05/2005 05:00;13/05/2005 05:30;1.83
13/05/2005 05:30;13/05/2005 06:00;1.71
13/05/2005 06:00;13/05/2005 06:30;1.73
13/05/2005 06:30;13/05/2005 07:00;1.86
13/05/2005 07:00;13/05/2005 07:30;2.00
13/05/2005 07:30;13/05/2005 08:00;2.41
13/05/2005 08:00;13/05/2005 08:30;3.44
13/05/2005 08:30;13/05/2005 09:00;4.66
13/05/2005 09:00;13/05/2005 09:30;5.66
13/05/2005 09:30;13/05/2005 10:00;6.64
13/05/2005 10:00;13/05/2005 10:30;7.51
13/05/2005 10:30;13/05/2005 11:00;8.37
13/05/2005 11:00;13/05/2005 11:30;9.62
13/05/2005 11:30;13/05/2005 12:00;10.72
13/05/2005 12:00;13/05/2005 12:30;11.61
13/05/2005 12:30;13/05/2005 13:00;12.45
13/05/2005 13:00;13/05/2005 13:30;13.06
13/05/2005 13:30;13/05/2005 14:00;13.50
13/05/2005 14:00;13/05/2005 14:30;13.87
13/05/2005 14:30;13/05/2005 15:00;14.18
13/05/2005 15:00;13/05/2005 15:30;14.28
13/05/2005 15:30;13/05/2005 16:00;14.32
13/05/2005 16:00;13/05/2005 16:30;14.34
13/05/2005 16:30;13/05/2005 17:00;14.07
13/05/2005 17:00;13/05/2005 17:30;13.82
13/05/2005 17:30;13/05/2005 18:00;13.33
13/05/2005 18:00;13/05/2005 18:30;12.65
13/05/2005 18:30;13/05/2005 19:00;11.80
13/05/2005 19:00;13/05/2005 19:30;10.96
13/05/2005 19:30;13/05/2005 20:00;10.22
13/05/2005 20:00;13/05/2005 20:30;9.37
13/05/2005 20:30;13/05/2005 21:00;8.58
13/05/2005 21:00;13/05/2005 21:30;7.95
13/05/2005 21:30;13/05/2005 22:00;7.32
13/05/2005 22:00;13/05/2005 22:30;6.86
13/05/2005 22:30;13/05/2005 23:00;6.39
13/05/2005 23:00;13/05/2005 23:30;5.88
13/05/2005 23:30;14/05/2005 00:00;5.49
14/05/2005 00:00;14/05/2005 00:30;5.09
14/05/2005 00:30;14/05/2005 01:00;4.74
14/05/2005 01:00;14/05/2005 01:30;4.33
14/05/2005 01:30;14/05/2005 02:00;3.94
14/05/2005 02:00;14/05/2005 02:30;3.63
14/05/2005 02:30;14/05/2005 03:00;3.41
14/05/2005 03:00;14/05/2005 03:30;3.15
14/05/2005 03:30;14/05/2005 04:00;2.88
14/05/2005 04:00;14/05/2005 04:30;2.66
14/05/2005 04:30;14/05/2005 05:00;2.45
14/05/2005 05:00;14/05/2005 05:30;2.30
14/05/2005 05:30;14/05/2005 06:00;2.29
14/05/2005 06:00;14/05/2005 06:30;2.43
14/05/2005 06:30;14/05/2005 07:00;2.80
14/05/2005 07:00;14/05/2005 07:30;3.26
14/05/2005 07:30;14/05/2005 08:00;3.92
14/05/2005 08:00;14/05/2005 08:30;4.86
14/05/2005 08:30;14/05/2005 09:00;5.63
14/05/2005 09:00;14/05/2005 09:30;6.44
14/05/2005 09:30;14/05/2005 10:00;7.53
14/05/2005 10:00;14/05/2005 10:30;8.46
14/05/2005 10:30;14/05/2005 11:00;9.23
14/05/2005 11:00;14/05/2005 11:30;9.58
14/05/2005 11:30;14/05/2005 12:00;9.74
14/05/2005 12:00;14/05/2005 12:30;9.40
14/05/2005 12:30;14/05/2005 13:00;9.35
14/05/2005 13:00;14/05/2005 13:30;9.89
14/05/2005 13:30;14/05/2005 14:00;10.46
14/05/2005 14:00;14/05/2005 14:30;10.73
14/05/2005 14:30;14/05/2005 15:00;10.67
14/05/2005 15:00;14/05/2005 15:30;10.08
14/05/2005 15:30;14/05/2005 16:00;9.56
14/05/2005 16:00;14/05/2005 16:30;9.50
14/05/2005 16:30;14/05/2005 17:00;9.94
14/05/2005 17:00;14/05/2005 17:30;10.04
14/05/2005 17:30;14/05/2005 18:00;9.78
14/05/2005 18:00;14/05/2005 18:30;9.34
14/05/2005 18:30;14/05/2005 19:00;9.01
14/05/2005 19:00;14/05/2005 19:30;8.70
14/05/2005 19:30;14/05/2005 20:00;8.30
14/05/2005 20:00;14/05/2005 20:30;7.98
14/05/2005 20:30;14/05/2005 21:00;7.77
14/05/2005 21:00;14/05/2005 21:30;7.56
14/05/2005 21:30;14/05/2005 22:00;7.38
14/05/2005 22:00;14/05/2005 22:30;7.32
14/05/2005 22:30;14/05/2005 23:00;7.27
14/05/2005 23:00;14/05/2005 23:30;7.22
14/05/2005 23:30;15/05/2005 00:00;7.15
15/05/2005 00:00;15/05/2005 00:30;7.07
15/05/2005 00:30;15/05/2005 01:00;6.97
15/05/2005 01:00;15/05/2005 01:30;6.90
15/05/2005 01:30;15/05/2005 02:00;6.88
15/05/2005 02:00;15/05/2005 02:30;6.84
15/05/2005 02:30;15/05/2005 03:00;6.78
15/05/2005 03:00;15/05/2005 03:30;6.76
15/05/2005 03:30;15/05/2005 04:00;6.74
15/05/2005 04:00;15/05/2005 04:30;6.70
15/05/2005 04:30;15/05/2005 05:00;6.65
15/05/2005 05:00;15/05/2005 05:30;6.62
15/05/2005 05:30;15/05/2005 06:00;6.64
15/05/2005 06:00;15/05/2005 06:30;6.65
15/05/2005 06:30;15/05/2005 07:00;6.67
15/05/2005 07:00;15/05/2005 07:30;6.73
15/05/2005 07:30;15/05/2005 08:00;6.79
15/05/2005 08:00;15/05/2005 08:30;6.85
15/05/2005 08:30;15/05/2005 09:00;6.86
15/05/2005 09:00;15/05/2005 09:30;6.87
15/05/2005 09:30;15/05/2005 10:00;6.90
15/05/2005 10:00;15/05/2005 10:30;6.93
15/05/2005 10:30;15/05/2005 11:00;7.01
15/05/2005 11:00;15/05/2005 11:30;7.05
15/05/2005 11:30;15/05/2005 12:00;7.11
15/05/2005 12:00;15/05/2005 12:30;7.19
15/05/2005 12:30;15/05/2005 13:00;7.29
15/05/2005 13:00;15/05/2005 13:30;7.37
15/05/2005 13:30;15/05/2005 14:00;7.43
15/05/2005 14:00;15/05/2005 14:30;7.55
15/05/2005 14:30;15/05/2005 15:00;7.66
15/05/2005 15:00;15/05/2005 15:30;7.82
15/05/2005 15:30;15/05/2005 16:00;7.87
15/05/2005 16:00;15/05/2005 16:30;7.90
15/05/2005 16:30;15/05/2005 17:00;7.92
15/05/2005 17:00;15/05/2005 17:30;7.91
15/05/2005 17:30;15/05/2005 18:00;7.88
15/05/2005 18:00;15/05/2005 18:30;7.87
15/05/2005 18:30;15/05/2005 19:00;7.78
15/05/2005 19:00;15/05/2005 19:30;7.64
15/05/2005 19:30;15/05/2005 20:00;7.53
