Start Shift;End Shift;Rh
09/05/2005 08:00;09/05/2005 09:00;61.85
09/05/2005 09:00;09/05/2005 10:00;53.27
09/05/2005 10:00;09/05/2005 11:00;46.31
09/05/2005 11:00;09/05/2005 12:00;47.66
09/05/2005 12:00;09/05/2005 13:00;46.64
09/05/2005 13:00;09/05/2005 14:00;45.4
09/05/2005 14:00;09/05/2005 15:00;45.47
09/05/2005 15:00;09/05/2005 16:00;46.04
09/05/2005 16:00;09/05/2005 17:00;45.79
09/05/2005 17:00;09/05/2005 18:00;50.33
09/05/2005 18:00;09/05/2005 19:00;53.74
09/05/2005 19:00;09/05/2005 20:00;58.12
09/05/2005 20:00;09/05/2005 21:00;64.23
09/05/2005 21:00;09/05/2005 22:00;65.62
09/05/2005 22:00;09/05/2005 23:00;60.85
09/05/2005 23:00;10/05/2005 00:00;64.62
10/05/2005 00:00;10/05/2005 01:00;68.24
10/05/2005 01:00;10/05/2005 02:00;71.4
10/05/2005 02:00;10/05/2005 03:00;75.6
10/05/2005 03:00;10/05/2005 04:00;76.1
10/05/2005 04:00;10/05/2005 05:00;72.7
10/05/2005 05:00;10/05/2005 06:00;72.6
10/05/2005 06:00;10/05/2005 07:00;75.5
10/05/2005 07:00;10/05/2005 08:00;76.9
10/05/2005 08:00;10/05/2005 09:00;65.34
10/05/2005 09:00;10/05/2005 10:00;52.65
10/05/2005 10:00;10/05/2005 11:00;49.97
10/05/2005 11:00;10/05/2005 12:00;48.72
10/05/2005 12:00;10/05/2005 13:00;48.09
10/05/2005 13:00;10/05/2005 14:00;44.3
10/05/2005 14:00;10/05/2005 15:00;42.14
10/05/2005 15:00;10/05/2005 16:00;40.83
10/05/2005 16:00;10/05/2005 17:00;42.86
10/05/2005 17:00;10/05/2005 18:00;49.52
10/05/2005 18:00;10/05/2005 19:00;58.24
10/05/2005 19:00;10/05/2005 20:00;68.32
10/05/2005 20:00;10/05/2005 21:00;73.4
10/05/2005 21:00;10/05/2005 22:00;82.8
10/05/2005 22:00;10/05/2005 23:00;87.8
10/05/2005 23:00;11/05/2005 00:00;90.1
11/05/2005 00:00;11/05/2005 01:00;93.3
11/05/2005 01:00;11/05/2005 02:00;95.8
