start	end
06-09-2005 11:00	06-09-2005 11:30
06-09-2005 11:30	06-09-2005 12:00
06-09-2005 12:00	06-09-2005 13:00
06-09-2005 13:00	06-09-2005 14:00
06-09-2005 14:00	06-09-2005 15:00
06-09-2005 15:00	06-09-2005 16:53
06-09-2005 16:53	06-09-2005 18:53
06-09-2005 18:53	06-09-2005 21:43
06-09-2005 21:43	07-09-2005 06:44
07-09-2005 06:44	07-09-2005 12:42
07-09-2005 12:42	07-09-2005 18:45
07-09-2005 18:45	08-09-2005 06:46
08-09-2005 06:46	08-09-2005 12:45
08-09-2005 12:45	08-09-2005 16:10
08-09-2005 16:10	09-09-2005 07:12
09-09-2005 07:12	09-09-2005 12:44
09-09-2005 12:44	09-09-2005 18:44
09-09-2005 18:44	10-09-2005 07:33
10-09-2005 07:33	10-09-2005 18:14
10-09-2005 18:14	11-09-2005 11:17
11-09-2005 11:17	12-09-2005 11:00
12-09-2005 11:00	13-09-2005 11:23
13-09-2005 11:23	14-09-2005 11:53
14-09-2005 11:53	15-09-2005 11:35
15-09-2005 11:35	16-09-2005 09:13
