Start;End;AirTemp
15/05/2001 12:00;15/05/2001 13:00;22.72
15/05/2001 13:00;15/05/2001 14:00;20.47
15/05/2001 14:00;15/05/2001 15:00;20
15/05/2001 15:00;15/05/2001 16:00;19.48
15/05/2001 16:00;15/05/2001 17:00;18.65
15/05/2001 17:00;15/05/2001 18:00;17.67
15/05/2001 18:00;15/05/2001 19:00;16.1
15/05/2001 19:00;15/05/2001 20:00;13.47
15/05/2001 20:00;15/05/2001 21:00;10.45
15/05/2001 21:00;15/05/2001 22:00;8.46
15/05/2001 22:00;15/05/2001 23:00;6.989
15/05/2001 23:00;16/05/2001 00:00;5.98
16/05/2001 00:00;16/05/2001 01:00;5.238
16/05/2001 01:00;16/05/2001 02:00;4.49
16/05/2001 02:00;16/05/2001 03:00;3.701
16/05/2001 03:00;16/05/2001 04:00;2.537
16/05/2001 04:00;16/05/2001 05:00;1.423
16/05/2001 05:00;16/05/2001 06:00;0.808
16/05/2001 06:00;16/05/2001 07:00;1.146
16/05/2001 07:00;16/05/2001 08:00;4.794
16/05/2001 08:00;16/05/2001 09:00;9.27
16/05/2001 09:00;16/05/2001 10:00;13.26
16/05/2001 10:00;16/05/2001 11:00;16.25
16/05/2001 11:00;16/05/2001 12:00;18.69
16/05/2001 12:00;16/05/2001 13:00;20.16
16/05/2001 13:00;16/05/2001 14:00;21.53
16/05/2001 14:00;16/05/2001 15:00;22.31
16/05/2001 15:00;16/05/2001 16:00;22.46
16/05/2001 16:00;16/05/2001 17:00;22.16
16/05/2001 17:00;16/05/2001 18:00;21.46
16/05/2001 18:00;16/05/2001 19:00;20.28
16/05/2001 19:00;16/05/2001 20:00;18.07
16/05/2001 20:00;16/05/2001 21:00;13.9
16/05/2001 21:00;16/05/2001 22:00;10.08
16/05/2001 22:00;16/05/2001 23:00;7.56
16/05/2001 23:00;17/05/2001 00:00;5.777
17/05/2001 00:00;17/05/2001 01:00;4.631
17/05/2001 01:00;17/05/2001 02:00;3.738
17/05/2001 02:00;17/05/2001 03:00;3.015
17/05/2001 03:00;17/05/2001 04:00;1.847
17/05/2001 04:00;17/05/2001 05:00;1.085
17/05/2001 05:00;17/05/2001 06:00;0.571
17/05/2001 06:00;17/05/2001 07:00;1.487
17/05/2001 07:00;17/05/2001 08:00;4.842
17/05/2001 08:00;17/05/2001 09:00;9.31
17/05/2001 09:00;17/05/2001 10:00;14.15
17/05/2001 10:00;17/05/2001 11:00;18.39
17/05/2001 11:00;17/05/2001 12:00;21.84
17/05/2001 12:00;17/05/2001 13:00;23.98
17/05/2001 13:00;17/05/2001 14:00;25.44
17/05/2001 14:00;17/05/2001 15:00;26.08
17/05/2001 15:00;17/05/2001 16:00;26.42
17/05/2001 16:00;17/05/2001 17:00;26.31
17/05/2001 17:00;17/05/2001 18:00;25.51
17/05/2001 18:00;17/05/2001 19:00;24.38
17/05/2001 19:00;17/05/2001 20:00;21.94
17/05/2001 20:00;17/05/2001 21:00;17.49
17/05/2001 21:00;17/05/2001 22:00;13.41
17/05/2001 22:00;17/05/2001 23:00;10.68
17/05/2001 23:00;18/05/2001 00:00;8.75
18/05/2001 00:00;18/05/2001 01:00;7.3
18/05/2001 01:00;18/05/2001 02:00;6.517
18/05/2001 02:00;18/05/2001 03:00;5.848
18/05/2001 03:00;18/05/2001 04:00;4.855
18/05/2001 04:00;18/05/2001 05:00;4.027
18/05/2001 05:00;18/05/2001 06:00;3.491
18/05/2001 06:00;18/05/2001 07:00;3.931
18/05/2001 07:00;18/05/2001 08:00;7.83
18/05/2001 08:00;18/05/2001 09:00;13.23
18/05/2001 09:00;18/05/2001 10:00;18.41
18/05/2001 10:00;18/05/2001 11:00;22.52
18/05/2001 11:00;18/05/2001 12:00;25.46
18/05/2001 12:00;18/05/2001 13:00;27.4
18/05/2001 13:00;18/05/2001 14:00;28.38
18/05/2001 14:00;18/05/2001 15:00;29.21
18/05/2001 15:00;18/05/2001 16:00;29.12
18/05/2001 16:00;18/05/2001 17:00;28.52
18/05/2001 17:00;18/05/2001 18:00;27.56
18/05/2001 18:00;18/05/2001 19:00;26.19
18/05/2001 19:00;18/05/2001 20:00;23.98
18/05/2001 20:00;18/05/2001 21:00;19.46
18/05/2001 21:00;18/05/2001 22:00;15.14
18/05/2001 22:00;18/05/2001 23:00;12.12
18/05/2001 23:00;19/05/2001 00:00;10.13
19/05/2001 00:00;19/05/2001 01:00;8.52
19/05/2001 01:00;19/05/2001 02:00;7.39
19/05/2001 02:00;19/05/2001 03:00;6.611
19/05/2001 03:00;19/05/2001 04:00;5.722
19/05/2001 04:00;19/05/2001 05:00;4.915
19/05/2001 05:00;19/05/2001 06:00;4.171
19/05/2001 06:00;19/05/2001 07:00;4.694
19/05/2001 07:00;19/05/2001 08:00;8.62
19/05/2001 08:00;19/05/2001 09:00;13.82
19/05/2001 09:00;19/05/2001 10:00;19.13
19/05/2001 10:00;19/05/2001 11:00;23.7
19/05/2001 11:00;19/05/2001 12:00;27.34
19/05/2001 12:00;19/05/2001 13:00;29.36
19/05/2001 13:00;19/05/2001 14:00;30.51
19/05/2001 14:00;19/05/2001 15:00;31.12
