jday	time	stemp	rad	atemp	rh
238	1000	23.23	0.546	19.67	66.52
238	1030	24.21	0.626	21.12	60.48
238	1100	25.76	0.695	22.32	57.78
238	1130	27.17	0.737	23.32	52.86
238	1200	28.65	0.768	24.52	48.64
238	1230	29.56	0.788	25.38	45.6
238	1300	30.78	0.793	26.27	43.14
238	1330	31.09	0.788	26.91	39.07
238	1400	31.37	0.768	27.5	34.68
238	1430	31.24	0.737	27.96	27.3
238	1500	30.64	0.698	28.06	27.86
238	1530	30.49	0.644	28.1	28.72
238	1600	29.44	0.578	27.99	29.44
238	1630	28.58	0.507	27.8	30.55
238	1700	27.94	0.427	27.51	30.21
238	1730	27.51	0.342	27.41	30.91
238	1800	26.75	0.255	27.11	33.22
238	1830	25.31	0.17	26.35	35.9
238	1900	23.41	0.093	25.27	41.08
238	1930	20.96	0.026	23.45	46.26
238	2000	18.07	0.002	20.71	56.09
238	2030	16.66	0	18.64	66.62
238	2100	15.29	0	16.29	78.5
238	2130	14.94	0	15.41	83
238	2200	14.22	0	14.41	83.5
238	2230	13.99	0	14.23	85.3
238	2300	14.25	0	15.04	79.7
238	2330	14.37	0	15.34	77.9
239	0	13.56	0	14.34	82
239	30	13.46	0	14.25	81.9
239	100	13.29	0	13.65	84.8
239	130	12.68	0	12.92	85.7
239	200	12.19	0	11.86	89.7
239	230	11.96	0	11.79	89.8
239	300	11.89	0	11.76	90.2
239	330	11.75	0	11.76	90
239	400	11.36	0	11.42	89.9
239	430	11.10	0	10.94	90.2
239	500	11.11	0	11.05	91.1
239	530	11.41	0	11.56	89.5
239	600	11.60	0.002	12.21	86.8
239	630	11.80	0.023	12.42	85.8
239	700	12.35	0.033	12.99	83.6
239	730	13.27	0.133	13.96	81.4
239	800	15.51	0.251	16.03	74.2
239	830	17.26	0.333	17.47	70.1
239	900	17.36	0.397	18.8	66.92
239	930	21.83	0.501	20.81	61.19
239	1000	25.29	0.612	22.99	55.65
239	1030	26.25	0.517	24.4	50.63
239	1100	27.03	0.535	25.21	47.41
239	1130	30.07	0.697	26.63	44.04
239	1200	31.15	0.712	27.71	42.49
