
STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)

RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value


STN,YYYYMMDD,   RD,   SX,
340,19890101,    0,    0,
340,19890102,    1,    0,
340,19890103,    0,    0,
340,19890104,    0,    0,
340,19890105,   36,    0,
340,19890106,   85,    0,
340,19890107,    0,    0,
340,19890108,   10,    0,
340,19890109,    1,    0,
340,19890110,   17,    0,
340,19890111,   19,    0,
340,19890112,    0,    0,
340,19890113,   16,    0,
340,19890114,    1,    0,
340,19890115,   19,    0,
340,19890116,    0,    0,
340,19890117,    0,    0,
340,19890118,    4,    0,
340,19890119,    0,    0,
340,19890120,    0,    0,
340,19890121,    0,    0,
340,19890122,   10,    0,
340,19890123,    0,    0,
340,19890124,    0,    0,
340,19890125,    0,    0,
340,19890126,    0,    0,
340,19890127,    0,    0,
340,19890128,    0,    0,
340,19890129,    8,    0,
340,19890130,    2,    0,
340,19890131,    0,    0,
340,19890201,    1,    0,
340,19890202,    1,    0,
340,19890203,    0,    0,
340,19890204,    0,    0,
340,19890205,   34,    0,
340,19890206,    0,    0,
340,19890207,    0,    0,
340,19890208,    0,    0,
340,19890209,    0,    0,
340,19890210,    0,    0,
340,19890211,    0,    0,
340,19890212,    2,    0,
340,19890213,   11,    0,
340,19890214,   59,    0,
340,19890215,    0,    0,
340,19890216,   34,    0,
340,19890217,    8,    0,
340,19890218,   56,    0,
340,19890219,   42,    0,
340,19890220,   53,    0,
340,19890221,    0,    0,
340,19890222,    0,    0,
340,19890223,   22,    0,
340,19890224,    0,    0,
340,19890225,   18,    0,
340,19890226,   12,    0,
340,19890227,   34,    0,
340,19890228,   79,    0,
340,19890301,   22,    0,
340,19890302,   30,    0,
340,19890303,   61,    0,
340,19890304,   12,    0,
340,19890305,    7,    0,
340,19890306,    0,    0,
340,19890307,    0,    0,
340,19890308,  195,    0,
340,19890309,    2,    0,
340,19890310,    4,    0,
340,19890311,    0,    0,
340,19890312,    0,    0,
340,19890313,    5,    0,
340,19890314,   17,    0,
340,19890315,   22,    0,
340,19890316,   10,    0,
340,19890317,  219,    2,
340,19890318,    8,    0,
340,19890319,    0,    0,
340,19890320,    0,    0,
340,19890321,   25,    0,
340,19890322,   18,    0,
340,19890323,   10,    0,
340,19890324,   96,    0,
340,19890325,   82,    0,
340,19890326,    0,    0,
340,19890327,    0,    0,
340,19890328,    0,    0,
340,19890329,    0,    0,
340,19890330,    0,    0,
340,19890331,    0,    0,
340,19890401,    0,    0,
340,19890402,    0,    0,
340,19890403,    0,    0,
340,19890404,    0,    0,
340,19890405,    2,    0,
340,19890406,    2,    0,
340,19890407,  134,    0,
340,19890408,   15,    0,
340,19890409,    0,    0,
340,19890410,    0,    0,
340,19890411,   12,    0,
340,19890412,   38,    0,
340,19890413,   80,    0,
340,19890414,   49,    0,
340,19890415,    3,    0,
340,19890416,    0,    0,
340,19890417,   21,    0,
340,19890418,    0,    0,
340,19890419,   18,    0,
340,19890420,    3,    0,
340,19890421,    0,    0,
340,19890422,    0,    0,
340,19890423,   25,    0,
340,19890424,   21,    0,
340,19890425,   17,    0,
340,19890426,   34,    0,
340,19890427,   34,    0,
340,19890428,    0,    0,
340,19890429,    0,    0,
340,19890430,    0,    0,
340,19890501,    0,    0,
340,19890502,    0,    0,
340,19890503,    0,    0,
340,19890504,    0,    0,
340,19890505,    0,    0,
340,19890506,    0,    0,
340,19890507,    0,    0,
340,19890508,    0,    0,
340,19890509,    0,    0,
340,19890510,    0,    0,
340,19890511,    0,    0,
340,19890512,    2,    0,
340,19890513,   47,    0,
340,19890514,    2,    0,
340,19890515,    0,    0,
340,19890516,    0,    0,
340,19890517,    0,    0,
340,19890518,    0,    0,
340,19890519,    0,    0,
340,19890520,    0,    0,
340,19890521,    0,    0,
340,19890522,    0,    0,
340,19890523,    0,    0,
340,19890524,    0,    0,
340,19890525,    0,    0,
340,19890526,    0,    0,
340,19890527,    0,    0,
340,19890528,    0,    0,
340,19890529,    0,    0,
340,19890530,   15,    0,
340,19890531,    0,    0,
340,19890601,    0,    0,
340,19890602,    0,    0,
340,19890603,    0,    0,
340,19890604,  100,    0,
340,19890605,   97,    0,
340,19890606,    0,    0,
340,19890607,   19,    0,
340,19890608,   52,    0,
340,19890609,   81,    0,
340,19890610,    0,    0,
340,19890611,    0,    0,
340,19890612,    0,    0,
340,19890613,    0,    0,
340,19890614,    0,    0,
340,19890615,    0,    0,
340,19890616,    0,    0,
340,19890617,    0,    0,
340,19890618,    0,    0,
340,19890619,    0,    0,
340,19890620,    0,    0,
340,19890621,    0,    0,
340,19890622,    0,    0,
340,19890623,   67,    0,
340,19890624,    0,    0,
340,19890625,    0,    0,
340,19890626,    0,    0,
340,19890627,    9,    0,
340,19890628,   27,    0,
340,19890629,   19,    0,
340,19890630,  147,    0,
340,19890701,   50,    0,
340,19890702,  113,    0,
340,19890703,    3,    0,
340,19890704,    0,    0,
340,19890705,    0,    0,
340,19890706,    0,    0,
340,19890707,    0,    0,
340,19890708,    0,    0,
340,19890709,   18,    0,
340,19890710,   54,    0,
340,19890711,    0,    0,
340,19890712,    0,    0,
340,19890713,    0,    0,
340,19890714,    4,    0,
340,19890715,    0,    0,
340,19890716,    1,    0,
