site;camp;trial;treat;block;plot;p_rep;date;time_start;time_end;ts;te;tube;stroke;ppm;notes;Sstroke;Sduration;timestamp;temp;wind;pressure;Sppm2;ts.N0;fert_amount;N_amount;app_time;code;flux;cumtime;cumloss;cumloss;cumloss_perc
txt;txt;txt;txt;txt;txt;txt;dd:mm:yyyy;hh:mm;hh:mm;dd:mm:yyyy hh:mm;dd:mm:yyyy hh:mm;txt;num;ppm;txt;num;sec;dd:mm:yyyy hh:mm;°C;m s-1;hPa;ppm;dd:mm:yyyy hh:mm;kg ha-1;kg N ha-1;dd:mm:yyyy hh:mm;txt;kg N ha-1 h-1;h;kg N ha-1;kg N ha-1;%
DK;I;squares;U;1;1;;20.08.2021;11:23;11:24;20.08.2021 11:23;20.08.2021 11:24;5a;10;49;;10;60;20.08.2021 11:23;15.88358613;3.152188274;1017.905742;49;20.08.2021 11:27;;67.5;20.08.2021 11:00;U_1_I;1.334999098;0.383333333;0;0.0;0
DK;I;squares;U;1;1;;20.08.2021;13:40;13:41;20.08.2021 13:40;20.08.2021 13:41;5a;10;28;;10;60;20.08.2021 13:40;15.72117711;3.883890281;1021.294816;28;20.08.2021 13:42;;67.5;20.08.2021 11:00;U_1_I;1.176321002;2.666666667;2.867090448;1.1;1.63
DK;I;squares;U;1;1;;20.08.2021;15:46;15:47;20.08.2021 15:46;20.08.2021 15:47;5a;10;28;;10;60;20.08.2021 15:46;17.31852371;4.822866048;1020.670259;28;20.08.2021 15:45;;67.5;20.08.2021 11:00;U_1_I;1.333715052;4.766666667;5.502628305;2.2;3.13
DK;I;squares;U;1;1;;20.08.2021;18:23;18:24;20.08.2021 18:23;20.08.2021 18:24;5a;10;11;;10;60;20.08.2021 18:23;16.364946;3.247346919;1020.679266;11;20.08.2021 18:26;;67.5;20.08.2021 11:00;U_1_I;0.698533866;7.383333333;8.161487307;3.2;4.64
DK;I;squares;U;1;1;;21.08.2021;07:10;07:12;21.08.2021 07:10;21.08.2021 07:12;2a;20;2;;10;30;21.08.2021 07:10;10.73682162;0.931176375;1020.897297;1;21.08.2021 07:09;;67.5;20.08.2021 11:00;U_1_I;0.158174914;20.16666667;13.63728426;5.4;7.75
DK;I;squares;U;1;1;;21.08.2021;10:11;10:12;21.08.2021 10:11;21.08.2021 10:12;2a;10;7;;10;60;21.08.2021 10:11;15.582375;1.51373097;1024.838542;7;21.08.2021 10:17;;67.5;20.08.2021 11:00;U_1_I;0.364080316;23.18333333;14.42501923;5.7;8.2
DK;I;squares;U;1;1;;21.08.2021;13:08;13:10;21.08.2021 13:08;21.08.2021 13:10;2a;10;2;;10;60;21.08.2021 13:08;15.92415625;1.696334759;1029;2;21.08.2021 13:07;;67.5;20.08.2021 11:00;U_1_I;0.22274325;26.13333333;15.29058399;6.1;8.69
DK;I;squares;U;1;1;;21.08.2021;16:04;16:06;21.08.2021 16:04;21.08.2021 16:06;2a;10;2;;10;60;21.08.2021 16:04;17.27026042;1.13649421;1027.333333;2;21.08.2021 16:01;;67.5;20.08.2021 11:00;U_1_I;0.175628153;29.06666667;15.87486205;6.3;9.03
DK;I;squares;U;1;1;;21.08.2021;18:35;18:36;21.08.2021 18:35;21.08.2021 18:36;2a;5;4;;10;120;21.08.2021 18:35;17.77041667;1.508032337;1026.5;8;21.08.2021 18:30;;67.5;20.08.2021 11:00;U_1_I;0.282197885;31.58333333;16.45095981;6.5;9.35
DK;I;squares;U;1;1;;22.08.2021;07:15;07:16;22.08.2021 07:15;22.08.2021 07:16;0.25a;10;0.3;;10;60;22.08.2021 07:15;9.320801249;1.228760892;1019.353798;0.3;22.08.2021 07:13;;67.5;20.08.2021 11:00;U_1_I;0.080470187;44.25;18.7478576;7.5;10.66
DK;I;squares;U;1;1;;22.08.2021;10:35;10:35;22.08.2021 10:35;22.08.2021 10:35;0.25a;10;0.5;;10;60;22.08.2021 10:35;17.04929271;2.38594945;1024.816104;0.5;22.08.2021 10:25;;67.5;20.08.2021 11:00;U_1_I;0.147209144;47.58333333;19.12732315;7.6;10.87
