Start;End;SolRad
15/05/2001 12:00;15/05/2001 13:00;0.851
15/05/2001 13:00;15/05/2001 14:00;0.836
15/05/2001 14:00;15/05/2001 15:00;0.775
15/05/2001 15:00;15/05/2001 16:00;0.669
15/05/2001 16:00;15/05/2001 17:00;0.534
15/05/2001 17:00;15/05/2001 18:00;0.372
15/05/2001 18:00;15/05/2001 19:00;0.193
15/05/2001 19:00;15/05/2001 20:00;0.045
15/05/2001 20:00;15/05/2001 21:00;0.002
15/05/2001 21:00;15/05/2001 22:00;0
15/05/2001 22:00;15/05/2001 23:00;0
15/05/2001 23:00;16/05/2001 00:00;0
16/05/2001 00:00;16/05/2001 01:00;0
16/05/2001 01:00;16/05/2001 02:00;0
16/05/2001 02:00;16/05/2001 03:00;0
16/05/2001 03:00;16/05/2001 04:00;0
16/05/2001 04:00;16/05/2001 05:00;0
16/05/2001 05:00;16/05/2001 06:00;0.021
16/05/2001 06:00;16/05/2001 07:00;0.098
16/05/2001 07:00;16/05/2001 08:00;0.341
16/05/2001 08:00;16/05/2001 09:00;0.504
16/05/2001 09:00;16/05/2001 10:00;0.659
16/05/2001 10:00;16/05/2001 11:00;0.696
16/05/2001 11:00;16/05/2001 12:00;0.643
16/05/2001 12:00;16/05/2001 13:00;0.848
16/05/2001 13:00;16/05/2001 14:00;0.836
16/05/2001 14:00;16/05/2001 15:00;0.777
16/05/2001 15:00;16/05/2001 16:00;0.672
16/05/2001 16:00;16/05/2001 17:00;0.53
16/05/2001 17:00;16/05/2001 18:00;0.363
16/05/2001 18:00;16/05/2001 19:00;0.204
16/05/2001 19:00;16/05/2001 20:00;0.064
16/05/2001 20:00;16/05/2001 21:00;0.002
16/05/2001 21:00;16/05/2001 22:00;0
16/05/2001 22:00;16/05/2001 23:00;0
16/05/2001 23:00;17/05/2001 00:00;0
17/05/2001 00:00;17/05/2001 01:00;0
17/05/2001 01:00;17/05/2001 02:00;0
17/05/2001 02:00;17/05/2001 03:00;0
17/05/2001 03:00;17/05/2001 04:00;0
17/05/2001 04:00;17/05/2001 05:00;0
17/05/2001 05:00;17/05/2001 06:00;0.021
17/05/2001 06:00;17/05/2001 07:00;0.101
17/05/2001 07:00;17/05/2001 08:00;0.314
17/05/2001 08:00;17/05/2001 09:00;0.482
17/05/2001 09:00;17/05/2001 10:00;0.636
17/05/2001 10:00;17/05/2001 11:00;0.75
17/05/2001 11:00;17/05/2001 12:00;0.82
17/05/2001 12:00;17/05/2001 13:00;0.838
17/05/2001 13:00;17/05/2001 14:00;0.817
17/05/2001 14:00;17/05/2001 15:00;0.731
17/05/2001 15:00;17/05/2001 16:00;0.66
17/05/2001 16:00;17/05/2001 17:00;0.518
17/05/2001 17:00;17/05/2001 18:00;0.368
17/05/2001 18:00;17/05/2001 19:00;0.191
17/05/2001 19:00;17/05/2001 20:00;0.062
17/05/2001 20:00;17/05/2001 21:00;0.003
17/05/2001 21:00;17/05/2001 22:00;0
17/05/2001 22:00;17/05/2001 23:00;0
17/05/2001 23:00;18/05/2001 00:00;0
18/05/2001 00:00;18/05/2001 01:00;0
18/05/2001 01:00;18/05/2001 02:00;0
