Start Shift;End Shift;mm
26/08/2005 09:30;26/08/2005 10:00;0
26/08/2005 10:00;26/08/2005 10:30;0
26/08/2005 10:30;26/08/2005 11:00;0
26/08/2005 11:00;26/08/2005 11:30;0
26/08/2005 11:30;26/08/2005 12:00;0
26/08/2005 12:00;26/08/2005 12:30;0
26/08/2005 12:30;26/08/2005 13:00;0
26/08/2005 13:00;26/08/2005 13:30;0
26/08/2005 13:30;26/08/2005 14:00;0
26/08/2005 14:00;26/08/2005 14:30;0
26/08/2005 14:30;26/08/2005 15:00;0
26/08/2005 15:00;26/08/2005 15:30;0
26/08/2005 15:30;26/08/2005 16:00;0
26/08/2005 16:00;26/08/2005 16:30;0
26/08/2005 16:30;26/08/2005 17:00;0
26/08/2005 17:00;26/08/2005 17:30;0
26/08/2005 17:30;26/08/2005 18:00;0
26/08/2005 18:00;26/08/2005 18:30;0
26/08/2005 18:30;26/08/2005 19:00;0
26/08/2005 19:00;26/08/2005 19:30;0
26/08/2005 19:30;26/08/2005 20:00;0
26/08/2005 20:00;26/08/2005 20:30;0
26/08/2005 20:30;26/08/2005 21:00;0
26/08/2005 21:00;26/08/2005 21:30;0
26/08/2005 21:30;26/08/2005 22:00;0
26/08/2005 22:00;26/08/2005 22:30;0
26/08/2005 22:30;26/08/2005 23:00;0
26/08/2005 23:00;26/08/2005 23:30;0
26/08/2005 23:30;27/08/2005 00:00;0
27/08/2005 00:00;27/08/2005 00:30;0
27/08/2005 00:30;27/08/2005 01:00;0
27/08/2005 01:00;27/08/2005 01:30;0
27/08/2005 01:30;27/08/2005 02:00;0
27/08/2005 02:00;27/08/2005 02:30;0
27/08/2005 02:30;27/08/2005 03:00;0
27/08/2005 03:00;27/08/2005 03:30;0
27/08/2005 03:30;27/08/2005 04:00;0
27/08/2005 04:00;27/08/2005 04:30;0
27/08/2005 04:30;27/08/2005 05:00;0
27/08/2005 05:00;27/08/2005 05:30;0
27/08/2005 05:30;27/08/2005 06:00;0
27/08/2005 06:00;27/08/2005 06:30;0
27/08/2005 06:30;27/08/2005 07:00;0
27/08/2005 07:00;27/08/2005 07:30;0
27/08/2005 07:30;27/08/2005 08:00;0
27/08/2005 08:00;27/08/2005 08:30;0
27/08/2005 08:30;27/08/2005 09:00;0
27/08/2005 09:00;27/08/2005 09:30;0
27/08/2005 09:30;27/08/2005 10:00;0
27/08/2005 10:00;27/08/2005 10:30;0
27/08/2005 10:30;27/08/2005 11:00;0
27/08/2005 11:00;27/08/2005 11:30;0
27/08/2005 11:30;27/08/2005 12:00;0
27/08/2005 12:00;27/08/2005 12:30;0
27/08/2005 12:30;27/08/2005 13:00;0
27/08/2005 13:00;27/08/2005 13:30;0
27/08/2005 13:30;27/08/2005 14:00;0
27/08/2005 14:00;27/08/2005 14:30;0
27/08/2005 14:30;27/08/2005 15:00;0
27/08/2005 15:00;27/08/2005 15:30;0
27/08/2005 15:30;27/08/2005 16:00;0
27/08/2005 16:00;27/08/2005 16:30;0
27/08/2005 16:30;27/08/2005 17:00;0
27/08/2005 17:00;27/08/2005 17:30;0
27/08/2005 17:30;27/08/2005 18:00;0
27/08/2005 18:00;27/08/2005 18:30;0
27/08/2005 18:30;27/08/2005 19:00;0
27/08/2005 19:00;27/08/2005 19:30;0
27/08/2005 19:30;27/08/2005 20:00;0
27/08/2005 20:00;27/08/2005 20:30;0
27/08/2005 20:30;27/08/2005 21:00;0
27/08/2005 21:00;27/08/2005 21:30;0
