Start Shift;End Shift;AirTemp
26/08/2005 09:30;26/08/2005 10:00;19.67
26/08/2005 10:00;26/08/2005 10:30;21.12
26/08/2005 10:30;26/08/2005 11:00;22.32
26/08/2005 11:00;26/08/2005 11:30;23.32
26/08/2005 11:30;26/08/2005 12:00;24.52
26/08/2005 12:00;26/08/2005 12:30;25.38
26/08/2005 12:30;26/08/2005 13:00;26.27
26/08/2005 13:00;26/08/2005 13:30;26.91
26/08/2005 13:30;26/08/2005 14:00;27.5
26/08/2005 14:00;26/08/2005 14:30;27.96
26/08/2005 14:30;26/08/2005 15:00;28.06
26/08/2005 15:00;26/08/2005 15:30;28.1
26/08/2005 15:30;26/08/2005 16:00;27.99
26/08/2005 16:00;26/08/2005 16:30;27.8
26/08/2005 16:30;26/08/2005 17:00;27.51
26/08/2005 17:00;26/08/2005 17:30;27.41
26/08/2005 17:30;26/08/2005 18:00;27.11
26/08/2005 18:00;26/08/2005 18:30;26.35
26/08/2005 18:30;26/08/2005 19:00;25.27
26/08/2005 19:00;26/08/2005 19:30;23.45
26/08/2005 19:30;26/08/2005 20:00;20.71
26/08/2005 20:00;26/08/2005 20:30;18.64
26/08/2005 20:30;26/08/2005 21:00;16.29
26/08/2005 21:00;26/08/2005 21:30;15.41
26/08/2005 21:30;26/08/2005 22:00;14.41
26/08/2005 22:00;26/08/2005 22:30;14.23
26/08/2005 22:30;26/08/2005 23:00;15.04
26/08/2005 23:00;26/08/2005 23:30;15.34
26/08/2005 23:30;27/08/2005 00:00;14.34
27/08/2005 00:00;27/08/2005 00:30;14.25
27/08/2005 00:30;27/08/2005 01:00;13.65
27/08/2005 01:00;27/08/2005 01:30;12.92
27/08/2005 01:30;27/08/2005 02:00;11.86
27/08/2005 02:00;27/08/2005 02:30;11.79
27/08/2005 02:30;27/08/2005 03:00;11.76
27/08/2005 03:00;27/08/2005 03:30;11.76
27/08/2005 03:30;27/08/2005 04:00;11.42
27/08/2005 04:00;27/08/2005 04:30;10.94
27/08/2005 04:30;27/08/2005 05:00;11.05
27/08/2005 05:00;27/08/2005 05:30;11.56
27/08/2005 05:30;27/08/2005 06:00;12.21
27/08/2005 06:00;27/08/2005 06:30;12.42
27/08/2005 06:30;27/08/2005 07:00;12.99
27/08/2005 07:00;27/08/2005 07:30;13.96
27/08/2005 07:30;27/08/2005 08:00;16.03
27/08/2005 08:00;27/08/2005 08:30;17.47
27/08/2005 08:30;27/08/2005 09:00;18.8
27/08/2005 09:00;27/08/2005 09:30;20.81
27/08/2005 09:30;27/08/2005 10:00;22.99
27/08/2005 10:00;27/08/2005 10:30;24.4
27/08/2005 10:30;27/08/2005 11:00;25.21
27/08/2005 11:00;27/08/2005 11:30;26.63
27/08/2005 11:30;27/08/2005 12:00;27.71
27/08/2005 12:00;27/08/2005 12:30;27.96
27/08/2005 12:30;27/08/2005 13:00;28.68
27/08/2005 13:00;27/08/2005 13:30;28.59
27/08/2005 13:30;27/08/2005 14:00;28.25
27/08/2005 14:00;27/08/2005 14:30;29.02
27/08/2005 14:30;27/08/2005 15:00;29.44
27/08/2005 15:00;27/08/2005 15:30;29.43
27/08/2005 15:30;27/08/2005 16:00;29.29
27/08/2005 16:00;27/08/2005 16:30;29.58
27/08/2005 16:30;27/08/2005 17:00;29.53
27/08/2005 17:00;27/08/2005 17:30;29.5
27/08/2005 17:30;27/08/2005 18:00;28.65
27/08/2005 18:00;27/08/2005 18:30;27.64
27/08/2005 18:30;27/08/2005 19:00;27.37
27/08/2005 19:00;27/08/2005 19:30;25.03
27/08/2005 19:30;27/08/2005 20:00;20.95
27/08/2005 20:00;27/08/2005 20:30;19.04
27/08/2005 20:30;27/08/2005 21:00;18.1
27/08/2005 21:00;27/08/2005 21:30;18.03
27/08/2005 21:30;27/08/2005 22:00;17.3
27/08/2005 22:00;27/08/2005 22:30;17.53
27/08/2005 22:30;27/08/2005 23:00;17.77
27/08/2005 23:00;27/08/2005 23:30;18.06
27/08/2005 23:30;28/08/2005 00:00;17.79
28/08/2005 00:00;28/08/2005 00:30;17.74
28/08/2005 00:30;28/08/2005 01:00;18.37
28/08/2005 01:00;28/08/2005 01:30;18.27
28/08/2005 01:30;28/08/2005 02:00;17.86
28/08/2005 02:00;28/08/2005 02:30;17.74
28/08/2005 02:30;28/08/2005 03:00;17.52
28/08/2005 03:00;28/08/2005 03:30;17.25
28/08/2005 03:30;28/08/2005 04:00;17.12
28/08/2005 04:00;28/08/2005 04:30;16.92
28/08/2005 04:30;28/08/2005 05:00;17.24
28/08/2005 05:00;28/08/2005 05:30;17.34
28/08/2005 05:30;28/08/2005 06:00;17.25
28/08/2005 06:00;28/08/2005 06:30;17.67
28/08/2005 06:30;28/08/2005 07:00;18.08
28/08/2005 07:00;28/08/2005 07:30;18.05
28/08/2005 07:30;28/08/2005 08:00;19.02
28/08/2005 08:00;28/08/2005 08:30;20.34
28/08/2005 08:30;28/08/2005 09:00;20.16
28/08/2005 09:00;28/08/2005 09:30;19.85
28/08/2005 09:30;28/08/2005 10:00;19.34
28/08/2005 10:00;28/08/2005 10:30;19.06
28/08/2005 10:30;28/08/2005 11:00;18.64
28/08/2005 11:00;28/08/2005 11:30;19.08
28/08/2005 11:30;28/08/2005 12:00;19.52
28/08/2005 12:00;28/08/2005 12:30;20.3
28/08/2005 12:30;28/08/2005 13:00;20.64
