experiment,shift,t.start,t.end
may 2004,1,11-05-2004 10:30,11-05-2004 11:00
may 2004,2,11-05-2004 11:00,11-05-2004 11:30
may 2004,3,11-05-2004 11:30,11-05-2004 12:30
may 2004,4,11-05-2004 12:30,11-05-2004 13:30
may 2004,5,11-05-2004 13:30,11-05-2004 14:30
may 2004,6,11-05-2004 14:30,11-05-2004 16:30
may 2004,7,11-05-2004 16:30,11-05-2004 21:00
may 2004,8,11-05-2004 21:00,12-05-2004 06:06
may 2004,9,12-05-2004 06:06,12-05-2004 11:57
may 2004,10,12-05-2004 11:57,12-05-2004 18:03
may 2004,11,12-05-2004 18:03,13-05-2004 06:03
may 2004,12,13-05-2004 06:03,13-05-2004 11:57
may 2004,13,13-05-2004 11:57,13-05-2004 17:57
may 2004,14,13-05-2004 17:57,14-05-2004 06:09
may 2004,15,14-05-2004 06:09,14-05-2004 12:09
may 2004,16,14-05-2004 12:09,14-05-2004 17:57
may 2004,17,14-05-2004 17:57,15-05-2004 12:54
may 2004,18,15-05-2004 12:54,16-05-2004 17:40
may 2004,19,16-05-2004 17:40,17-05-2004 16:28
may 2004,20,17-05-2004 16:28,18-05-2004 14:10
may 2004,21,18-05-2004 14:10,18-05-2004 19:16
may 2004,22,18-05-2004 19:16,20-05-2004 07:38
may 2005,1,09-05-2005 10:00,09-05-2005 10:30
may 2005,2,09-05-2005 10:30,09-05-2005 11:00
may 2005,3,09-05-2005 11:00,09-05-2005 12:00
may 2005,4,09-05-2005 12:00,09-05-2005 13:00
may 2005,5,09-05-2005 13:00,09-05-2005 14:00
may 2005,6,09-05-2005 14:00,09-05-2005 16:00
may 2005,7,09-05-2005 16:00,09-05-2005 18:00
may 2005,8,09-05-2005 18:00,09-05-2005 21:13
may 2005,9,09-05-2005 21:13,10-05-2005 06:13
may 2005,10,10-05-2005 06:13,10-05-2005 12:13
may 2005,11,10-05-2005 12:13,10-05-2005 18:13
may 2005,12,10-05-2005 18:13,11-05-2005 06:13
may 2005,13,11-05-2005 06:13,11-05-2005 12:13
may 2005,14,11-05-2005 12:13,11-05-2005 18:13
may 2005,15,11-05-2005 18:13,12-05-2005 06:13
may 2005,16,12-05-2005 06:13,12-05-2005 12:13
may 2005,17,12-05-2005 12:13,12-05-2005 18:13
may 2005,18,12-05-2005 18:13,13-05-2005 07:13
may 2005,19,13-05-2005 07:13,13-05-2005 16:16
may 2005,20,13-05-2005 16:16,14-05-2005 06:13
may 2005,21,14-05-2005 06:13,15-05-2005 10:13
may 2005,22,15-05-2005 10:13,16-05-2005 07:00
may 2005,23,16-05-2005 07:00,17-05-2005 06:13
may 2005,24,17-05-2005 06:13,18-05-2005 06:13
may 2005,25,18-05-2005 06:13,19-05-2005 06:13
may 2005,26,19-05-2005 06:13,20-05-2005 06:13
sept 2005,1,06-09-2005 11:00,06-09-2005 11:30
sept 2005,2,06-09-2005 11:30,06-09-2005 12:00
sept 2005,3,06-09-2005 12:00,06-09-2005 13:00
sept 2005,4,06-09-2005 13:00,06-09-2005 14:00
sept 2005,5,06-09-2005 14:00,06-09-2005 15:00
sept 2005,6,06-09-2005 15:00,06-09-2005 16:53
sept 2005,7,06-09-2005 16:53,06-09-2005 18:53
sept 2005,8,06-09-2005 18:53,06-09-2005 21:43
sept 2005,9,06-09-2005 21:43,07-09-2005 06:44
sept 2005,10,07-09-2005 06:44,07-09-2005 12:42
sept 2005,11,07-09-2005 12:42,07-09-2005 18:45
sept 2005,12,07-09-2005 18:45,08-09-2005 06:46
sept 2005,13,08-09-2005 06:46,08-09-2005 12:45
sept 2005,14,08-09-2005 12:45,08-09-2005 16:10
sept 2005,15,08-09-2005 16:10,09-09-2005 07:12
sept 2005,16,09-09-2005 07:12,09-09-2005 12:44
sept 2005,17,09-09-2005 12:44,09-09-2005 18:44
sept 2005,18,09-09-2005 18:44,10-09-2005 07:33
sept 2005,19,10-09-2005 07:33,10-09-2005 18:14
sept 2005,20,10-09-2005 18:14,11-09-2005 11:17
sept 2005,21,11-09-2005 11:17,12-09-2005 11:00
sept 2005,22,12-09-2005 11:00,13-09-2005 11:23
sept 2005,23,13-09-2005 11:23,14-09-2005 11:53
sept 2005,24,14-09-2005 11:53,15-09-2005 11:35
sept 2005,25,15-09-2005 11:35,16-09-2005 09:13

