Start Shift;End Shift;SoilTemp
26/08/2005 09:30;26/08/2005 10:00;23.23
26/08/2005 10:00;26/08/2005 10:30;24.21
26/08/2005 10:30;26/08/2005 11:00;25.76
26/08/2005 11:00;26/08/2005 11:30;27.17
26/08/2005 11:30;26/08/2005 12:00;28.65
26/08/2005 12:00;26/08/2005 12:30;29.56
26/08/2005 12:30;26/08/2005 13:00;30.78
26/08/2005 13:00;26/08/2005 13:30;31.09
26/08/2005 13:30;26/08/2005 14:00;31.37
26/08/2005 14:00;26/08/2005 14:30;31.24
26/08/2005 14:30;26/08/2005 15:00;30.64
26/08/2005 15:00;26/08/2005 15:30;30.49
26/08/2005 15:30;26/08/2005 16:00;29.44
26/08/2005 16:00;26/08/2005 16:30;28.58
26/08/2005 16:30;26/08/2005 17:00;27.94
26/08/2005 17:00;26/08/2005 17:30;27.51
26/08/2005 17:30;26/08/2005 18:00;26.75
26/08/2005 18:00;26/08/2005 18:30;25.31
26/08/2005 18:30;26/08/2005 19:00;23.41
26/08/2005 19:00;26/08/2005 19:30;20.96
26/08/2005 19:30;26/08/2005 20:00;18.07
26/08/2005 20:00;26/08/2005 20:30;16.66
26/08/2005 20:30;26/08/2005 21:00;15.29
26/08/2005 21:00;26/08/2005 21:30;14.94
26/08/2005 21:30;26/08/2005 22:00;14.22
26/08/2005 22:00;26/08/2005 22:30;13.99
26/08/2005 22:30;26/08/2005 23:00;14.25
26/08/2005 23:00;26/08/2005 23:30;14.37
26/08/2005 23:30;27/08/2005 00:00;13.56
27/08/2005 00:00;27/08/2005 00:30;13.46
27/08/2005 00:30;27/08/2005 01:00;13.29
27/08/2005 01:00;27/08/2005 01:30;12.68
27/08/2005 01:30;27/08/2005 02:00;12.19
27/08/2005 02:00;27/08/2005 02:30;11.96
27/08/2005 02:30;27/08/2005 03:00;11.89
27/08/2005 03:00;27/08/2005 03:30;11.75
27/08/2005 03:30;27/08/2005 04:00;11.36
27/08/2005 04:00;27/08/2005 04:30;11.10
27/08/2005 04:30;27/08/2005 05:00;11.11
27/08/2005 05:00;27/08/2005 05:30;11.41
27/08/2005 05:30;27/08/2005 06:00;11.60
27/08/2005 06:00;27/08/2005 06:30;11.80
27/08/2005 06:30;27/08/2005 07:00;12.35
27/08/2005 07:00;27/08/2005 07:30;13.27
27/08/2005 07:30;27/08/2005 08:00;15.51
27/08/2005 08:00;27/08/2005 08:30;17.26
27/08/2005 08:30;27/08/2005 09:00;17.36
27/08/2005 09:00;27/08/2005 09:30;21.83
27/08/2005 09:30;27/08/2005 10:00;25.29
27/08/2005 10:00;27/08/2005 10:30;26.25
27/08/2005 10:30;27/08/2005 11:00;27.03
27/08/2005 11:00;27/08/2005 11:30;30.07
27/08/2005 11:30;27/08/2005 12:00;31.15
27/08/2005 12:00;27/08/2005 12:30;31.72
27/08/2005 12:30;27/08/2005 13:00;32.96
27/08/2005 13:00;27/08/2005 13:30;31.57
27/08/2005 13:30;27/08/2005 14:00;30.42
27/08/2005 14:00;27/08/2005 14:30;32.07
27/08/2005 14:30;27/08/2005 15:00;31.90
27/08/2005 15:00;27/08/2005 15:30;31.64
27/08/2005 15:30;27/08/2005 16:00;30.87
27/08/2005 16:00;27/08/2005 16:30;30.57
27/08/2005 16:30;27/08/2005 17:00;30.41
27/08/2005 17:00;27/08/2005 17:30;29.92
27/08/2005 17:30;27/08/2005 18:00;28.86
27/08/2005 18:00;27/08/2005 18:30;27.49
27/08/2005 18:30;27/08/2005 19:00;25.39
27/08/2005 19:00;27/08/2005 19:30;21.71
27/08/2005 19:30;27/08/2005 20:00;19.30
27/08/2005 20:00;27/08/2005 20:30;18.12
27/08/2005 20:30;27/08/2005 21:00;17.56
27/08/2005 21:00;27/08/2005 21:30;17.03
27/08/2005 21:30;27/08/2005 22:00;16.46
27/08/2005 22:00;27/08/2005 22:30;16.52
27/08/2005 22:30;27/08/2005 23:00;16.76
27/08/2005 23:00;27/08/2005 23:30;16.86
27/08/2005 23:30;28/08/2005 00:00;16.64
28/08/2005 00:00;28/08/2005 00:30;16.60
28/08/2005 00:30;28/08/2005 01:00;17.08
28/08/2005 01:00;28/08/2005 01:30;16.94
28/08/2005 01:30;28/08/2005 02:00;16.66
28/08/2005 02:00;28/08/2005 02:30;16.54
28/08/2005 02:30;28/08/2005 03:00;16.39
28/08/2005 03:00;28/08/2005 03:30;16.14
28/08/2005 03:30;28/08/2005 04:00;16.11
28/08/2005 04:00;28/08/2005 04:30;15.89
28/08/2005 04:30;28/08/2005 05:00;16.41
28/08/2005 05:00;28/08/2005 05:30;16.51
28/08/2005 05:30;28/08/2005 06:00;16.43
28/08/2005 06:00;28/08/2005 06:30;16.85
28/08/2005 06:30;28/08/2005 07:00;17.28
28/08/2005 07:00;28/08/2005 07:30;17.50
28/08/2005 07:30;28/08/2005 08:00;18.80
28/08/2005 08:00;28/08/2005 08:30;20.40
28/08/2005 08:30;28/08/2005 09:00;19.71
28/08/2005 09:00;28/08/2005 09:30;19.26
28/08/2005 09:30;28/08/2005 10:00;18.94
28/08/2005 10:00;28/08/2005 10:30;18.49
28/08/2005 10:30;28/08/2005 11:00;18.19
28/08/2005 11:00;28/08/2005 11:30;18.96
28/08/2005 11:30;28/08/2005 12:00;19.31
28/08/2005 12:00;28/08/2005 12:30;20.29
28/08/2005 12:30;28/08/2005 13:00;20.33
28/08/2005 13:00;28/08/2005 13:30;20.25
28/08/2005 13:30;28/08/2005 14:00;20.90
28/08/2005 14:00;28/08/2005 14:30;22.98
28/08/2005 14:30;28/08/2005 15:00;22.91
28/08/2005 15:00;28/08/2005 15:30;24.17
28/08/2005 15:30;28/08/2005 16:00;24.11
28/08/2005 16:00;28/08/2005 16:30;23.44
28/08/2005 16:30;28/08/2005 17:00;23.96
28/08/2005 17:00;28/08/2005 17:30;23.52
28/08/2005 17:30;28/08/2005 18:00;23.82
28/08/2005 18:00;28/08/2005 18:30;23.05
28/08/2005 18:30;28/08/2005 19:00;21.84
28/08/2005 19:00;28/08/2005 19:30;20.74
28/08/2005 19:30;28/08/2005 20:00;19.58
28/08/2005 20:00;28/08/2005 20:30;19.06
28/08/2005 20:30;28/08/2005 21:00;18.92
28/08/2005 21:00;28/08/2005 21:30;18.67
28/08/2005 21:30;28/08/2005 22:00;18.42
28/08/2005 22:00;28/08/2005 22:30;18.12
28/08/2005 22:30;28/08/2005 23:00;17.77
28/08/2005 23:00;28/08/2005 23:30;18.24
28/08/2005 23:30;29/08/2005 00:00;18.35
29/08/2005 00:00;29/08/2005 00:30;17.39
29/08/2005 00:30;29/08/2005 01:00;16.95
29/08/2005 01:00;29/08/2005 01:30;16.88
29/08/2005 01:30;29/08/2005 02:00;17.04
29/08/2005 02:00;29/08/2005 02:30;16.08
29/08/2005 02:30;29/08/2005 03:00;15.53
29/08/2005 03:00;29/08/2005 03:30;15.35
29/08/2005 03:30;29/08/2005 04:00;14.95
29/08/2005 04:00;29/08/2005 04:30;14.62
29/08/2005 04:30;29/08/2005 05:00;14.62
29/08/2005 05:00;29/08/2005 05:30;15.22
29/08/2005 05:30;29/08/2005 06:00;16.01
29/08/2005 06:00;29/08/2005 06:30;16.55
29/08/2005 06:30;29/08/2005 07:00;16.99
29/08/2005 07:00;29/08/2005 07:30;17.46
29/08/2005 07:30;29/08/2005 08:00;18.52
29/08/2005 08:00;29/08/2005 08:30;19.70
29/08/2005 08:30;29/08/2005 09:00;21.20
29/08/2005 09:00;29/08/2005 09:30;23.43
29/08/2005 09:30;29/08/2005 10:00;25.68
29/08/2005 10:00;29/08/2005 10:30;27.52
29/08/2005 10:30;29/08/2005 11:00;22.94
29/08/2005 11:00;29/08/2005 11:30;23.76
29/08/2005 11:30;29/08/2005 12:00;24.85
29/08/2005 12:00;29/08/2005 12:30;25.73
29/08/2005 12:30;29/08/2005 13:00;26.22
29/08/2005 13:00;29/08/2005 13:30;26.72
29/08/2005 13:30;29/08/2005 14:00;26.39
29/08/2005 14:00;29/08/2005 14:30;25.72
29/08/2005 14:30;29/08/2005 15:00;24.48
29/08/2005 15:00;29/08/2005 15:30;23.36
29/08/2005 15:30;29/08/2005 16:00;21.93
