Start;End;AirTemp
13/05/2002 08:00;13/05/2002 09:00;8
13/05/2002 09:00;13/05/2002 10:00;18.55
13/05/2002 10:00;13/05/2002 11:00;16.19
13/05/2002 11:00;13/05/2002 12:00;14.68
13/05/2002 12:00;13/05/2002 13:00;15.57
13/05/2002 13:00;13/05/2002 14:00;15.68
13/05/2002 14:00;13/05/2002 15:00;15.71
13/05/2002 15:00;13/05/2002 16:00;14.88
13/05/2002 16:00;13/05/2002 17:00;14.64
13/05/2002 17:00;13/05/2002 18:00;13.78
13/05/2002 18:00;13/05/2002 19:00;12.93
13/05/2002 19:00;13/05/2002 20:00;11.53
13/05/2002 20:00;13/05/2002 21:00;10.35
13/05/2002 21:00;13/05/2002 22:00;10.02
13/05/2002 22:00;13/05/2002 23:00;10.35
13/05/2002 23:00;14/05/2002 00:00;10.09
14/05/2002 00:00;14/05/2002 01:00;9.4
14/05/2002 01:00;14/05/2002 02:00;8.8
14/05/2002 02:00;14/05/2002 03:00;8.47
14/05/2002 03:00;14/05/2002 04:00;8.11
14/05/2002 04:00;14/05/2002 05:00;7.71
14/05/2002 05:00;14/05/2002 06:00;7.42
14/05/2002 06:00;14/05/2002 07:00;7
14/05/2002 07:00;14/05/2002 08:00;6.325
14/05/2002 08:00;14/05/2002 09:00;5.348
14/05/2002 09:00;14/05/2002 10:00;4.843
14/05/2002 10:00;14/05/2002 11:00;4.852
14/05/2002 11:00;14/05/2002 12:00;5.263
14/05/2002 12:00;14/05/2002 13:00;5.388
14/05/2002 13:00;14/05/2002 14:00;5.541
14/05/2002 14:00;14/05/2002 15:00;5.592
14/05/2002 15:00;14/05/2002 16:00;5.621
14/05/2002 16:00;14/05/2002 17:00;5.523
14/05/2002 17:00;14/05/2002 18:00;5.511
14/05/2002 18:00;14/05/2002 19:00;5.411
14/05/2002 19:00;14/05/2002 20:00;5.261
14/05/2002 20:00;14/05/2002 21:00;5.164
14/05/2002 21:00;14/05/2002 22:00;5.161
14/05/2002 22:00;14/05/2002 23:00;5.242
14/05/2002 23:00;15/05/2002 00:00;5.266
15/05/2002 00:00;15/05/2002 01:00;5.224
15/05/2002 01:00;15/05/2002 02:00;5.351
15/05/2002 02:00;15/05/2002 03:00;5.629
15/05/2002 03:00;15/05/2002 04:00;6.006
15/05/2002 04:00;15/05/2002 05:00;6.032
15/05/2002 05:00;15/05/2002 06:00;5.97
15/05/2002 06:00;15/05/2002 07:00;6.112
15/05/2002 07:00;15/05/2002 08:00;7
15/05/2002 08:00;15/05/2002 09:00;9.04
15/05/2002 09:00;15/05/2002 10:00;11.95
15/05/2002 10:00;15/05/2002 11:00;12.74
15/05/2002 11:00;15/05/2002 12:00;13.25
15/05/2002 12:00;15/05/2002 13:00;13.38
15/05/2002 13:00;15/05/2002 14:00;14.04
15/05/2002 14:00;15/05/2002 15:00;14.06
15/05/2002 15:00;15/05/2002 16:00;15.27
15/05/2002 16:00;15/05/2002 17:00;14.34
15/05/2002 17:00;15/05/2002 18:00;13.39
15/05/2002 18:00;15/05/2002 19:00;12.62
15/05/2002 19:00;15/05/2002 20:00;10.92
15/05/2002 20:00;15/05/2002 21:00;9.91
15/05/2002 21:00;15/05/2002 22:00;9.07
15/05/2002 22:00;15/05/2002 23:00;9.15
15/05/2002 23:00;16/05/2002 00:00;9.25
16/05/2002 00:00;16/05/2002 01:00;9.47
16/05/2002 01:00;16/05/2002 02:00;9.4
16/05/2002 02:00;16/05/2002 03:00;9.5
16/05/2002 03:00;16/05/2002 04:00;9.23
16/05/2002 04:00;16/05/2002 05:00;9.42
16/05/2002 05:00;16/05/2002 06:00;9.61
16/05/2002 06:00;16/05/2002 07:00;9.86
16/05/2002 07:00;16/05/2002 08:00;10.8
16/05/2002 08:00;16/05/2002 09:00;11.61
16/05/2002 09:00;16/05/2002 10:00;13.1
16/05/2002 10:00;16/05/2002 11:00;13.81
16/05/2002 11:00;16/05/2002 12:00;12.93
16/05/2002 12:00;16/05/2002 13:00;13.13
16/05/2002 13:00;16/05/2002 14:00;12.76
16/05/2002 14:00;16/05/2002 15:00;12.79
16/05/2002 15:00;16/05/2002 16:00;13.06
16/05/2002 16:00;16/05/2002 17:00;13.34
16/05/2002 17:00;16/05/2002 18:00;13.66
16/05/2002 18:00;16/05/2002 19:00;13.81
16/05/2002 19:00;16/05/2002 20:00;13.9
16/05/2002 20:00;16/05/2002 21:00;13.95
16/05/2002 21:00;16/05/2002 22:00;14.15
16/05/2002 22:00;16/05/2002 23:00;14.61
16/05/2002 23:00;17/05/2002 00:00;15.07
17/05/2002 00:00;17/05/2002 01:00;15.39
17/05/2002 01:00;17/05/2002 02:00;15.39
17/05/2002 02:00;17/05/2002 03:00;14.86
17/05/2002 03:00;17/05/2002 04:00;13.68
17/05/2002 04:00;17/05/2002 05:00;12.09
17/05/2002 05:00;17/05/2002 06:00;10.51
17/05/2002 06:00;17/05/2002 07:00;10.29
17/05/2002 07:00;17/05/2002 08:00;12.19
17/05/2002 08:00;17/05/2002 09:00;13.85
17/05/2002 09:00;17/05/2002 10:00;14.2
17/05/2002 10:00;17/05/2002 11:00;14.42
17/05/2002 11:00;17/05/2002 12:00;14.75
17/05/2002 12:00;17/05/2002 13:00;14.43
17/05/2002 13:00;17/05/2002 14:00;15.08
17/05/2002 14:00;17/05/2002 15:00;15.82
17/05/2002 15:00;17/05/2002 16:00;15.54
17/05/2002 16:00;17/05/2002 17:00;15.32
17/05/2002 17:00;17/05/2002 18:00;14.34
17/05/2002 18:00;17/05/2002 19:00;13.3
17/05/2002 19:00;17/05/2002 20:00;12
17/05/2002 20:00;17/05/2002 21:00;10.22
17/05/2002 21:00;17/05/2002 22:00;8.33
17/05/2002 22:00;17/05/2002 23:00;7.05
17/05/2002 23:00;18/05/2002 00:00;6
18/05/2002 00:00;18/05/2002 01:00;5.141
18/05/2002 01:00;18/05/2002 02:00;4.454
18/05/2002 02:00;18/05/2002 03:00;3.78
18/05/2002 03:00;18/05/2002 04:00;3.226
18/05/2002 04:00;18/05/2002 05:00;2.969
18/05/2002 05:00;18/05/2002 06:00;2.919
18/05/2002 06:00;18/05/2002 07:00;3.74
18/05/2002 07:00;18/05/2002 08:00;5.142
18/05/2002 08:00;18/05/2002 09:00;6.982
18/05/2002 09:00;18/05/2002 10:00;10.67
18/05/2002 10:00;18/05/2002 11:00;13.43
18/05/2002 11:00;18/05/2002 12:00;13.56
18/05/2002 12:00;18/05/2002 13:00;13.56
18/05/2002 13:00;18/05/2002 14:00;14.15
18/05/2002 14:00;18/05/2002 15:00;12.89
18/05/2002 15:00;18/05/2002 16:00;12.25
18/05/2002 16:00;18/05/2002 17:00;12.06
18/05/2002 17:00;18/05/2002 18:00;12.1
18/05/2002 18:00;18/05/2002 19:00;12.04
18/05/2002 19:00;18/05/2002 20:00;11.36
18/05/2002 20:00;18/05/2002 21:00;10.25
18/05/2002 21:00;18/05/2002 22:00;9.06
18/05/2002 22:00;18/05/2002 23:00;8.51
18/05/2002 23:00;19/05/2002 00:00;8.28
19/05/2002 00:00;19/05/2002 01:00;8.11
19/05/2002 01:00;19/05/2002 02:00;7.48
19/05/2002 02:00;19/05/2002 03:00;6.913
19/05/2002 03:00;19/05/2002 04:00;6.445
19/05/2002 04:00;19/05/2002 05:00;6.461
19/05/2002 05:00;19/05/2002 06:00;6.568
19/05/2002 06:00;19/05/2002 07:00;6.877
19/05/2002 07:00;19/05/2002 08:00;7.69
19/05/2002 08:00;19/05/2002 09:00;9.5
19/05/2002 09:00;19/05/2002 10:00;11.51
19/05/2002 10:00;19/05/2002 11:00;13.06
19/05/2002 11:00;19/05/2002 12:00;15.22
19/05/2002 12:00;19/05/2002 13:00;16.8
19/05/2002 13:00;19/05/2002 14:00;16.57
19/05/2002 14:00;19/05/2002 15:00;15.32
19/05/2002 15:00;19/05/2002 16:00;14.94
19/05/2002 16:00;19/05/2002 17:00;14.87
19/05/2002 17:00;19/05/2002 18:00;13.65
19/05/2002 18:00;19/05/2002 19:00;12.42
19/05/2002 19:00;19/05/2002 20:00;11.39
19/05/2002 20:00;19/05/2002 21:00;10.16
19/05/2002 21:00;19/05/2002 22:00;8.98
19/05/2002 22:00;19/05/2002 23:00;8.35
19/05/2002 23:00;20/05/2002 00:00;7.38
20/05/2002 00:00;20/05/2002 01:00;6.32
20/05/2002 01:00;20/05/2002 02:00;5.407
20/05/2002 02:00;20/05/2002 03:00;4.667
20/05/2002 03:00;20/05/2002 04:00;4.007
20/05/2002 04:00;20/05/2002 05:00;3.441
20/05/2002 05:00;20/05/2002 06:00;3.144
20/05/2002 06:00;20/05/2002 07:00;3.881
20/05/2002 07:00;20/05/2002 08:00;7.62
20/05/2002 08:00;20/05/2002 09:00;11.53
20/05/2002 09:00;20/05/2002 10:00;14.39
20/05/2002 10:00;20/05/2002 11:00;16.25
20/05/2002 11:00;20/05/2002 12:00;18.27
20/05/2002 12:00;20/05/2002 13:00;19.5
