Start Shift;End Shift;Radiation
29/08/2005 03:00;29/08/2005 03:30;0
29/08/2005 03:30;29/08/2005 04:00;0
29/08/2005 04:00;29/08/2005 04:30;0
29/08/2005 04:30;29/08/2005 05:00;0
29/08/2005 05:00;29/08/2005 05:30;0
29/08/2005 05:30;29/08/2005 06:00;0.001
29/08/2005 06:00;29/08/2005 06:30;0.007
29/08/2005 06:30;29/08/2005 07:00;0.03
29/08/2005 07:00;29/08/2005 07:30;0.055
29/08/2005 07:30;29/08/2005 08:00;0.106
29/08/2005 08:00;29/08/2005 08:30;0.145
29/08/2005 08:30;29/08/2005 09:00;0.143
29/08/2005 09:00;29/08/2005 09:30;0.234
29/08/2005 09:30;29/08/2005 10:00;0.344
29/08/2005 10:00;29/08/2005 10:30;0.456
29/08/2005 10:30;29/08/2005 11:00;0.513
29/08/2005 11:00;29/08/2005 11:30;0.625
29/08/2005 11:30;29/08/2005 12:00;0.754
29/08/2005 12:00;29/08/2005 12:30;0.724
29/08/2005 12:30;29/08/2005 13:00;0.637
29/08/2005 13:00;29/08/2005 13:30;0.709
29/08/2005 13:30;29/08/2005 14:00;0.559
29/08/2005 14:00;29/08/2005 14:30;0.299
29/08/2005 14:30;29/08/2005 15:00;0.127
29/08/2005 15:00;29/08/2005 15:30;0.048
29/08/2005 15:30;29/08/2005 16:00;0.103
29/08/2005 16:00;29/08/2005 16:30;0.313
29/08/2005 16:30;29/08/2005 17:00;0.308
29/08/2005 17:00;29/08/2005 17:30;0.186
29/08/2005 17:30;29/08/2005 18:00;0.112
29/08/2005 18:00;29/08/2005 18:30;0.057
29/08/2005 18:30;29/08/2005 19:00;0.024
29/08/2005 19:00;29/08/2005 19:30;0.005
29/08/2005 19:30;29/08/2005 20:00;0
29/08/2005 20:00;29/08/2005 20:30;0
29/08/2005 20:30;29/08/2005 21:00;0
29/08/2005 21:00;29/08/2005 21:30;0
29/08/2005 21:30;29/08/2005 22:00;0
29/08/2005 22:00;29/08/2005 22:30;0
29/08/2005 22:30;29/08/2005 23:00;0
29/08/2005 23:00;29/08/2005 23:30;0
29/08/2005 23:30;30/08/2005 00:00;0
30/08/2005 00:00;30/08/2005 00:30;0
30/08/2005 00:30;30/08/2005 01:00;0
30/08/2005 01:00;30/08/2005 01:30;0
30/08/2005 01:30;30/08/2005 02:00;0
30/08/2005 02:00;30/08/2005 02:30;0
30/08/2005 02:30;30/08/2005 03:00;0
30/08/2005 03:00;30/08/2005 03:30;0
30/08/2005 03:30;30/08/2005 04:00;0
30/08/2005 04:00;30/08/2005 04:30;0
30/08/2005 04:30;30/08/2005 05:00;0
30/08/2005 05:00;30/08/2005 05:30;0
30/08/2005 05:30;30/08/2005 06:00;0
30/08/2005 06:00;30/08/2005 06:30;0.004
30/08/2005 06:30;30/08/2005 07:00;0.015
30/08/2005 07:00;30/08/2005 07:30;0.074
30/08/2005 07:30;30/08/2005 08:00;0.098
30/08/2005 08:00;30/08/2005 08:30;0.181
30/08/2005 08:30;30/08/2005 09:00;0.117
30/08/2005 09:00;30/08/2005 09:30;0.162
30/08/2005 09:30;30/08/2005 10:00;0.16
30/08/2005 10:00;30/08/2005 10:30;0.251
30/08/2005 10:30;30/08/2005 11:00;0.405
30/08/2005 11:00;30/08/2005 11:30;0.427
30/08/2005 11:30;30/08/2005 12:00;0.414
30/08/2005 12:00;30/08/2005 12:30;0.385
30/08/2005 12:30;30/08/2005 13:00;0.397
30/08/2005 13:00;30/08/2005 13:30;0.323
30/08/2005 13:30;30/08/2005 14:00;0.31
30/08/2005 14:00;30/08/2005 14:30;0.59
30/08/2005 14:30;30/08/2005 15:00;0.704
30/08/2005 15:00;30/08/2005 15:30;0.37
30/08/2005 15:30;30/08/2005 16:00;0.248
30/08/2005 16:00;30/08/2005 16:30;0.283
30/08/2005 16:30;30/08/2005 17:00;0.37
30/08/2005 17:00;30/08/2005 17:30;0.267
30/08/2005 17:30;30/08/2005 18:00;0.138
30/08/2005 18:00;30/08/2005 18:30;0.019
30/08/2005 18:30;30/08/2005 19:00;0.013
30/08/2005 19:00;30/08/2005 19:30;0.004
30/08/2005 19:30;30/08/2005 20:00;0
30/08/2005 20:00;30/08/2005 20:30;0
30/08/2005 20:30;30/08/2005 21:00;0
30/08/2005 21:00;30/08/2005 21:30;0
30/08/2005 21:30;30/08/2005 22:00;0
30/08/2005 22:00;30/08/2005 22:30;0
30/08/2005 22:30;30/08/2005 23:00;0
30/08/2005 23:00;30/08/2005 23:30;0
30/08/2005 23:30;31/08/2005 00:00;0
31/08/2005 00:00;31/08/2005 00:30;0
31/08/2005 00:30;31/08/2005 01:00;0
31/08/2005 01:00;31/08/2005 01:30;0
31/08/2005 01:30;31/08/2005 02:00;0
31/08/2005 02:00;31/08/2005 02:30;0
31/08/2005 02:30;31/08/2005 03:00;0
31/08/2005 03:00;31/08/2005 03:30;0
31/08/2005 03:30;31/08/2005 04:00;0
31/08/2005 04:00;31/08/2005 04:30;0
31/08/2005 04:30;31/08/2005 05:00;0
31/08/2005 05:00;31/08/2005 05:30;0
31/08/2005 05:30;31/08/2005 06:00;0
31/08/2005 06:00;31/08/2005 06:30;0.001
31/08/2005 06:30;31/08/2005 07:00;0.009
31/08/2005 07:00;31/08/2005 07:30;0.013
31/08/2005 07:30;31/08/2005 08:00;0.018
31/08/2005 08:00;31/08/2005 08:30;0.034
31/08/2005 08:30;31/08/2005 09:00;0.036
31/08/2005 09:00;31/08/2005 09:30;0.058
