Start;End;AirTemp
15/05/2003 08:00;15/05/2003 09:00;13.93
15/05/2003 09:00;15/05/2003 10:00;13.33
15/05/2003 10:00;15/05/2003 11:00;13.51
15/05/2003 11:00;15/05/2003 12:00;14.65
15/05/2003 12:00;15/05/2003 13:00;15.69
15/05/2003 13:00;15/05/2003 14:00;15.62
15/05/2003 14:00;15/05/2003 15:00;15.55
15/05/2003 15:00;15/05/2003 16:00;14.28
15/05/2003 16:00;15/05/2003 17:00;13.27
15/05/2003 17:00;15/05/2003 18:00;13.17
15/05/2003 18:00;15/05/2003 19:00;11.76
15/05/2003 19:00;15/05/2003 20:00;9.94
15/05/2003 20:00;15/05/2003 21:00;8.3
15/05/2003 21:00;15/05/2003 22:00;7.56
15/05/2003 22:00;15/05/2003 23:00;7.07
15/05/2003 23:00;16/05/2003 00:00;6.304
16/05/2003 00:00;16/05/2003 01:00;5.816
16/05/2003 01:00;16/05/2003 02:00;5.294
16/05/2003 02:00;16/05/2003 03:00;4.275
16/05/2003 03:00;16/05/2003 04:00;3.572
16/05/2003 04:00;16/05/2003 05:00;3.155
16/05/2003 05:00;16/05/2003 06:00;3.056
16/05/2003 06:00;16/05/2003 07:00;6.487
16/05/2003 07:00;16/05/2003 08:00;11.61
16/05/2003 08:00;16/05/2003 09:00;14.26
16/05/2003 09:00;16/05/2003 10:00;15.99
16/05/2003 10:00;16/05/2003 11:00;17.61
16/05/2003 11:00;16/05/2003 12:00;18.75
16/05/2003 12:00;16/05/2003 13:00;19.23
16/05/2003 13:00;16/05/2003 14:00;19.54
16/05/2003 14:00;16/05/2003 15:00;20.06
16/05/2003 15:00;16/05/2003 16:00;20.7
16/05/2003 16:00;16/05/2003 17:00;20.91
16/05/2003 17:00;16/05/2003 18:00;20.51
16/05/2003 18:00;16/05/2003 19:00;18.64
16/05/2003 19:00;16/05/2003 20:00;15.97
16/05/2003 20:00;16/05/2003 21:00;12.81
16/05/2003 21:00;16/05/2003 22:00;9.85
16/05/2003 22:00;16/05/2003 23:00;7.71
16/05/2003 23:00;17/05/2003 00:00;6.488
17/05/2003 00:00;17/05/2003 01:00;6.193
17/05/2003 01:00;17/05/2003 02:00;5.746
17/05/2003 02:00;17/05/2003 03:00;5.012
17/05/2003 03:00;17/05/2003 04:00;3.745
17/05/2003 04:00;17/05/2003 05:00;2.711
17/05/2003 05:00;17/05/2003 06:00;2.563
17/05/2003 06:00;17/05/2003 07:00;5.41
17/05/2003 07:00;17/05/2003 08:00;10.89
17/05/2003 08:00;17/05/2003 09:00;15.01
17/05/2003 09:00;17/05/2003 10:00;17.76
17/05/2003 10:00;17/05/2003 11:00;19.63
17/05/2003 11:00;17/05/2003 12:00;21.07
17/05/2003 12:00;17/05/2003 13:00;21.93
17/05/2003 13:00;17/05/2003 14:00;22.52
17/05/2003 14:00;17/05/2003 15:00;23.25
17/05/2003 15:00;17/05/2003 16:00;24.09
17/05/2003 16:00;17/05/2003 17:00;24.46
17/05/2003 17:00;17/05/2003 18:00;23.68
17/05/2003 18:00;17/05/2003 19:00;21.89
17/05/2003 19:00;17/05/2003 20:00;18.94
17/05/2003 20:00;17/05/2003 21:00;15.06
17/05/2003 21:00;17/05/2003 22:00;11.98
17/05/2003 22:00;17/05/2003 23:00;10.14
17/05/2003 23:00;18/05/2003 00:00;8.48
18/05/2003 00:00;18/05/2003 01:00;7.17
18/05/2003 01:00;18/05/2003 02:00;6.28
18/05/2003 02:00;18/05/2003 03:00;5.62
18/05/2003 03:00;18/05/2003 04:00;5.041
18/05/2003 04:00;18/05/2003 05:00;4.414
18/05/2003 05:00;18/05/2003 06:00;4.446
18/05/2003 06:00;18/05/2003 07:00;7.51
18/05/2003 07:00;18/05/2003 08:00;14.33
18/05/2003 08:00;18/05/2003 09:00;18.4
18/05/2003 09:00;18/05/2003 10:00;20.6
18/05/2003 10:00;18/05/2003 11:00;22.36
18/05/2003 11:00;18/05/2003 12:00;24.01
18/05/2003 12:00;18/05/2003 13:00;25.13
18/05/2003 13:00;18/05/2003 14:00;25.92
18/05/2003 14:00;18/05/2003 15:00;26.91
18/05/2003 15:00;18/05/2003 16:00;27.61
18/05/2003 16:00;18/05/2003 17:00;27.71
18/05/2003 17:00;18/05/2003 18:00;26.61
18/05/2003 18:00;18/05/2003 19:00;24.12
18/05/2003 19:00;18/05/2003 20:00;21.23
18/05/2003 20:00;18/05/2003 21:00;16.99
18/05/2003 21:00;18/05/2003 22:00;13.8
18/05/2003 22:00;18/05/2003 23:00;11.81
18/05/2003 23:00;19/05/2003 00:00;10.19
19/05/2003 00:00;19/05/2003 01:00;9.03
19/05/2003 01:00;19/05/2003 02:00;7.99
19/05/2003 02:00;19/05/2003 03:00;6.949
