Start Shift;End Shift;SolRad
11/05/2004 09:00;11/05/2004 09:30;0.31
11/05/2004 09:30;11/05/2004 10:00;0.455
11/05/2004 10:00;11/05/2004 10:30;0.625
11/05/2004 10:30;11/05/2004 11:00;0.623
11/05/2004 11:00;11/05/2004 11:30;0.768
11/05/2004 11:30;11/05/2004 12:00;0.799
11/05/2004 12:00;11/05/2004 12:30;0.823
11/05/2004 12:30;11/05/2004 13:00;0.834
11/05/2004 13:00;11/05/2004 13:30;0.832
11/05/2004 13:30;11/05/2004 14:00;0.823
11/05/2004 14:00;11/05/2004 14:30;0.807
11/05/2004 14:30;11/05/2004 15:00;0.751
11/05/2004 15:00;11/05/2004 15:30;0.691
11/05/2004 15:30;11/05/2004 16:00;0.631
11/05/2004 16:00;11/05/2004 16:30;0.579
11/05/2004 16:30;11/05/2004 17:00;0.503
11/05/2004 17:00;11/05/2004 17:30;0.413
11/05/2004 17:30;11/05/2004 18:00;0.375
11/05/2004 18:00;11/05/2004 18:30;0.287
11/05/2004 18:30;11/05/2004 19:00;0.189
11/05/2004 19:00;11/05/2004 19:30;0.115
11/05/2004 19:30;11/05/2004 20:00;0.033
11/05/2004 20:00;11/05/2004 20:30;0
11/05/2004 20:30;11/05/2004 21:00;0
11/05/2004 21:00;11/05/2004 21:30;0
11/05/2004 21:30;11/05/2004 22:00;0
11/05/2004 22:00;11/05/2004 22:30;0
11/05/2004 22:30;11/05/2004 23:00;0
11/05/2004 23:00;11/05/2004 23:30;0
11/05/2004 23:30;12/05/2004 00:00;0
12/05/2004 00:00;12/05/2004 00:30;0
12/05/2004 00:30;12/05/2004 01:00;0
12/05/2004 01:00;12/05/2004 01:30;0
12/05/2004 01:30;12/05/2004 02:00;0
12/05/2004 02:00;12/05/2004 02:30;0
12/05/2004 02:30;12/05/2004 03:00;0
12/05/2004 03:00;12/05/2004 03:30;0
12/05/2004 03:30;12/05/2004 04:00;0
12/05/2004 04:00;12/05/2004 04:30;0
12/05/2004 04:30;12/05/2004 05:00;0
12/05/2004 05:00;12/05/2004 05:30;0
12/05/2004 05:30;12/05/2004 06:00;0.025
12/05/2004 06:00;12/05/2004 06:30;0.075
12/05/2004 06:30;12/05/2004 07:00;0.147
12/05/2004 07:00;12/05/2004 07:30;0.212
12/05/2004 07:30;12/05/2004 08:00;0.297
12/05/2004 08:00;12/05/2004 08:30;0.366
12/05/2004 08:30;12/05/2004 09:00;0.38
12/05/2004 09:00;12/05/2004 09:30;0.435
12/05/2004 09:30;12/05/2004 10:00;0.602
12/05/2004 10:00;12/05/2004 10:30;0.641
12/05/2004 10:30;12/05/2004 11:00;0.68
12/05/2004 11:00;12/05/2004 11:30;0.717
12/05/2004 11:30;12/05/2004 12:00;0.758
12/05/2004 12:00;12/05/2004 12:30;0.73
12/05/2004 12:30;12/05/2004 13:00;0.671
12/05/2004 13:00;12/05/2004 13:30;0.91
12/05/2004 13:30;12/05/2004 14:00;0.797
12/05/2004 14:00;12/05/2004 14:30;0.487
12/05/2004 14:30;12/05/2004 15:00;0.362
12/05/2004 15:00;12/05/2004 15:30;0.208
12/05/2004 15:30;12/05/2004 16:00;0.256
12/05/2004 16:00;12/05/2004 16:30;0.203
12/05/2004 16:30;12/05/2004 17:00;0.205
12/05/2004 17:00;12/05/2004 17:30;0.214
12/05/2004 17:30;12/05/2004 18:00;0.089
12/05/2004 18:00;12/05/2004 18:30;0.02
12/05/2004 18:30;12/05/2004 19:00;0
12/05/2004 19:00;12/05/2004 19:30;0
12/05/2004 19:30;12/05/2004 20:00;0
12/05/2004 20:00;12/05/2004 20:30;0
12/05/2004 20:30;12/05/2004 21:00;0
12/05/2004 21:00;12/05/2004 21:30;0
12/05/2004 21:30;12/05/2004 22:00;0
12/05/2004 22:00;12/05/2004 22:30;0
12/05/2004 22:30;12/05/2004 23:00;0
12/05/2004 23:00;12/05/2004 23:30;0
12/05/2004 23:30;13/05/2004 00:00;0
13/05/2004 00:00;13/05/2004 00:30;0
13/05/2004 00:30;13/05/2004 01:00;0
13/05/2004 01:00;13/05/2004 01:30;0
13/05/2004 01:30;13/05/2004 02:00;0
13/05/2004 02:00;13/05/2004 02:30;0
13/05/2004 02:30;13/05/2004 03:00;0
13/05/2004 03:00;13/05/2004 03:30;0
13/05/2004 03:30;13/05/2004 04:00;0
13/05/2004 04:00;13/05/2004 04:30;0
13/05/2004 04:30;13/05/2004 05:00;0
13/05/2004 05:00;13/05/2004 05:30;0
13/05/2004 05:30;13/05/2004 06:00;0.002
13/05/2004 06:00;13/05/2004 06:30;0
13/05/2004 06:30;13/05/2004 07:00;0.004
13/05/2004 07:00;13/05/2004 07:30;0.056
13/05/2004 07:30;13/05/2004 08:00;0.069
13/05/2004 08:00;13/05/2004 08:30;0.088
13/05/2004 08:30;13/05/2004 09:00;0.058
13/05/2004 09:00;13/05/2004 09:30;0.129
13/05/2004 09:30;13/05/2004 10:00;0.191
13/05/2004 10:00;13/05/2004 10:30;0.079
13/05/2004 10:30;13/05/2004 11:00;0.105
13/05/2004 11:00;13/05/2004 11:30;0.202
13/05/2004 11:30;13/05/2004 12:00;0.142
13/05/2004 12:00;13/05/2004 12:30;0.18
13/05/2004 12:30;13/05/2004 13:00;0.194
13/05/2004 13:00;13/05/2004 13:30;0.3
13/05/2004 13:30;13/05/2004 14:00;0.418
13/05/2004 14:00;13/05/2004 14:30;0.197
13/05/2004 14:30;13/05/2004 15:00;0.15
13/05/2004 15:00;13/05/2004 15:30;0.235
13/05/2004 15:30;13/05/2004 16:00;0.122
13/05/2004 16:00;13/05/2004 16:30;0.03
13/05/2004 16:30;13/05/2004 17:00;0.031
13/05/2004 17:00;13/05/2004 17:30;0.044
13/05/2004 17:30;13/05/2004 18:00;0.053
13/05/2004 18:00;13/05/2004 18:30;0.113
13/05/2004 18:30;13/05/2004 19:00;0.119
13/05/2004 19:00;13/05/2004 19:30;0.014
13/05/2004 19:30;13/05/2004 20:00;0.002
13/05/2004 20:00;13/05/2004 20:30;0
13/05/2004 20:30;13/05/2004 21:00;0
13/05/2004 21:00;13/05/2004 21:30;0
13/05/2004 21:30;13/05/2004 22:00;0
13/05/2004 22:00;13/05/2004 22:30;0
13/05/2004 22:30;13/05/2004 23:00;0
13/05/2004 23:00;13/05/2004 23:30;0
13/05/2004 23:30;14/05/2004 00:00;0
14/05/2004 00:00;14/05/2004 00:30;0
14/05/2004 00:30;14/05/2004 01:00;0
14/05/2004 01:00;14/05/2004 01:30;0
14/05/2004 01:30;14/05/2004 02:00;0
14/05/2004 02:00;14/05/2004 02:30;0
14/05/2004 02:30;14/05/2004 03:00;0
14/05/2004 03:00;14/05/2004 03:30;0
14/05/2004 03:30;14/05/2004 04:00;0
14/05/2004 04:00;14/05/2004 04:30;0
14/05/2004 04:30;14/05/2004 05:00;0
14/05/2004 05:00;14/05/2004 05:30;0
14/05/2004 05:30;14/05/2004 06:00;0
14/05/2004 06:00;14/05/2004 06:30;0.018
14/05/2004 06:30;14/05/2004 07:00;0.065
14/05/2004 07:00;14/05/2004 07:30;0.14
14/05/2004 07:30;14/05/2004 08:00;0.231
14/05/2004 08:00;14/05/2004 08:30;0.367
14/05/2004 08:30;14/05/2004 09:00;0.376
14/05/2004 09:00;14/05/2004 09:30;0.492
14/05/2004 09:30;14/05/2004 10:00;0.553
14/05/2004 10:00;14/05/2004 10:30;0.614
14/05/2004 10:30;14/05/2004 11:00;0.563
14/05/2004 11:00;14/05/2004 11:30;0.658
14/05/2004 11:30;14/05/2004 12:00;0.709
14/05/2004 12:00;14/05/2004 12:30;0.732
14/05/2004 12:30;14/05/2004 13:00;0.754
14/05/2004 13:00;14/05/2004 13:30;0.776
14/05/2004 13:30;14/05/2004 14:00;0.721
14/05/2004 14:00;14/05/2004 14:30;0.657
14/05/2004 14:30;14/05/2004 15:00;0.511
14/05/2004 15:00;14/05/2004 15:30;0.55
14/05/2004 15:30;14/05/2004 16:00;0.56
14/05/2004 16:00;14/05/2004 16:30;0.474
14/05/2004 16:30;14/05/2004 17:00;0.399
14/05/2004 17:00;14/05/2004 17:30;0.373
14/05/2004 17:30;14/05/2004 18:00;0.289
14/05/2004 18:00;14/05/2004 18:30;0.177
14/05/2004 18:30;14/05/2004 19:00;0.121
14/05/2004 19:00;14/05/2004 19:30;0.016
14/05/2004 19:30;14/05/2004 20:00;0
14/05/2004 20:00;14/05/2004 20:30;0
14/05/2004 20:30;14/05/2004 21:00;0
14/05/2004 21:00;14/05/2004 21:30;0
14/05/2004 21:30;14/05/2004 22:00;0
14/05/2004 22:00;14/05/2004 22:30;0
14/05/2004 22:30;14/05/2004 23:00;0
14/05/2004 23:00;14/05/2004 23:30;0
14/05/2004 23:30;15/05/2004 00:00;0
15/05/2004 00:00;15/05/2004 00:30;0
15/05/2004 00:30;15/05/2004 01:00;0
15/05/2004 01:00;15/05/2004 01:30;0
15/05/2004 01:30;15/05/2004 02:00;0
15/05/2004 02:00;15/05/2004 02:30;0
15/05/2004 02:30;15/05/2004 03:00;0
15/05/2004 03:00;15/05/2004 03:30;0
15/05/2004 03:30;15/05/2004 04:00;0
15/05/2004 04:00;15/05/2004 04:30;0
15/05/2004 04:30;15/05/2004 05:00;0
15/05/2004 05:00;15/05/2004 05:30;0
15/05/2004 05:30;15/05/2004 06:00;0.009
15/05/2004 06:00;15/05/2004 06:30;0.051
15/05/2004 06:30;15/05/2004 07:00;0.073
15/05/2004 07:00;15/05/2004 07:30;0.099
15/05/2004 07:30;15/05/2004 08:00;0.146
15/05/2004 08:00;15/05/2004 08:30;0.16
15/05/2004 08:30;15/05/2004 09:00;0.205
15/05/2004 09:00;15/05/2004 09:30;0.237
15/05/2004 09:30;15/05/2004 10:00;0.416
15/05/2004 10:00;15/05/2004 10:30;0.273
15/05/2004 10:30;15/05/2004 11:00;0.448
15/05/2004 11:00;15/05/2004 11:30;0.472
15/05/2004 11:30;15/05/2004 12:00;0.401
15/05/2004 12:00;15/05/2004 12:30;0.191
15/05/2004 12:30;15/05/2004 13:00;0.047
15/05/2004 13:00;15/05/2004 13:30;0.07
15/05/2004 13:30;15/05/2004 14:00;0.221
15/05/2004 14:00;15/05/2004 14:30;0.426
15/05/2004 14:30;15/05/2004 15:00;0.53
15/05/2004 15:00;15/05/2004 15:30;0.446
15/05/2004 15:30;15/05/2004 16:00;0.598
15/05/2004 16:00;15/05/2004 16:30;0.571
15/05/2004 16:30;15/05/2004 17:00;0.479
15/05/2004 17:00;15/05/2004 17:30;0.29
15/05/2004 17:30;15/05/2004 18:00;0.192
15/05/2004 18:00;15/05/2004 18:30;0.119
15/05/2004 18:30;15/05/2004 19:00;0.076
15/05/2004 19:00;15/05/2004 19:30;0.037
15/05/2004 19:30;15/05/2004 20:00;0.008
15/05/2004 20:00;15/05/2004 20:30;0
15/05/2004 20:30;15/05/2004 21:00;0
15/05/2004 21:00;15/05/2004 21:30;0
15/05/2004 21:30;15/05/2004 22:00;0
15/05/2004 22:00;15/05/2004 22:30;0
15/05/2004 22:30;15/05/2004 23:00;0
15/05/2004 23:00;15/05/2004 23:30;0
15/05/2004 23:30;16/05/2004 00:00;0
16/05/2004 00:00;16/05/2004 00:30;0
16/05/2004 00:30;16/05/2004 01:00;0
16/05/2004 01:00;16/05/2004 01:30;0
16/05/2004 01:30;16/05/2004 02:00;0
16/05/2004 02:00;16/05/2004 02:30;0
16/05/2004 02:30;16/05/2004 03:00;0
16/05/2004 03:00;16/05/2004 03:30;0
16/05/2004 03:30;16/05/2004 04:00;0
16/05/2004 04:00;16/05/2004 04:30;0
16/05/2004 04:30;16/05/2004 05:00;0
16/05/2004 05:00;16/05/2004 05:30;0
16/05/2004 05:30;16/05/2004 06:00;0.021
16/05/2004 06:00;16/05/2004 06:30;0.082
16/05/2004 06:30;16/05/2004 07:00;0.099
16/05/2004 07:00;16/05/2004 07:30;0.159
16/05/2004 07:30;16/05/2004 08:00;0.337
16/05/2004 08:00;16/05/2004 08:30;0.332
16/05/2004 08:30;16/05/2004 09:00;0.498
16/05/2004 09:00;16/05/2004 09:30;0.573
16/05/2004 09:30;16/05/2004 10:00;0.62
16/05/2004 10:00;16/05/2004 10:30;0.684
16/05/2004 10:30;16/05/2004 11:00;0.737
16/05/2004 11:00;16/05/2004 11:30;0.797
16/05/2004 11:30;16/05/2004 12:00;0.823
16/05/2004 12:00;16/05/2004 12:30;0.837
16/05/2004 12:30;16/05/2004 13:00;0.854
16/05/2004 13:00;16/05/2004 13:30;0.845
16/05/2004 13:30;16/05/2004 14:00;0.823
16/05/2004 14:00;16/05/2004 14:30;0.808
16/05/2004 14:30;16/05/2004 15:00;0.753
16/05/2004 15:00;16/05/2004 15:30;0.695
16/05/2004 15:30;16/05/2004 16:00;0.634
16/05/2004 16:00;16/05/2004 16:30;0.581
16/05/2004 16:30;16/05/2004 17:00;0.511
16/05/2004 17:00;16/05/2004 17:30;0.421
16/05/2004 17:30;16/05/2004 18:00;0.383
16/05/2004 18:00;16/05/2004 18:30;0.299
16/05/2004 18:30;16/05/2004 19:00;0.198
16/05/2004 19:00;16/05/2004 19:30;0.121
16/05/2004 19:30;16/05/2004 20:00;0.042
16/05/2004 20:00;16/05/2004 20:30;0
16/05/2004 20:30;16/05/2004 21:00;0
16/05/2004 21:00;16/05/2004 21:30;0
16/05/2004 21:30;16/05/2004 22:00;0
16/05/2004 22:00;16/05/2004 22:30;0
16/05/2004 22:30;16/05/2004 23:00;0
16/05/2004 23:00;16/05/2004 23:30;0
16/05/2004 23:30;17/05/2004 00:00;0
17/05/2004 00:00;17/05/2004 00:30;0
17/05/2004 00:30;17/05/2004 01:00;0
17/05/2004 01:00;17/05/2004 01:30;0
17/05/2004 01:30;17/05/2004 02:00;0
17/05/2004 02:00;17/05/2004 02:30;0
17/05/2004 02:30;17/05/2004 03:00;0
17/05/2004 03:00;17/05/2004 03:30;0
17/05/2004 03:30;17/05/2004 04:00;0
17/05/2004 04:00;17/05/2004 04:30;0
17/05/2004 04:30;17/05/2004 05:00;0
17/05/2004 05:00;17/05/2004 05:30;0
17/05/2004 05:30;17/05/2004 06:00;0.026
17/05/2004 06:00;17/05/2004 06:30;0.117
17/05/2004 06:30;17/05/2004 07:00;0.152
17/05/2004 07:00;17/05/2004 07:30;0.27
17/05/2004 07:30;17/05/2004 08:00;0.345
17/05/2004 08:00;17/05/2004 08:30;0.404
17/05/2004 08:30;17/05/2004 09:00;0.482
17/05/2004 09:00;17/05/2004 09:30;0.547
17/05/2004 09:30;17/05/2004 10:00;0.594
17/05/2004 10:00;17/05/2004 10:30;0.497
17/05/2004 10:30;17/05/2004 11:00;0.696
17/05/2004 11:00;17/05/2004 11:30;0.776
17/05/2004 11:30;17/05/2004 12:00;0.781
17/05/2004 12:00;17/05/2004 12:30;0.804
17/05/2004 12:30;17/05/2004 13:00;0.823
17/05/2004 13:00;17/05/2004 13:30;0.783
17/05/2004 13:30;17/05/2004 14:00;0.779
17/05/2004 14:00;17/05/2004 14:30;0.732
17/05/2004 14:30;17/05/2004 15:00;0.59
17/05/2004 15:00;17/05/2004 15:30;0.562
17/05/2004 15:30;17/05/2004 16:00;0.647
17/05/2004 16:00;17/05/2004 16:30;0.547
17/05/2004 16:30;17/05/2004 17:00;0.487
17/05/2004 17:00;17/05/2004 17:30;0.416
17/05/2004 17:30;17/05/2004 18:00;0.361
17/05/2004 18:00;17/05/2004 18:30;0.265
17/05/2004 18:30;17/05/2004 19:00;0.178
17/05/2004 19:00;17/05/2004 19:30;0.078
17/05/2004 19:30;17/05/2004 20:00;0.037
17/05/2004 20:00;17/05/2004 20:30;0
17/05/2004 20:30;17/05/2004 21:00;0
17/05/2004 21:00;17/05/2004 21:30;0
17/05/2004 21:30;17/05/2004 22:00;0
17/05/2004 22:00;17/05/2004 22:30;0
17/05/2004 22:30;17/05/2004 23:00;0
17/05/2004 23:00;17/05/2004 23:30;0
17/05/2004 23:30;18/05/2004 00:00;0
18/05/2004 00:00;18/05/2004 00:30;0
18/05/2004 00:30;18/05/2004 01:00;0
18/05/2004 01:00;18/05/2004 01:30;0
18/05/2004 01:30;18/05/2004 02:00;0
18/05/2004 02:00;18/05/2004 02:30;0
18/05/2004 02:30;18/05/2004 03:00;0
18/05/2004 03:00;18/05/2004 03:30;0
18/05/2004 03:30;18/05/2004 04:00;0
18/05/2004 04:00;18/05/2004 04:30;0
18/05/2004 04:30;18/05/2004 05:00;0
18/05/2004 05:00;18/05/2004 05:30;0
18/05/2004 05:30;18/05/2004 06:00;0.047
18/05/2004 06:00;18/05/2004 06:30;0.089
18/05/2004 06:30;18/05/2004 07:00;0.038
18/05/2004 07:00;18/05/2004 07:30;0.062
18/05/2004 07:30;18/05/2004 08:00;0.112
18/05/2004 08:00;18/05/2004 08:30;0.114
18/05/2004 08:30;18/05/2004 09:00;0.122
18/05/2004 09:00;18/05/2004 09:30;0.117
18/05/2004 09:30;18/05/2004 10:00;0.177
18/05/2004 10:00;18/05/2004 10:30;0.089
18/05/2004 10:30;18/05/2004 11:00;0.259
18/05/2004 11:00;18/05/2004 11:30;0.273
18/05/2004 11:30;18/05/2004 12:00;0.329
18/05/2004 12:00;18/05/2004 12:30;0.33
18/05/2004 12:30;18/05/2004 13:00;0.148
18/05/2004 13:00;18/05/2004 13:30;0.224
18/05/2004 13:30;18/05/2004 14:00;0.203
18/05/2004 14:00;18/05/2004 14:30;0.279
