Start Shift;End Shift;AirTemp
09/05/2005 08:00;09/05/2005 09:00;10.31
09/05/2005 09:00;09/05/2005 10:00;11.62
09/05/2005 10:00;09/05/2005 11:00;13.13
09/05/2005 11:00;09/05/2005 12:00;14.6
09/05/2005 12:00;09/05/2005 13:00;16.43
09/05/2005 13:00;09/05/2005 14:00;17.74
09/05/2005 14:00;09/05/2005 15:00;18.6
09/05/2005 15:00;09/05/2005 16:00;18.77
09/05/2005 16:00;09/05/2005 17:00;18.31
09/05/2005 17:00;09/05/2005 18:00;16.59
09/05/2005 18:00;09/05/2005 19:00;14.46
09/05/2005 19:00;09/05/2005 20:00;13.32
09/05/2005 20:00;09/05/2005 21:00;11.72
09/05/2005 21:00;09/05/2005 22:00;10.88
09/05/2005 22:00;09/05/2005 23:00;10.85
09/05/2005 23:00;10/05/2005 00:00;10.19
10/05/2005 00:00;10/05/2005 01:00;9.98
10/05/2005 01:00;10/05/2005 02:00;9.43
10/05/2005 02:00;10/05/2005 03:00;8.78
10/05/2005 03:00;10/05/2005 04:00;8.37
10/05/2005 04:00;10/05/2005 05:00;8.4
10/05/2005 05:00;10/05/2005 06:00;8.48
10/05/2005 06:00;10/05/2005 07:00;8.67
10/05/2005 07:00;10/05/2005 08:00;9.28
10/05/2005 08:00;10/05/2005 09:00;10.77
10/05/2005 09:00;10/05/2005 10:00;13.36
10/05/2005 10:00;10/05/2005 11:00;15.9
10/05/2005 11:00;10/05/2005 12:00;18.29
10/05/2005 12:00;10/05/2005 13:00;20.64
10/05/2005 13:00;10/05/2005 14:00;22.23
10/05/2005 14:00;10/05/2005 15:00;23.67
10/05/2005 15:00;10/05/2005 16:00;24.32
10/05/2005 16:00;10/05/2005 17:00;23.85
10/05/2005 17:00;10/05/2005 18:00;21.2
10/05/2005 18:00;10/05/2005 19:00;17.8
10/05/2005 19:00;10/05/2005 20:00;14.13
10/05/2005 20:00;10/05/2005 21:00;12.61
10/05/2005 21:00;10/05/2005 22:00;11.06
10/05/2005 22:00;10/05/2005 23:00;10.3
10/05/2005 23:00;11/05/2005 00:00;9.95
11/05/2005 00:00;11/05/2005 01:00;9.34
11/05/2005 01:00;11/05/2005 02:00;8.92
11/05/2005 02:00;11/05/2005 03:00;8.75
11/05/2005 03:00;11/05/2005 04:00;8.68
11/05/2005 04:00;11/05/2005 05:00;8.57
11/05/2005 05:00;11/05/2005 06:00;8.82
11/05/2005 06:00;11/05/2005 07:00;10.05
11/05/2005 07:00;11/05/2005 08:00;11.47
11/05/2005 08:00;11/05/2005 09:00;14.12
