jday	time	atemp	rh
129	900	10.31	61.85
129	1000	11.62	53.27
129	1100	13.13	46.31
129	1200	14.6	47.66
129	1300	16.43	46.64
129	1400	17.74	45.4
129	1500	18.6	45.47
129	1600	18.77	46.04
129	1700	18.31	45.79
129	1800	16.59	50.33
129	1900	14.46	53.74
129	2000	13.32	58.12
129	2100	11.72	64.23
129	2200	10.88	65.62
129	2300	10.85	60.85
130	0	10.19	64.62
130	100	9.98	68.24
130	200	9.43	71.4
130	300	8.78	75.6
130	400	8.37	76.1
130	500	8.4	72.7
130	600	8.48	72.6
130	700	8.67	75.5
130	800	9.28	76.9
130	900	10.77	65.34
130	1000	13.36	52.65
130	1100	15.9	49.97
130	1200	18.29	48.72
130	1300	20.64	48.09
130	1400	22.23	44.3
130	1500	23.67	42.14
130	1600	24.32	40.83
130	1700	23.85	42.86
130	1800	21.2	49.52
130	1900	17.8	58.24
130	2000	14.13	68.32
130	2100	12.61	73.4
130	2200	11.06	82.8
130	2300	10.3	87.8
131	0	9.95	90.1
131	100	9.34	93.3
131	200	8.92	95.8
131	300	8.75	97.2
131	400	8.68	98.5
131	500	8.57	97.1
131	600	8.82	95.8
131	700	10.05	92
131	800	11.47	87.7
131	900	14.12	76.8
131	1000	17.5	66.4
131	1100	19.69	64.9
131	1200	19.58	65.56
131	1300	21.89	59.49
131	1400	24.51	53.12
131	1500	24.74	52.5
131	1600	24.35	53.33
131	1700	23.1	60.19
131	1800	17.65	90.1
131	1900	18.15	83.2
131	2000	16.33	77.5
131	2100	13.8	75.8
131	2200	11.96	70.4
131	2300	10.06	69.8
132	0	8.73	70.4
132	100	7.74	68.71
132	200	6.88	65.02
132	300	5.974	62.42
132	400	4.476	62.3
132	500	2.859	64.18
132	600	1.195	63.57
132	700	0.72	53.71
132	800	1.042	49.48
132	900	2.145	48.76
132	1000	3.102	42.19
132	1100	3.923	38.7
132	1200	4.836	34.97
132	1300	5.512	34.99
132	1400	6.425	30.21
132	1500	7.17	28.2
132	1600	7.91	29.53
132	1700	8.03	27.22
132	1800	7.68	26.04
132	1900	7.04	26.74
132	2000	5.877	28.35
132	2100	4.737	31.89
132	2200	4.084	34.72
132	2300	3.368	38.36
133	0	2.825	41
133	100	2.349	42.29
133	200	1.852	44.87
133	300	1.068	46.8
133	400	0.35	49.48
133	500	-1.519	59.04
133	600	-0.816	57.28
133	700	1.11	53.21
133	800	2.481	49.09
133	900	3.568	46.49
133	1000	5.617	41.53
133	1100	7.64	32.7
133	1200	9.6	28.68
133	1300	11.17	25.53
133	1400	12.38	23.11
133	1500	13.36	21.1
133	1600	14.01	19.96
133	1700	14.17	18.68
133	1800	13.78	23.5
133	1900	12.86	25.52
133	2000	11.23	28.71
133	2100	8.89	42.22
133	2200	7.79	38.47
133	2300	5.696	43.14
134	0	2.766	59.01
134	100	1.589	65.23
134	200	0.466	71
134	300	-0.256	77.7
134	400	-1.017	82.6
134	500	-1.62	88.1
134	600	-1.372	89.1
134	700	0.502	83.6
134	800	3.701	72.8
134	900	7.41	48.37
134	1000	8.61	41.59
134	1100	9.72	41.37
134	1200	10.49	37.75
134	1300	10.13	34.02
134	1400	10.08	30.42
134	1500	11.48	26.44
134	1600	10.7	32.01
134	1700	10.03	45.06
134	1800	10.8	39.2
134	1900	9.54	51.18
134	2000	9.07	54.79
134	2100	8.74	59.31
134	2200	8.82	60.83
134	2300	8.77	63.01
135	0	8.48	66.13
135	100	8.34	68.61
135	200	8.43	66.81
