"row.in.file.int","air.temp","air.temp.z","soil.temp","soil.temp.z","soil.temp.surf","rad","wind","wind.z","MOL","ustar","rl","air.pres","air.pres.unit","rain","rh"
5,5.98,2,NA,NA,NA,44.5,1.23,1.3,-17.7,0.0938,0.065,NA,NA,13.8,98.3
6,4.68,2,NA,NA,NA,53.4,1.07,1.3,-53.8,0.1,0.065,NA,NA,1.4,97.5
7,10.6,2,NA,NA,NA,160,1.66,1.3,1.61,0.184,0.1,NA,NA,0.4,80.9
8,12.3,2,NA,NA,NA,178,1.4,1.3,-34.5,0.129,0.17,NA,NA,2.8,77.8
9,12,2,NA,NA,NA,219,1.36,1.3,-3.69,0.144,0.242,NA,NA,0.2,74.9
10,10.5,2,NA,NA,NA,212,1.22,1.3,9.7,0.134,0.28,NA,NA,0,76.6
11,5.98,2,NA,NA,NA,44.5,1.23,1.3,-17.7,0.0938,0.065,NA,NA,13.8,98.3
12,4.68,2,NA,NA,NA,53.4,1.07,1.3,-53.8,0.1,0.065,NA,NA,1.4,97.5
13,10.6,2,NA,NA,NA,160,1.66,1.3,1.61,0.184,0.1,NA,NA,0.4,80.9
14,12.3,2,NA,NA,NA,178,1.4,1.3,-34.5,0.129,0.17,NA,NA,2.8,77.8
15,12,2,NA,NA,NA,219,1.36,1.3,-3.69,0.144,0.242,NA,NA,0.2,74.9
16,10.5,2,NA,NA,NA,212,1.22,1.3,9.7,0.134,0.28,NA,NA,0,76.6
17,5.98,2,NA,NA,NA,44.5,1.23,1.3,-17.7,0.0938,0.065,NA,NA,13.8,98.3
18,4.68,2,NA,NA,NA,53.4,1.07,1.3,-53.8,0.1,0.065,NA,NA,1.4,97.5
19,10.6,2,NA,NA,NA,160,1.66,1.3,1.61,0.184,0.1,NA,NA,0.4,80.9
20,12.3,2,NA,NA,NA,178,1.4,1.3,-34.5,0.129,0.17,NA,NA,2.8,77.8
21,12,2,NA,NA,NA,219,1.36,1.3,-3.69,0.144,0.242,NA,NA,0.2,74.9
22,10.5,2,NA,NA,NA,212,1.22,1.3,9.7,0.134,0.28,NA,NA,0,76.6
23,11,2,NA,NA,NA,743,2.9,1.3,-29.6,0.397,0.28,NA,NA,0,49.4
24,5.69,2,NA,NA,NA,239,1.87,1.3,-8.24,0.234,0.28,NA,NA,0,57.2
25,6.58,2,NA,NA,NA,186,1.2,1.3,-18.1,0.169,0.28,NA,NA,0,59
26,10.9,2,NA,NA,NA,273,1.53,1.3,-2.2,0.181,0.28,NA,NA,0,64.7
27,5.82,2,NA,NA,NA,175,1.39,1.3,27.9,0.154,0.28,NA,NA,1,74.8
28,7.94,2,NA,NA,NA,185,1.6,1.3,-2.1,0.181,0.28,NA,NA,17.4,82.5
29,11.7,2,NA,NA,NA,198,1.51,1.3,-13.7,0.195,0.28,NA,NA,23.4,84
30,11.3,2,NA,NA,NA,741,2.89,1.3,-25.1,0.366,0.28,NA,NA,0,47.2
31,5.36,2,NA,NA,NA,220,1.82,1.3,-7.46,0.231,0.28,NA,NA,0,58
32,6.58,2,NA,NA,NA,186,1.2,1.3,-18.1,0.169,0.28,NA,NA,0,59
33,10.9,2,NA,NA,NA,273,1.53,1.3,-2.2,0.181,0.28,NA,NA,0,64.7
34,5.82,2,NA,NA,NA,175,1.39,1.3,27.9,0.154,0.28,NA,NA,1,74.8
35,7.94,2,NA,NA,NA,185,1.6,1.3,-2.1,0.181,0.28,NA,NA,17.4,82.5
36,11.7,2,NA,NA,NA,198,1.51,1.3,-13.7,0.195,0.28,NA,NA,23.4,84
37,11.9,2,NA,NA,NA,733,2.89,1.3,-21.2,0.331,0.28,NA,NA,0,44
38,5.36,2,NA,NA,NA,220,1.82,1.3,-7.46,0.231,0.28,NA,NA,0,58
39,6.58,2,NA,NA,NA,186,1.2,1.3,-18.1,0.169,0.28,NA,NA,0,59
40,10.9,2,NA,NA,NA,273,1.53,1.3,-2.2,0.181,0.28,NA,NA,0,64.7
41,5.82,2,NA,NA,NA,175,1.39,1.3,27.9,0.154,0.28,NA,NA,1,74.8
42,7.94,2,NA,NA,NA,185,1.6,1.3,-2.1,0.181,0.28,NA,NA,17.4,82.5
43,11.7,2,NA,NA,NA,198,1.51,1.3,-13.7,0.195,0.28,NA,NA,23.4,84
44,28.1,2,NA,NA,NA,726,3.7,1.3,-24,0.338,0.135,NA,NA,0,41.8
45,21.3,2,NA,NA,NA,218,2.49,1.3,-25.8,0.287,0.135,NA,NA,0,71.1
46,19.9,2,NA,NA,NA,156,2.22,1.3,-12.3,0.234,0.135,NA,NA,0,69.6
47,18.7,2,NA,NA,NA,236,1.61,1.3,108,0.214,0.135,NA,NA,5.2,67.2
48,29.2,2,NA,NA,NA,610,3.94,1.3,-20.6,0.293,0.135,NA,NA,0,41.3
49,21.3,2,NA,NA,NA,218,2.49,1.3,-25.8,0.287,0.135,NA,NA,0,71.1
50,19.9,2,NA,NA,NA,156,2.22,1.3,-12.3,0.234,0.135,NA,NA,0,69.6
51,18.7,2,NA,NA,NA,236,1.61,1.3,108,0.214,0.135,NA,NA,5.2,67.2
52,27.6,2,NA,NA,NA,732,3.56,1.3,-22.8,0.336,0.135,NA,NA,0,42.3
53,21.3,2,NA,NA,NA,218,2.49,1.3,-25.8,0.287,0.135,NA,NA,0,71.1
54,19.9,2,NA,NA,NA,156,2.22,1.3,-12.3,0.234,0.135,NA,NA,0,69.6
55,18.7,2,NA,NA,NA,236,1.61,1.3,108,0.214,0.135,NA,NA,5.2,67.2
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
89,11,2,NA,NA,NA,82,1.34,1.3,8.66,0.0874,0.025,NA,NA,0,82.6
90,4.13,2,NA,NA,NA,9.47,0.716,1.3,4.65,0.0679,0.025,NA,NA,0,99.9
91,11.8,2,NA,NA,NA,372,2.19,1.3,-11.7,0.178,0.025,NA,NA,0,81.1
92,5.79,2,NA,NA,NA,3.69,0.356,1.3,-3.57,0.0463,0.025,NA,NA,0.4,97.7
93,7.91,2,NA,NA,NA,111,1.14,1.3,-5.68,0.0885,0.025,NA,NA,0,82.1
94,9.34,2,NA,NA,NA,129,1.57,1.3,-12.8,0.158,0.025,NA,NA,0,70.8
95,9.38,2,NA,NA,NA,419,1.04,1.3,-4.69,0.14,0.025,NA,NA,0,91.3
96,11.3,2,NA,NA,NA,97.4,1.36,1.3,10.2,0.0882,0.025,NA,NA,0,80.2
97,4.13,2,NA,NA,NA,9.47,0.716,1.3,4.65,0.0679,0.025,NA,NA,0,99.9
98,11.8,2,NA,NA,NA,372,2.19,1.3,-11.7,0.178,0.025,NA,NA,0,81.1
99,5.79,2,NA,NA,NA,3.69,0.356,1.3,-3.57,0.0463,0.025,NA,NA,0.4,97.7
100,7.91,2,NA,NA,NA,111,1.14,1.3,-5.68,0.0885,0.025,NA,NA,0,82.1
101,9.34,2,NA,NA,NA,129,1.57,1.3,-12.8,0.158,0.025,NA,NA,0,70.8
102,11.1,2,NA,NA,NA,153,1.38,1.3,0.815,0.0994,0.025,NA,NA,0,79.7
103,4.13,2,NA,NA,NA,9.47,0.716,1.3,4.65,0.0679,0.025,NA,NA,0,99.9
104,11.8,2,NA,NA,NA,372,2.19,1.3,-11.7,0.178,0.025,NA,NA,0,81.1
105,5.79,2,NA,NA,NA,3.69,0.356,1.3,-3.57,0.0463,0.025,NA,NA,0.4,97.7
106,7.91,2,NA,NA,NA,111,1.14,1.3,-5.68,0.0885,0.025,NA,NA,0,82.1
107,9.34,2,NA,NA,NA,129,1.57,1.3,-12.8,0.158,0.025,NA,NA,0,70.8
108,12,2,NA,NA,NA,184,5.71,1.3,-40.6,0.428,0.152,NA,NA,0.2,75.3
109,4.82,2,NA,NA,NA,10.5,2.62,1.3,17.8,0.277,0.152,NA,NA,4.4,94.7
110,9.14,2,NA,NA,NA,330,4.16,1.3,-171,0.437,0.152,NA,NA,1.6,74.5
111,6.8,2,NA,NA,NA,7.31,2.8,1.3,245,0.315,0.152,NA,NA,0.8,88.4
112,10.6,2,NA,NA,NA,31,4.4,1.3,495,0.458,0.152,NA,NA,1,92.9
