Shift Start;Shift End;Precipitation
05/12/1996 10:30;05/12/1996 11:30;0.000
05/12/1996 11:30;05/12/1996 12:30;0.000
05/12/1996 12:30;05/12/1996 13:30;0.000
05/12/1996 13:30;05/12/1996 14:30;0.000
05/12/1996 14:30;05/12/1996 15:30;0.000
05/12/1996 15:30;05/12/1996 16:30;0.000
05/12/1996 16:30;05/12/1996 17:30;0.000
05/12/1996 17:30;05/12/1996 18:30;0.000
05/12/1996 18:30;05/12/1996 19:30;0.000
05/12/1996 19:30;05/12/1996 20:30;0.508
05/12/1996 20:30;05/12/1996 21:30;1.270
05/12/1996 21:30;05/12/1996 22:30;2.540
05/12/1996 22:30;05/12/1996 23:30;6.350
05/12/1996 23:30;06/12/1996 00:30;7.370
06/12/1996 00:30;06/12/1996 01:30;4.064
06/12/1996 01:30;06/12/1996 02:30;1.524
06/12/1996 02:30;06/12/1996 03:30;1.524
06/12/1996 03:30;06/12/1996 04:30;0.000
06/12/1996 04:30;06/12/1996 05:30;0.000
06/12/1996 05:30;06/12/1996 06:30;0.000
06/12/1996 06:30;06/12/1996 07:30;0.000
06/12/1996 07:30;06/12/1996 08:30;0.000
06/12/1996 08:30;06/12/1996 09:30;0.000
06/12/1996 09:30;06/12/1996 10:30;0.000
06/12/1996 10:30;06/12/1996 11:30;0.000
06/12/1996 11:30;06/12/1996 12:30;0.000
06/12/1996 12:30;06/12/1996 13:30;0.000
06/12/1996 13:30;06/12/1996 14:30;0.000
06/12/1996 14:30;06/12/1996 15:30;0.000
06/12/1996 15:30;06/12/1996 16:30;0.000
06/12/1996 16:30;06/12/1996 17:30;0.000
06/12/1996 17:30;06/12/1996 18:30;0.000
06/12/1996 18:30;06/12/1996 19:30;0.000
06/12/1996 19:30;06/12/1996 20:30;0.000
06/12/1996 20:30;06/12/1996 21:30;0.000
06/12/1996 21:30;06/12/1996 22:30;0.000
06/12/1996 22:30;06/12/1996 23:30;0.000
06/12/1996 23:30;07/12/1996 00:30;0.000
07/12/1996 00:30;07/12/1996 01:30;0.000
07/12/1996 01:30;07/12/1996 02:30;0.000
07/12/1996 02:30;07/12/1996 03:30;0.000
07/12/1996 03:30;07/12/1996 04:30;0.000
07/12/1996 04:30;07/12/1996 05:30;0.000
07/12/1996 05:30;07/12/1996 06:30;0.000
07/12/1996 06:30;07/12/1996 07:30;0.000
07/12/1996 07:30;07/12/1996 08:30;0.000
07/12/1996 08:30;07/12/1996 09:30;0.254
07/12/1996 09:30;07/12/1996 10:30;0.254
07/12/1996 10:30;07/12/1996 11:30;0.508
07/12/1996 11:30;07/12/1996 12:30;1.270
07/12/1996 12:30;07/12/1996 13:30;2.032
07/12/1996 13:30;07/12/1996 14:30;2.794
07/12/1996 14:30;07/12/1996 15:30;1.524
